Выборы Президента Российской Федерации																																						
																																						
Наименование Избирательной комиссии:    Лесосибирская городская																																						
																																						
Итоги голосования 																																						
																																						
		Сумма	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536					
1	"Число избирателей, внесенных в список"	54965	467	1658	2149	2436	2698	2485	2866	2108	1560	1664	2799	2744	1849	1158	1023	2800	2269	2028	602	2612	2268	2230	2521	2441	417	432	338	1446	1254	1485	158					
2	Число полученных избирательных бюллетеней	53250	450	1600	2000	2400	2700	2400	2800	2000	1500	1600	2700	2700	1800	1100	900	2800	2200	2000	600	2500	2200	2200	2400	2400	400	440	300	1400	1200	1400	160					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	25335	263	765	1127	1154	1406	1360	1469	1010	721	814	1475	1485	702	525	399	1243	874	974	226	1140	907	847	1172	1065	164	227	163	580	525	461	92					
5	"Число избирательных бюллетеней, выданных вне помещения"	670	5	12	37	28	55	18	11	6	13	21	64	32	9	20	10	44	12	15	7	17	31	18	22	10	77	7	0	26	22	21	0					
6	Число погашенных избирательных бюллетеней	27245	182	823	836	1218	1239	1022	1320	984	766	765	1161	1183	1089	555	491	1513	1314	1011	367	1343	1262	1335	1206	1325	159	206	137	794	653	918	68					
7	Число избирательных бюллетеней в переносных ящиках	670	5	12	37	28	55	18	11	6	13	21	64	32	9	20	10	44	12	15	7	17	31	18	22	10	77	7	0	26	22	21	0					
8	Число бюллетеней в стационарных ящиках для голосования	25334	263	765	1127	1154	1406	1360	1469	1010	721	814	1475	1485	702	525	399	1243	874	974	225	1140	907	847	1172	1065	164	227	163	580	525	461	92					
9	Число недействительных избирательных бюллетеней	144	1	7	3	5	3	7	6	2	0	3	6	16	2	9	2	19	2	4	1	5	9	2	0	1	12	5	0	2	9	1	0					
10	Число действительных избирательных бюллетеней	25860	267	770	1161	1177	1458	1371	1474	1014	734	832	1533	1501	709	536	407	1268	884	985	231	1152	929	863	1194	1074	229	229	163	604	538	481	92					
