Выборы Президента Российской Федерации																																																																																
																																																																																
Наименование Избирательной комиссии:    Тюкалинская																																																																																
																																																																																
Итоги голосования 																																																																																
																																																																																
		Сумма	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318					
1	"Число избирателей, внесенных в список"	21747	1679	1313	756	1432	1108	401	1087	885	644	74	89	72	284	80	328	68	161	32	401	245	88	184	492	96	98	98	87	45	638	191	125	591	35	65	70	44	99	422	67	26	63	128	481	96	70	295	63	139	577	93	52	83	603	70	74	104	86	889	570	95	869	111	33	352	73	43	66	451	42	79	27	157	113					
2	Число полученных избирательных бюллетеней	21325	1640	1300	700	1400	1000	350	1050	850	648	76	89	73	280	84	321	66	165	48	389	240	91	180	472	96	99	99	86	48	647	196	127	582	38	67	70	45	98	418	65	27	62	128	415	93	67	289	64	137	563	100	51	86	590	86	80	106	88	900	550	100	851	115	34	355	81	46	68	457	46	86	27	169	115					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15800	1080	795	471	993	768	272	699	569	428	72	73	59	223	73	226	64	111	30	350	196	76	159	377	80	80	92	81	41	448	140	97	405	35	58	67	44	95	376	60	20	54	118	342	72	65	246	63	114	495	62	51	78	378	70	74	103	75	707	387	81	518	88	33	306	73	32	53	323	37	66	25	131	97					
5	"Число избирательных бюллетеней, выданных вне помещения"	1297	104	87	27	66	26	23	46	61	60	1	7	8	9	7	23	0	11	2	24	23	5	9	42	13	3	0	0	4	39	20	16	32	0	0	0	0	0	6	0	4	0	0	57	12	0	7	0	0	31	14	0	0	35	0	0	0	0	77	38	0	130	12	0	20	0	10	10	18	0	6	0	12	0					
6	Число погашенных избирательных бюллетеней	4228	456	418	202	341	206	55	305	220	160	3	9	6	48	4	72	2	43	16	15	21	10	12	53	3	16	7	5	3	160	36	14	145	3	9	3	1	3	36	5	3	8	10	16	9	2	36	1	23	37	24	0	8	177	16	6	3	13	116	125	19	203	15	1	29	8	4	5	116	9	14	2	26	18					
7	Число избирательных бюллетеней в переносных ящиках	1297	104	87	27	66	26	23	46	61	60	1	7	8	9	7	23	0	11	2	24	23	5	9	42	13	3	0	0	4	39	20	16	32	0	0	0	0	0	6	0	4	0	0	57	12	0	7	0	0	31	14	0	0	35	0	0	0	0	77	38	0	130	12	0	20	0	10	10	18	0	6	0	12	0					
8	Число бюллетеней в стационарных ящиках для голосования	15800	1080	795	471	993	768	272	699	569	428	72	73	59	223	73	226	64	111	30	350	196	76	159	377	80	80	92	81	41	448	140	97	405	35	58	67	44	95	376	60	20	54	118	342	72	65	246	63	114	495	62	51	78	378	70	74	103	75	707	387	81	518	88	33	306	73	32	53	323	37	66	25	131	97					
9	Число недействительных избирательных бюллетеней	166	6	7	2	11	4	0	5	2	4	1	0	4	6	1	3	2	0	1	6	2	2	0	10	0	2	0	1	0	6	0	2	10	0	0	0	0	0	4	5	0	0	0	7	1	0	3	1	1	4	1	0	2	4	0	0	0	0	17	2	1	2	1	0	0	0	0	1	4	0	0	0	1	4					
10	Число действительных избирательных бюллетеней	16931	1178	875	496	1048	790	295	740	628	484	72	80	63	226	79	246	62	122	31	368	217	79	168	409	93	81	92	80	45	481	160	111	427	35	58	67	44	95	378	55	24	54	118	392	83	65	250	62	113	522	75	51	76	409	70	74	103	75	767	423	80	646	99	33	326	73	42	62	337	37	72	25	142	93					
11	Число полученных открепительных  удостоверений	444	15	30	10	27	18	17	15	10	6	3	3	3	5	3	6	3	3	3	6	3	3	4	6	3	3	3	3	3	8	5	3	6	3	3	3	3	3	6	3	3	3	3	6	3	3	6	3	3	6	3	3	3	20	3	3	3	3	30	8	3	8	3	3	16	3	3	3	6	3	3	3	3	3					
12	Число выданных открепительных удостоверений	212	9	28	6	23	17	12	7	8	6	0	0	0	3	0	4	1	0	0	0	0	0	0	3	1	0	0	0	1	3	4	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	0	0	8	0	0	0	0	24	8	3	4	0	0	16	0	2	0	0	0	0	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	138	7	0	2	7	5	3	7	1	6	3	2	1	1	1	1	2	1	1	6	1	1	6	3	2	0	1	0	2	3	1	1	1	0	1	1	1	1	0	1	1	1	1	2	4	1	1	1	0	4	1	3	2	0	1	1	1	1	5	5	1	3	0	1	1	0	1	2	2	1	1	2	2	1					
14	Число неиспользованных открепительных удостоверений	232	6	2	4	4	1	5	8	2	0	3	3	3	2	3	2	2	3	3	6	3	3	4	3	2	3	3	3	2	5	1	2	3	3	3	3	3	3	6	3	3	3	3	6	3	3	5	3	3	2	2	3	3	12	3	3	3	3	6	0	0	4	3	3	0	3	1	3	6	3	3	3	2	3					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
