Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																										
Дата голосования: 18.09.2016																																										
																																										
Наименование Избирательной комиссии:    Лесосибирская городская																																										
																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																										
																																										
		Сумма	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	51785	1384	1190	1523	475	1937	1734	1207	2414	2099	2276	2315	1208	1552	1684	419	1965	2696	662	2273	1596	1968	2515	1671	522	470	2280	2271	2610	2187	2432	250									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	52055	1390	1190	1530	475	1960	1720	1135	2420	2125	2310	2320	1210	1565	1700	420	2000	2720	670	2280	1600	1990	2500	1680	525	470	2300	2290	2630	2220	2460	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16131	455	432	543	136	523	575	349	889	777	740	853	335	458	535	91	675	975	323	574	464	526	850	538	113	166	552	596	574	711	702	101									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	349	19	28	12	3	16	35	15	21	12	7	11	0	9	13	10	4	8	7	16	0	9	27	6	2	4	9	7	9	7	8	15									
6	Число погашенных избирательных бюллетеней	35575	916	730	975	336	1421	1110	771	1510	1336	1563	1456	875	1098	1152	319	1321	1737	340	1690	1136	1455	1623	1136	410	300	1739	1687	2047	1502	1750	134									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	349	19	28	12	3	16	35	15	21	12	7	11	0	9	13	10	4	8	7	16	0	9	27	6	2	4	9	7	9	7	8	15									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16131	455	432	543	136	523	575	349	889	777	740	853	335	458	535	91	675	975	323	574	464	526	850	538	113	166	552	596	574	711	702	101									
9	Число недействительных избирательных бюллетеней	530	20	21	16	2	8	15	12	19	22	28	27	11	5	15	4	9	29	13	19	24	26	46	9	0	3	15	16	22	28	38	8									
10	Число действительных избирательных бюллетеней	15950	454	439	539	137	531	595	352	891	767	719	837	324	462	533	97	670	954	317	571	440	509	831	535	115	167	546	587	561	690	672	108									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	885	30	30	30	20	30	25	30	30	30	35	35	30	30	30	10	35	35	10	30	30	30	35	30	30	30	30	30	35	30	30	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	186	3	5	6	1	5	8	6	11	20	13	10	2	6	7	0	8	17	9	3	3	4	4	7	1	0	0	4	2	9	11	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	153	3	5	1	2	3	5	2	17	10	3	2	4	2	10	3	3	14	4	9	2	5	14	5	3	1	3	6	3	1	3	5									
14	Число погашенных неиспользованных открепительных удостоверений	699	27	25	24	19	25	17	24	19	10	22	25	28	24	23	10	27	18	1	27	27	26	31	23	29	30	30	26	33	21	19	9									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	37	0	0	0	1	1	1	1	0	4	3	1	0	1	2	0	4	2	0	1	0	2	3	0	0	1	2	1	1	1	4	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	533	15	17	12	2	14	28	7	21	24	20	25	12	19	19	5	29	22	8	16	19	20	23	17	4	13	15	29	19	23	32	4									
		3.23%	3.16%	3.70%	2.16%	1.44%	2.60%	4.59%	1.92%	2.31%	3.04%	2.68%	2.89%	3.58%	4.07%	3.47%	4.95%	4.27%	2.24%	2.42%	2.71%	4.09%	3.74%	2.62%	3.13%	3.48%	7.65%	2.67%	4.81%	3.26%	3.20%	4.51%	3.45%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	606	11	12	22	4	25	23	5	44	31	25	27	18	18	21	2	26	43	13	23	9	16	28	18	6	3	20	28	23	22	34	6									
		3.68%	2.32%	2.61%	3.96%	2.88%	4.64%	3.77%	1.37%	4.84%	3.93%	3.35%	3.13%	5.37%	3.85%	3.83%	1.98%	3.83%	4.37%	3.94%	3.90%	1.94%	2.99%	3.19%	3.31%	5.22%	1.76%	3.57%	4.64%	3.95%	3.06%	4.79%	5.17%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	357	8	11	8	2	11	14	6	15	15	12	15	7	10	11	0	16	27	7	16	16	10	25	10	1	4	12	16	14	14	20	4									
		2.17%	1.69%	2.39%	1.44%	1.44%	2.04%	2.30%	1.65%	1.65%	1.90%	1.61%	1.74%	2.09%	2.14%	2.01%	0.00%	2.36%	2.75%	2.12%	2.71%	3.45%	1.87%	2.85%	1.84%	0.87%	2.35%	2.14%	2.65%	2.40%	1.95%	2.82%	3.45%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5712	220	201	263	62	144	199	118	295	271	232	283	104	164	200	33	224	348	127	220	154	195	261	180	34	67	185	209	198	243	247	31									
		34.66%	46.41%	43.70%	47.39%	44.60%	26.72%	32.62%	32.42%	32.42%	34.35%	31.06%	32.75%	31.04%	35.12%	36.50%	32.67%	32.99%	35.40%	38.48%	37.29%	33.19%	36.45%	29.76%	33.09%	29.57%	39.41%	32.98%	34.66%	33.96%	33.84%	34.79%	26.72%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	157	4	2	2	0	4	8	6	10	11	9	12	4	4	4	0	8	9	2	8	2	7	4	3	1	1	8	6	3	8	7	0									
		0.95%	0.84%	0.43%	0.36%	0.00%	0.74%	1.31%	1.65%	1.10%	1.39%	1.20%	1.39%	1.19%	0.86%	0.73%	0.00%	1.18%	0.92%	0.61%	1.36%	0.43%	1.31%	0.46%	0.55%	0.87%	0.59%	1.43%	0.99%	0.51%	1.11%	0.99%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	30	0	0	0	1	1	1	4	1	1	2	3	0	1	1	0	1	2	2	2	1	3	0	0	1	0	0	1	0	1	0	0									
		0.18%	0.00%	0.00%	0.00%	0.72%	0.19%	0.16%	1.10%	0.11%	0.13%	0.27%	0.35%	0.00%	0.21%	0.18%	0.00%	0.15%	0.20%	0.61%	0.34%	0.22%	0.56%	0.00%	0.00%	0.87%	0.00%	0.00%	0.17%	0.00%	0.14%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3747	106	101	88	39	163	132	112	176	174	184	191	87	100	117	28	156	224	45	133	97	95	187	131	36	41	157	137	160	169	153	28									
		22.74%	22.36%	21.96%	15.86%	28.06%	30.24%	21.64%	30.77%	19.34%	22.05%	24.63%	22.11%	25.97%	21.41%	21.35%	27.72%	22.97%	22.79%	13.64%	22.54%	20.91%	17.76%	21.32%	24.08%	31.30%	24.12%	27.99%	22.72%	27.44%	23.54%	21.55%	24.14%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	135	1	0	0	0	7	7	4	43	10	5	7	5	3	5	0	3	4	1	4	0	2	2	1	2	0	2	4	5	4	3	1									
		0.82%	0.21%	0.00%	0.00%	0.00%	1.30%	1.15%	1.10%	4.73%	1.27%	0.67%	0.81%	1.49%	0.64%	0.91%	0.00%	0.44%	0.41%	0.30%	0.68%	0.00%	0.37%	0.23%	0.18%	1.74%	0.00%	0.36%	0.66%	0.86%	0.56%	0.42%	0.86%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	124	0	1	1	2	6	4	1	5	9	7	2	4	1	7	1	4	9	3	8	4	4	6	5	2	1	5	4	6	4	6	2									
		0.75%	0.00%	0.22%	0.18%	1.44%	1.11%	0.66%	0.27%	0.55%	1.14%	0.94%	0.23%	1.19%	0.21%	1.28%	0.99%	0.59%	0.92%	0.91%	1.36%	0.86%	0.75%	0.68%	0.92%	1.74%	0.59%	0.89%	0.66%	1.03%	0.56%	0.85%	1.72%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	17	0	1	1	0	1	0	0	0	4	1	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	2	0	1	0	1									
		0.10%	0.00%	0.22%	0.18%	0.00%	0.19%	0.00%	0.00%	0.00%	0.51%	0.13%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.18%	0.33%	0.00%	0.14%	0.00%	0.86%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	199	2	3	5	1	9	2	5	17	10	15	9	3	6	11	1	12	19	10	6	7	7	5	3	2	1	6	6	3	6	5	2									
