Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																				
Дата голосования: 07.12.2003 0:00:00																				
																				
Наименование Избирательной комиссии:    Коряжемская																				
																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																				
																				
		Сумма	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405					
1	"Число избирателей, внесенных в списки"	33019	2181	2442	2293	2367	2538	2486	2694	2643	2386	2876	2766	2982	2365					
2	"Число бюллетеней, полученных участковыми комиссиями"	33020	2160	2450	2260	2300	2570	2480	2700	2630	2400	2890	2790	2990	2400					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	19771	944	1360	1413	1489	1523	1490	1745	1461	1505	1806	1752	1839	1444					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	403	30	26	27	87	25	22	50	27	23	18	11	29	28					
6	Число погашенных бюллетеней	12846	1186	1064	820	724	1022	968	905	1142	872	1066	1027	1122	928					
7	Число бюллетеней в переносных ящиках для голосования	403	30	26	27	87	25	22	50	27	23	18	11	29	28					
8	Число бюллетеней в стационарных ящиках для голосования	19713	944	1360	1413	1487	1499	1469	1743	1461	1503	1804	1748	1838	1444					
9	Число недействительных бюллетеней	207	14	25	17	9	14	15	33	9	13	8	11	10	29					
10	Число действительных бюллетеней	19909	960	1361	1423	1565	1510	1476	1760	1479	1513	1814	1748	1857	1443					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	550	30	30	50	30	30	30	30	170	30	30	30	30	30					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	97	2	15	7	7	7	5	8	9	7	9	9	8	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	50	3	3	7	2	4	4	7	5	7	3	3	2	0					
14	Число погашенных открепительных удостоверений	453	28	15	43	23	23	25	22	161	23	21	21	22	26					
15	Число открепительных удостоверений выданных ТИК	9	0	0	0	0	0	3	3	0	1	0	0	0	2					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
18	"1. ""ЕДИНЕНИЕ"""	167	6	11	8	11	11	7	17	18	9	21	16	15	17					
		0.83%	0.61%	0.79%	0.55%	0.69%	0.72%	0.46%	0.94%	1.20%	0.58%	1.15%	0.90%	0.80%	1.15%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	474	16	23	47	27	35	38	32	29	34	70	46	41	36					
		2.35%	1.64%	1.65%	3.26%	1.71%	2.29%	2.54%	1.78%	1.94%	2.22%	3.84%	2.61%	2.19%	2.44%					
