Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																							
Дата голосования: 18.09.2016																																																																							
																																																																							
Наименование Избирательной комиссии:    Хайбуллинская																																																																							
																																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																																							
																																																																							
		Сумма	УИК №3192	УИК №3193	УИК №3194	УИК №3195	УИК №3196	УИК №3197	УИК №3198	УИК №3199	УИК №3200	УИК №3201	УИК №3202	УИК №3203	УИК №3204	УИК №3205	УИК №3206	УИК №3207	УИК №3208	УИК №3209	УИК №3210	УИК №3211	УИК №3212	УИК №3213	УИК №3214	УИК №3215	УИК №3216	УИК №3217	УИК №3218	УИК №3219	УИК №3220	УИК №3221	УИК №3222	УИК №3223	УИК №3224	УИК №3225	УИК №3226	УИК №3227	УИК №3228	УИК №3229	УИК №3230	УИК №3231	УИК №3232	УИК №3233	УИК №3234	УИК №3235	УИК №3236	УИК №3237	УИК №3238	УИК №3239	УИК №3240	УИК №3241	УИК №3242	УИК №3243	УИК №3244	УИК №3245	УИК №3246	УИК №3247	УИК №3248	УИК №3249	УИК №3250	УИК №3251									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	24280	323	249	96	97	102	363	127	72	129	988	858	641	1004	1744	472	604	388	407	1189	430	682	1033	613	81	85	95	197	382	888	233	455	265	639	266	152	236	795	251	105	255	130	136	447	858	199	445	625	208	109	243	213	154	149	366	411	758	172	222	346	98									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24360	327	254	98	96	105	364	128	72	129	900	959	580	920	1600	478	610	389	414	1200	426	769	1032	618	83	87	95	200	385	898	238	459	264	742	266	153	238	817	255	105	257	132	136	459	859	199	446	634	211	106	241	213	154	144	380	425	777	172	220	347	95									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16824	252	221	87	90	73	268	117	66	108	456	352	394	734	847	384	521	309	366	834	229	368	897	548	68	76	83	177	353	781	215	347	221	347	241	130	199	423	215	97	234	104	85	250	495	135	202	439	171	86	202	105	141	113	297	370	315	100	164	239	83									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	604	17	11	0	0	0	6	0	0	0	19	76	13	17	21	21	24	6	0	10	7	3	17	11	5	3	4	0	0	18	0	13	5	47	0	10	16	21	11	0	2	0	6	0	24	5	16	18	0	3	6	6	5	2	25	10	20	12	0	4	8									
6	Число погашенных избирательных бюллетеней	6932	58	22	11	6	32	90	11	6	21	425	531	173	169	732	73	65	74	48	356	190	398	118	59	10	8	8	23	32	99	23	99	38	348	25	13	23	373	29	8	21	28	45	209	340	59	228	177	40	17	33	102	8	29	58	45	442	60	56	104	4									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	604	17	11	0	0	0	6	0	0	0	19	76	13	17	21	21	24	6	0	10	7	3	17	11	5	3	4	0	0	18	0	13	5	47	0	10	16	21	11	0	2	0	6	0	24	5	16	18	0	3	6	6	5	2	25	10	20	12	0	4	8									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16807	252	221	87	90	73	268	117	66	108	456	352	394	734	847	384	515	309	366	824	229	368	897	548	68	76	83	177	353	781	215	347	221	347	241	130	199	422	215	97	234	104	85	250	495	135	202	439	171	86	202	105	141	113	297	370	315	100	164	239	83									
9	Число недействительных избирательных бюллетеней	238	1	0	3	2	0	10	0	1	0	18	14	6	12	11	6	0	19	0	0	5	17	6	0	0	0	0	0	0	8	0	0	1	13	1	0	0	6	0	0	23	1	0	0	14	2	0	5	4	2	3	1	2	2	0	1	11	5	0	2	0									
10	Число действительных избирательных бюллетеней	17173	268	232	84	88	73	264	117	65	108	457	414	401	739	857	399	539	296	366	834	231	354	908	559	73	79	87	177	353	791	215	360	225	381	240	140	215	437	226	97	213	103	91	250	505	138	218	452	167	87	205	110	144	113	322	379	324	107	164	241	91									
