Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
"Наименование Избирательной комиссии:    Тамбов, Ленинская"																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	32970	344	2173	279	2653	2698	2617	2206	1564	1781	2576	1151	1131	2440	1800	1183	1822	2117	2435									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	30769	290	2100	279	2600	2600	2400	2000	1500	1600	2500	1000	1000	2300	1700	1000	1600	2000	2300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12882	144	1114	205	1080	1159	986	750	546	551	840	453	468	1046	784	487	734	699	836									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	506	26	38	74	11	27	112	17	15	15	26	11	21	20	13	15	29	17	19									
6	Число погашенных избирательных бюллетеней	17381	120	948	0	1509	1414	1302	1233	939	1034	1634	536	511	1234	903	498	837	1284	1445									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	504	26	38	74	11	27	110	17	15	15	26	11	21	20	13	15	29	17	19									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12725	144	979	205	1078	1151	981	750	546	550	840	453	468	1042	784	486	734	698	836									
9	Число недействительных избирательных бюллетеней	355	20	58	15	35	35	21	20	7	14	25	7	11	15	11	14	10	17	20									
10	Число действительных избирательных бюллетеней	12874	150	959	264	1054	1143	1070	747	554	551	841	457	478	1047	786	487	753	698	835									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	501	6	30	0	50	45	45	30	20	30	30	15	25	40	30	15	30	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	426	5	23	0	44	44	43	19	20	29	27	13	21	30	28	7	26	22	25									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	597	24	50	10	25	18	23	83	31	18	13	62	30	23	14	42	59	36	36									
14	Число погашенных неиспользованных открепительных удостоверений	75	1	7	0	6	1	2	11	0	1	3	2	4	10	2	8	4	8	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	53	0	4	0	2	2	4	3	5	2	4	3	2	6	4	2	3	3	4									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	2838	31	225	35	240	270	218	164	152	140	219	85	96	234	153	88	145	143	200									
		21.45%	18.24%	22.12%	12.54%	22.04%	22.92%	19.98%	21.38%	27.09%	24.78%	25.29%	18.32%	19.63%	22.03%	19.20%	17.56%	19.00%	20.00%	23.39%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	262	5	16	4	21	21	18	14	12	16	13	11	6	31	15	5	13	18	23									
		1.98%	2.94%	1.57%	1.43%	1.93%	1.78%	1.65%	1.83%	2.14%	2.83%	1.50%	2.37%	1.23%	2.92%	1.88%	0.99%	1.70%	2.52%	2.69%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	207	0	21	8	18	19	18	17	1	12	14	1	4	17	6	8	13	13	17									
		1.56%	0.00%	2.06%	2.87%	1.65%	1.61%	1.65%	2.22%	0.18%	2.12%	1.62%	0.22%	0.82%	1.60%	0.75%	1.60%	1.70%	1.82%	1.99%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4639	84	293	140	326	407	385	274	184	191	259	228	190	358	290	191	315	239	285									
		35.07%	49.41%	28.81%	50.18%	29.94%	34.55%	35.29%	35.72%	32.80%	33.81%	29.91%	49.14%	38.85%	33.71%	36.39%	38.12%	41.28%	33.43%	33.33%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	114	4	15	5	12	9	5	7	0	2	4	1	7	13	6	6	7	3	8									
		0.86%	2.35%	1.47%	1.79%	1.10%	0.76%	0.46%	0.91%	0.00%	0.35%	0.46%	0.22%	1.43%	1.22%	0.75%	1.20%	0.92%	0.42%	0.94%									
24	"6. Политическая партия ""Гражданская Платформа"""	24	1	0	3	2	2	2	4	0	1	0	0	1	3	0	0	1	1	3									
		0.18%	0.59%	0.00%	1.08%	0.18%	0.17%	0.18%	0.52%	0.00%	0.18%	0.00%	0.00%	0.20%	0.28%	0.00%	0.00%	0.13%	0.14%	0.35%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1084	8	79	19	82	76	92	70	64	59	83	43	46	81	53	53	48	63	65									
		8.19%	4.71%	7.77%	6.81%	7.53%	6.45%	8.43%	9.13%	11.41%	10.44%	9.58%	9.27%	9.41%	7.63%	6.65%	10.58%	6.29%	8.81%	7.60%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	144	1	11	1	12	19	11	14	1	5	10	5	2	21	3	4	10	7	7									
		1.09%	0.59%	1.08%	0.36%	1.10%	1.61%	1.01%	1.83%	0.18%	0.88%	1.15%	1.08%	0.41%	1.98%	0.38%	0.80%	1.31%	0.98%	0.82%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	175	0	14	1	20	19	19	3	5	3	15	3	3	15	9	12	14	6	14									
		1.32%	0.00%	1.38%	0.36%	1.84%	1.61%	1.74%	0.39%	0.89%	0.53%	1.73%	0.65%	0.61%	1.41%	1.13%	2.40%	1.83%	0.84%	1.64%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	6	0	0	0	1	1	0	1	0	0	0	0	0	0	1	1	0	1	0									
		0.05%	0.00%	0.00%	0.00%	0.09%	0.08%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.20%	0.00%	0.14%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	527	1	48	3	62	43	46	20	13	24	32	8	17	61	33	35	30	21	30									
		3.98%	0.59%	4.72%	1.08%	5.69%	3.65%	4.22%	2.61%	2.32%	4.25%	3.70%	1.72%	3.48%	5.74%	4.14%	6.99%	3.93%	2.94%	3.51%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1921	9	154	31	176	178	178	110	68	72	126	44	73	144	148	50	102	129	129									
		14.52%	5.29%	15.14%	11.11%	16.16%	15.11%	16.32%	14.34%	12.12%	12.74%	14.55%	9.48%	14.93%	13.56%	18.57%	9.98%	13.37%	18.04%	15.09%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	42	0	0	1	3	6	0	3	2	1	7	2	0	3	4	3	5	1	1									
		0.32%	0.00%	0.00%	0.36%	0.28%	0.51%	0.00%	0.39%	0.36%	0.18%	0.81%	0.43%	0.00%	0.28%	0.50%	0.60%	0.66%	0.14%	0.12%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	891	6	83	13	79	73	78	46	52	25	59	26	33	66	65	31	50	53	53									
		6.74%	3.53%	8.16%	4.66%	7.25%	6.20%	7.15%	5.99%	9.27%	4.42%	6.81%	5.60%	6.75%	6.21%	8.16%	6.19%	6.55%	7.41%	6.20%									
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
