Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																
Дата голосования: 07.12.2003 0:00:00																
																
Наименование Избирательной комиссии:    Поддорская																
																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																
																
		Сумма	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426					
1	"Число избирателей, внесенных в списки"	4222	601	381	262	475	200	270	194	1483	356					
2	"Число бюллетеней, полученных участковыми комиссиями"	4340	615	370	265	515	200	280	193	1500	402					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	2006	254	135	70	220	94	110	87	846	190					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	896	161	146	140	136	59	56	52	61	85					
6	Число погашенных бюллетеней	1438	200	89	55	159	47	114	54	593	127					
7	Число бюллетеней в переносных ящиках для голосования	896	161	146	140	136	59	56	52	61	85					
8	Число бюллетеней в стационарных ящиках для голосования	2006	254	135	70	220	94	110	87	846	190					
9	Число недействительных бюллетеней	29	11	2	0	5	1	1	1	8	0					
10	Число действительных бюллетеней	2873	404	279	210	351	152	165	138	899	275					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	98	15	10	5	10	5	10	3	30	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	23	4	1	0	1	0	3	0	13	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	17	2	2	1	2	2	3	1	4	0					
14	Число погашенных открепительных удостоверений	75	11	9	5	9	5	7	3	17	9					
15	Число открепительных удостоверений выданных ТИК	2	1	1	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0					
																
18	"1. ""ЕДИНЕНИЕ"""	39	1	2	1	7	3	0	2	22	1					
		1.34%	0.24%	0.71%	0.47%	1.96%	1.96%	0.0%	1.43%	2.42%	0.36%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	26	6	0	1	3	2	0	1	11	2					
		0.89%	1.44%	0.0%	0.47%	0.84%	1.30%	0.0%	0.71%	1.21%	0.72%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	88	16	4	3	13	3	6	3	29	11					
		3.03%	3.85%	1.42%	1.42%	3.65%	1.96%	3.61%	2.15%	3.19%	4.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	40	5	1	0	1	2	1	3	17	10					
		1.37%	1.20%	0.35%	0.0%	0.28%	1.30%	0.60%	2.15%	1.87%	3.63%					
22	"5. ""За Русь Святую"""	18	4	3	0	3	3	0	0	4	1					
		0.62%	0.96%	1.06%	0.0%	0.84%	1.96%	0.0%	0.0%	0.44%	0.36%					
23	"6. ""Объединенная Российская партия ""Русь"""	6	1	0	1	0	1	1	2	0	0					
		0.20%	0.24%	0.0%	0.47%	0.0%	0.65%	0.60%	1.43%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	8	0	1	0	2	0	0	0	4	1					
		0.27%	0.0%	0.35%	0.0%	0.56%	0.0%	0.0%	0.0%	0.44%	0.36%					
25	"8. ""Народно-республиканская партия России"""	7	0	0	2	0	0	2	1	2	0					
		0.24%	0.0%	0.0%	0.95%	0.0%	0.0%	1.20%	0.71%	0.22%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	1	0	1	0	0	0	0	0	0	0					
		0.03%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	159	23	15	10	18	9	12	10	55	7					
		5.47%	5.54%	5.33%	4.76%	5.05%	5.88%	7.22%	7.19%	6.06%	2.54%					
28	"11. ""Истинные патриоты России"""	11	0	2	0	0	0	2	0	2	5					
