Выборы Президента Российской Федерации																																																									
																																																									
Наименование Избирательной комиссии:    Лебедянская																																																									
																																																									
Итоги голосования 																																																									
																																																									
		Сумма	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696					
1	"Число избирателей, внесенных в список"	34843	1655	1338	1727	1497	1436	1433	1908	1126	1470	1642	1539	1657	965	175	1225	193	332	242	139	199	295	1752	163	609	412	326	1850	570	177	124	196	361	216	352	211	254	138	788	215	110	193	427	154	300	205	246	589	944	555	213					
2	Число полученных избирательных бюллетеней	35503	1600	1400	1695	1500	1500	1490	1960	1145	1475	1650	1595	1725	1020	174	1315	198	332	253	150	198	305	1780	172	630	415	345	1870	575	180	136	203	354	210	336	229	245	142	805	214	115	218	427	154	303	219	240	585	940	568	213					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	22392	1045	901	1015	828	856	897	1183	624	830	1109	972	1161	508	118	804	77	193	184	89	149	207	1114	92	410	300	250	1179	314	133	103	165	261	176	282	125	180	125	457	130	88	114	289	122	245	132	155	423	651	465	162					
5	"Число избирательных бюллетеней, выданных вне помещения"	3258	115	31	39	139	82	65	78	112	105	35	39	41	161	23	120	75	112	46	41	31	36	123	29	90	73	39	168	77	32	17	13	71	24	13	64	27	4	257	65	11	79	88	26	28	56	67	81	36	43	31					
6	Число погашенных избирательных бюллетеней	9853	440	468	641	533	562	528	699	409	540	506	584	523	351	33	391	46	27	23	20	18	62	543	51	130	42	56	523	184	15	16	25	22	10	41	40	38	13	91	19	16	25	50	6	30	31	18	81	253	60	20					
7	Число избирательных бюллетеней в переносных ящиках	3258	115	31	39	139	82	65	78	112	105	35	39	41	161	23	120	75	112	46	41	31	36	123	29	90	73	39	168	77	32	17	13	71	24	13	64	27	4	257	65	11	79	88	26	28	56	67	81	36	43	31					
8	Число бюллетеней в стационарных ящиках для голосования	22391	1045	901	1015	828	856	897	1183	624	830	1109	972	1161	508	118	804	77	193	184	89	149	207	1114	92	410	300	250	1179	314	133	103	165	261	175	282	125	180	125	457	130	88	114	289	122	245	132	155	423	651	465	162					
9	Число недействительных избирательных бюллетеней	193	4	2	10	5	0	7	8	6	11	15	9	6	2	4	3	5	1	0	1	0	3	10	1	4	4	2	9	0	3	4	2	4	2	3	2	1	2	8	3	2	1	5	1	0	5	2	4	5	2	0					
10	Число действительных избирательных бюллетеней	25456	1156	930	1044	962	938	955	1253	730	924	1129	1002	1196	667	137	921	147	304	230	129	180	240	1227	120	496	369	287	1338	391	162	116	176	328	197	292	187	206	127	706	192	97	192	372	147	273	183	220	500	682	506	193					
11	Число полученных открепительных  удостоверений	786	30	30	20	20	40	20	30	15	20	30	20	35	15	10	20	10	10	10	10	10	10	40	10	20	10	10	20	10	10	20	10	10	10	10	10	15	10	15	10	10	10	10	10	16	10	10	10	15	10	10					
12	Число выданных открепительных удостоверений	407	24	22	14	5	26	15	22	10	10	19	14	23	9	0	16	0	2	2	3	1	2	15	2	15	3	1	14	2	3	17	9	5	3	7	6	10	1	13	3	0	0	6	1	15	7	1	4	5	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	372	44	10	95	6	12	11	5	9	7	7	6	2	4	0	5	4	5	2	1	1	2	11	2	3	5	2	27	2	2	4	2	5	3	3	2	1	2	7	2	2	2	4	3	10	3	9	5	5	2	4					
14	Число неиспользованных открепительных удостоверений	379	6	8	6	15	14	5	8	5	10	11	6	12	6	10	4	10	8	8	7	9	8	25	8	5	7	9	6	8	7	3	1	5	7	3	4	5	9	2	7	10	10	4	9	1	3	9	6	10	10	10					
15	"Число открепительных удостоверений, выданных в ТИК"	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
