Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																							
Дата голосования: 18.09.2016																							
																							
Наименование Избирательной комиссии:    Пестяковская																							
																							
Сводная таблица итогов голосования по федеральному избирательному округу																							
																							
		Сумма	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	5267	235	281	266	128	232	97	77	181	181	509	1515	1565									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4700	210	270	260	120	230	100	80	190	190	450	1300	1300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2143	94	127	97	43	100	39	42	90	95	157	609	650									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	505	16	29	54	30	33	25	14	28	31	44	108	93									
6	Число погашенных избирательных бюллетеней	2052	100	114	109	47	97	36	24	72	64	249	583	557									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	505	16	29	54	30	33	25	14	28	31	44	108	93									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2143	94	127	97	43	100	39	42	90	95	157	609	650									
9	Число недействительных избирательных бюллетеней	64	2	7	4	1	4	0	2	5	2	4	15	18									
10	Число действительных избирательных бюллетеней	2584	108	149	147	72	129	64	54	113	124	197	702	725									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	182	10	10	10	5	10	10	5	20	15	15	42	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	177	10	10	10	5	10	10	5	20	15	10	42	30									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	36	1	1	1	3	2	3	2	5	1	2	8	7									
14	Число погашенных неиспользованных открепительных удостоверений	5	0	0	0	0	0	0	0	0	0	5	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	18	0	0	0	0	0	0	0	1	0	0	11	6									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0									
																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	28	2	2	2	0	9	0	0	0	1	3	7	2									
		1.06%	1.82%	1.28%	1.32%	0.00%	6.77%	0.00%	0.00%	0.00%	0.79%	1.49%	0.98%	0.27%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	90	2	7	6	4	7	3	5	5	7	5	20	19									
		3.40%	1.82%	4.49%	3.97%	5.48%	5.26%	4.69%	8.93%	4.24%	5.56%	2.49%	2.79%	2.56%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	81	6	4	5	5	4	2	0	3	0	11	20	21									
		3.06%	5.45%	2.56%	3.31%	6.85%	3.01%	3.13%	0.00%	2.54%	0.00%	5.47%	2.79%	2.83%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1207	52	79	62	35	61	40	19	67	65	93	338	296									
		45.58%	47.27%	50.64%	41.06%	47.95%	45.86%	62.50%	33.93%	56.78%	51.59%	46.27%	47.14%	39.84%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	16	1	0	0	2	0	0	0	1	0	2	3	7									
		0.60%	0.91%	0.00%	0.00%	2.74%	0.00%	0.00%	0.00%	0.85%	0.00%	0.99%	0.42%	0.94%									
24	"6. Политическая партия ""Гражданская Платформа"""	9	0	1	1	0	0	0	0	0	1	0	2	4									
		0.34%	0.00%	0.64%	0.66%	0.00%	0.00%	0.00%	0.00%	0.00%	0.79%	0.00%	0.28%	0.54%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	508	22	15	40	11	26	10	10	17	21	31	140	165									
		19.18%	20.00%	9.62%	26.49%	15.07%	19.55%	15.63%	17.86%	14.41%	16.67%	15.42%	19.53%	22.21%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	12	0	0	1	0	0	0	1	0	0	2	5	3									
		0.45%	0.00%	0.00%	0.66%	0.00%	0.00%	0.00%	1.79%	0.00%	0.00%	0.99%	0.70%	0.40%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	17	1	1	1	0	0	1	0	1	0	0	9	3									
		0.64%	0.91%	0.64%	0.66%	0.00%	0.00%	1.56%	0.00%	0.85%	0.00%	0.00%	1.26%	0.40%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	4	0	1	0	0	0	0	0	0	1	0	0	2									
