Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																				
Дата голосования: 18.09.2016																				
																				
Наименование Избирательной комиссии:    Волжская - 162																				
																				
Сводная таблица итогов голосования по федеральному избирательному округу																				
																				
		Сумма	УИК №718	УИК №721	УИК №722	УИК №723	УИК №724	УИК №731	УИК №733	УИК №734	УИК №735									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13680	1955	1763	1504	1684	1642	938	2229	1560	405									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13900	2100	1600	1500	1500	2000	900	2300	1600	400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9879	1728	1098	1008	1089	943	729	1822	1113	349									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	880	95	63	8	9	5	67	230	356	47									
6	Число погашенных избирательных бюллетеней	3141	277	439	484	402	1052	104	248	131	4									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	880	95	63	8	9	5	67	230	356	47									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9857	1728	1098	996	1089	933	729	1822	1113	349									
9	Число недействительных избирательных бюллетеней	321	48	49	31	59	44	50	24	9	7									
10	Число действительных избирательных бюллетеней	10416	1775	1112	973	1039	894	746	2028	1460	389									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	277	54	31	23	32	21	26	41	40	9									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	277	54	31	23	32	21	26	41	40	9									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	63	16	0	3	3	7	8	9	10	7									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	43	2	13	13	6	6	0	0	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0									
																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	111	15	14	19	21	16	5	17	4	0									
		1.03%	0.82%	1.21%	1.89%	1.91%	1.71%	0.63%	0.83%	0.27%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	228	49	26	24	29	17	22	28	26	7									
		2.12%	2.69%	2.24%	2.39%	2.64%	1.81%	2.76%	1.36%	1.77%	1.77%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	110	22	18	8	16	17	10	9	8	2									
		1.02%	1.21%	1.55%	0.80%	1.46%	1.81%	1.26%	0.44%	0.54%	0.51%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6912	1314	632	557	506	478	443	1549	1125	308									
		64.38%	72.08%	54.44%	55.48%	46.08%	50.96%	55.65%	75.49%	76.58%	77.78%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	62	3	11	5	8	9	8	7	7	4									
		0.58%	0.16%	0.95%	0.50%	0.73%	0.96%	1.01%	0.34%	0.48%	1.01%									
24	"6. Политическая партия ""Гражданская Платформа"""	42	3	9	4	7	8	1	3	6	1									
		0.39%	0.16%	0.78%	0.40%	0.64%	0.85%	0.13%	0.15%	0.41%	0.25%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1717	207	258	224	275	229	149	201	143	31									
		15.99%	11.35%	22.22%	22.31%	25.05%	24.41%	18.72%	9.80%	9.73%	7.83%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	47	9	4	4	7	7	0	11	2	3									
		0.44%	0.49%	0.34%	0.40%	0.64%	0.75%	0.00%	0.54%	0.14%	0.76%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	53	2	10	5	9	11	6	7	1	2									
		0.49%	0.11%	0.86%	0.50%	0.82%	1.17%	0.75%	0.34%	0.07%	0.51%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	14	2	1	0	1	2	2	4	1	1									
		0.13%	0.11%	0.09%	0.00%	0.09%	0.21%	0.25%	0.19%	0.07%	0.25%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	69	6	8	9	15	9	7	8	6	1									
		0.64%	0.33%	0.69%	0.90%	1.37%	0.96%	0.88%	0.39%	0.41%	0.25%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	803	116	85	81	116	68	68	150	101	18									
		7.48%	6.36%	7.32%	8.07%	10.56%	7.25%	8.54%	7.31%	6.88%	4.55%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	35	6	4	3	7	3	3	2	4	3									
		0.33%	0.33%	0.34%	0.30%	0.64%	0.32%	0.38%	0.10%	0.27%	0.76%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	213	21	32	30	22	20	22	32	26	8									
		1.98%	1.15%	2.76%	2.99%	2.00%	2.13%	2.76%	1.56%	1.77%	2.02%									
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
