Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
Наименование Избирательной комиссии:    Бабаюртовская																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	27658	2125	1617	1548	182	2351	793	568	630	1074	1453	1366	1470	1487	1328	1242	1349	427	435	997	1804	1053	976	177	402	804									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	27658	2125	1617	1548	182	2351	793	568	630	1074	1453	1366	1470	1487	1328	1242	1349	427	435	997	1804	1053	976	177	402	804									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	24495	1920	1471	1363	159	1921	728	521	539	981	1275	1227	1243	1354	1204	1094	1206	371	391	872	1611	931	873	145	366	729									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	928	81	42	40	9	87	27	22	25	38	42	39	45	53	41	33	45	19	23	35	58	37	34	8	17	28									
6	Число погашенных избирательных бюллетеней	2235	124	104	145	14	343	38	25	66	55	136	100	182	80	83	115	98	37	21	90	135	85	69	24	19	47									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	928	81	42	40	9	87	27	22	25	38	42	39	45	53	41	33	45	19	23	35	58	37	34	8	17	28									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	24495	1920	1471	1363	159	1921	728	521	539	981	1275	1227	1243	1354	1204	1094	1206	371	391	872	1611	931	873	145	366	729									
9	Число недействительных избирательных бюллетеней	250	19	14	14	2	23	7	5	6	10	13	13	13	13	12	11	12	4	4	9	16	9	9	1	4	7									
10	Число действительных избирательных бюллетеней	25173	1982	1499	1389	166	1985	748	538	558	1009	1304	1253	1275	1394	1233	1116	1239	386	410	898	1653	959	898	152	379	750									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	130	10	5	5	3	10	5	5	5	5	5	5	5	5	5	5	5	3	3	5	10	5	5	3	3	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	128	10	5	5	3	10	5	5	5	5	5	5	5	5	4	5	4	3	3	5	10	5	5	3	3	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	171	12	9	12	0	10	7	4	4	5	9	10	11	10	6	9	7	0	2	7	10	5	11	5	1	5									
		0.67%	0.60%	0.59%	0.86%	0.00%	0.50%	0.93%	0.74%	0.71%	0.49%	0.68%	0.79%	0.85%	0.71%	0.48%	0.80%	0.56%	0.00%	0.48%	0.77%	0.60%	0.52%	1.21%	3.27%	0.26%	0.66%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	171	10	14	10	1	11	5	2	2	7	8	8	9	9	8	12	10	5	1	6	12	8	6	2	1	4									
		0.67%	0.50%	0.93%	0.71%	0.60%	0.55%	0.66%	0.37%	0.35%	0.69%	0.61%	0.63%	0.70%	0.64%	0.64%	1.06%	0.80%	1.28%	0.24%	0.66%	0.72%	0.83%	0.66%	1.31%	0.26%	0.53%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	143	14	11	13	1	8	3	2	1	4	6	9	5	7	7	7	9	2	1	10	9	3	7	0	1	3									
		0.56%	0.70%	0.73%	0.93%	0.60%	0.40%	0.40%	0.37%	0.18%	0.39%	0.46%	0.71%	0.39%	0.50%	0.56%	0.62%	0.72%	0.51%	0.24%	1.10%	0.54%	0.31%	0.77%	0.00%	0.26%	0.40%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	23095	1831	1349	1236	151	1846	684	491	514	938	1198	1153	1163	1280	1138	1004	1144	354	384	817	1512	892	831	141	348	696									
		90.84%	91.50%	89.16%	88.10%	89.88%	91.93%	90.60%	90.42%	91.13%	92.05%	90.96%	91.07%	90.30%	90.97%	91.41%	89.09%	91.45%	90.77%	92.75%	90.08%	90.59%	92.15%	91.62%	92.16%	90.86%	91.94%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	138	9	12	6	2	15	7	1	3	6	4	6	7	5	5	4	6	4	1	9	8	6	2	0	3	7									
		0.54%	0.45%	0.79%	0.43%	1.19%	0.75%	0.93%	0.18%	0.53%	0.59%	0.30%	0.47%	0.54%	0.36%	0.40%	0.35%	0.48%	1.03%	0.24%	0.99%	0.48%	0.62%	0.22%	0.00%	0.78%	0.92%									
24	"6. Политическая партия ""Гражданская Платформа"""	154	8	9	11	1	13	3	2	6	1	5	12	12	6	9	17	8	0	1	0	13	6	3	0	1	7									
		0.61%	0.40%	0.59%	0.78%	0.60%	0.65%	0.40%	0.37%	1.06%	0.10%	0.38%	0.95%	0.93%	0.43%	0.72%	1.51%	0.64%	0.00%	0.24%	0.00%	0.78%	0.62%	0.33%	0.00%	0.26%	0.92%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	171	15	11	8	1	17	6	8	4	9	11	3	8	12	2	8	3	3	0	3	17	13	2	0	2	5									
		0.67%	0.75%	0.73%	0.57%	0.60%	0.85%	0.79%	1.47%	0.71%	0.88%	0.84%	0.24%	0.62%	0.85%	0.16%	0.71%	0.24%	0.77%	0.00%	0.33%	1.02%	1.34%	0.22%	0.00%	0.52%	0.66%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	170	15	12	9	0	5	4	4	5	7	6	10	10	11	10	6	11	6	2	5	11	11	3	1	0	6									
		0.67%	0.75%	0.79%	0.64%	0.00%	0.25%	0.53%	0.74%	0.89%	0.69%	0.46%	0.79%	0.78%	0.78%	0.80%	0.53%	0.88%	1.54%	0.48%	0.55%	0.66%	1.14%	0.33%	0.65%	0.00%	0.79%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	159	9	8	13	2	17	2	5	2	3	7	5	5	8	5	13	14	1	2	9	7	5	9	0	3	5									
		0.63%	0.45%	0.53%	0.93%	1.19%	0.85%	0.26%	0.92%	0.35%	0.29%	0.53%	0.39%	0.39%	0.57%	0.40%	1.15%	1.12%	0.26%	0.48%	0.99%	0.42%	0.52%	0.99%	0.00%	0.78%	0.66%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	159	7	14	14	2	8	4	1	3	6	12	7	11	10	6	11	5	1	3	7	19	0	2	1	4	1									
		0.63%	0.35%	0.93%	0.99%	1.19%	0.40%	0.53%	0.18%	0.53%	0.59%	0.91%	0.55%	0.85%	0.71%	0.48%	0.98%	0.40%	0.26%	0.72%	0.77%	1.14%	0.00%	0.22%	0.65%	1.04%	0.13%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	163	10	12	12	1	11	6	3	5	8	9	7	9	8	12	7	6	2	3	6	10	3	3	1	7	2									
		0.64%	0.50%	0.79%	0.86%	0.60%	0.55%	0.79%	0.55%	0.89%	0.79%	0.68%	0.55%	0.70%	0.57%	0.96%	0.62%	0.48%	0.51%	0.72%	0.66%	0.60%	0.31%	0.33%	0.65%	1.83%	0.26%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	152	11	14	10	2	4	7	3	2	4	8	9	8	5	9	6	8	5	4	8	9	2	10	1	2	1									
		0.60%	0.55%	0.93%	0.71%	1.19%	0.20%	0.93%	0.55%	0.35%	0.39%	0.61%	0.71%	0.62%	0.36%	0.72%	0.53%	0.64%	1.28%	0.97%	0.88%	0.54%	0.21%	1.10%	0.65%	0.52%	0.13%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	148	18	7	18	1	10	4	6	4	6	9	6	7	12	7	4	3	0	3	5	10	0	1	0	3	4									
		0.58%	0.90%	0.46%	1.28%	0.60%	0.50%	0.53%	1.10%	0.71%	0.59%	0.68%	0.47%	0.54%	0.85%	0.56%	0.35%	0.24%	0.00%	0.72%	0.55%	0.60%	0.00%	0.11%	0.00%	0.78%	0.53%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	179	13	17	17	1	10	6	6	3	5	12	8	10	11	9	8	5	3	3	6	6	5	8	0	3	4									
		0.70%	0.65%	1.12%	1.21%	0.60%	0.50%	0.79%	1.10%	0.53%	0.49%	0.91%	0.63%	0.78%	0.78%	0.72%	0.71%	0.40%	0.77%	0.72%	0.66%	0.36%	0.52%	0.88%	0.00%	0.78%	0.53%									
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
