Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																							
Дата голосования: 18.09.2016																																																							
																																																							
Наименование Избирательной комиссии:    Кантемировская																																																							
																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																							
																																																							
		Сумма	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	27772	1065	1117	1383	1791	903	862	1429	805	518	392	491	166	706	220	221	613	301	1005	583	643	1103	573	635	1099	114	303	601	209	363	923	1078	257	345	143	412	232	1159	655	275	1087	88	573	170	161									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	26000	1050	1050	1200	1600	850	800	1300	700	450	350	450	150	650	200	200	550	300	1035	615	600	1000	550	600	1000	100	300	600	200	350	900	1000	250	350	150	400	200	1100	600	250	1000	100	600	150	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14186	523	582	503	727	309	393	678	416	326	250	270	115	276	37	122	245	198	865	480	285	475	254	306	489	76	136	278	138	160	564	545	128	170	108	228	137	709	376	156	532	45	363	119	94									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4338	131	214	108	72	131	103	92	103	85	54	140	26	153	96	44	154	77	85	42	125	136	70	63	86	15	94	69	43	113	240	252	74	80	22	36	52	248	117	89	246	26	86	20	26									
6	Число погашенных избирательных бюллетеней	7476	396	254	589	801	410	304	530	181	39	46	40	9	221	67	34	151	25	85	93	190	389	226	231	425	9	70	253	19	77	96	203	48	100	20	136	11	143	107	5	222	29	151	11	30									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	4338	131	214	108	72	131	103	92	103	85	54	140	26	153	96	44	154	77	85	42	125	136	70	63	86	15	94	69	43	113	240	252	74	80	22	36	52	248	117	89	246	26	86	20	26									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14183	523	582	503	725	309	393	678	416	326	250	270	115	276	37	122	245	198	865	480	285	475	254	306	489	76	136	278	138	160	564	545	128	170	108	228	137	709	376	156	531	45	363	119	94									
9	Число недействительных избирательных бюллетеней	271	10	14	11	20	11	4	10	10	10	9	5	1	4	2	7	6	2	8	5	5	12	1	6	11	1	2	3	4	2	11	8	1	10	1	7	2	14	5	2	9	0	4	1	0									
10	Число действительных избирательных бюллетеней	18250	644	782	600	777	429	492	760	509	401	295	405	140	425	131	159	393	273	942	517	405	599	323	363	564	90	228	344	177	271	793	789	201	240	129	257	187	943	488	243	768	71	445	138	120									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	550	40	30	15	20	5	30	15	10	5	5	20	3	15	2	5	15	10	15	10	15	25	10	5	20	1	10	13	2	5	15	30	5	5	3	16	6	20	15	5	24	2	21	2	5									
