Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																								
Дата голосования: 07.12.2003 0:00:00																								
																								
Наименование Избирательной комиссии:    Советская																								
																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																								
																								
		Сумма	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498					
1	"Число избирателей, внесенных в списки"	33790	2011	1579	2202	1784	1874	1982	694	2059	2131	1880	2681	2415	1383	2114	2234	2787	1980					
2	"Число бюллетеней, полученных участковыми комиссиями"	32600	2000	1580	2210	1670	1930	1980	680	1950	2020	1930	2570	2280	1220	2090	1770	2810	1910					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	20802	1315	1079	1525	1240	1189	1346	437	1137	1211	1076	1617	1371	757	1277	1329	1709	1187					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	878	56	63	40	57	72	58	17	44	43	65	46	55	45	50	28	107	32					
6	Число погашенных бюллетеней	10920	629	438	645	373	669	576	226	769	766	789	907	854	418	763	413	994	691					
7	Число бюллетеней в переносных ящиках для голосования	878	56	63	40	57	72	58	17	44	43	65	46	55	45	50	28	107	32					
8	Число бюллетеней в стационарных ящиках для голосования	20788	1315	1079	1525	1240	1189	1346	437	1137	1211	1076	1617	1367	757	1277	1319	1709	1187					
9	Число недействительных бюллетеней	182	17	23	0	15	5	12	7	19	19	6	9	8	8	7	14	6	7					
10	Число действительных бюллетеней	21484	1354	1119	1565	1282	1256	1392	447	1162	1235	1135	1654	1414	794	1320	1333	1810	1212					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	446	27	22	30	23	58	22	9	17	28	21	35	32	12	23	23	38	26					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	213	13	12	8	13	54	18	5	11	3	8	10	14	3	4	7	17	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	336	6	4	5	4	4	1	0	0	0	3	14	11	8	15	248	7	6					
14	Число погашенных открепительных удостоверений	233	14	10	22	10	4	4	4	6	25	13	25	18	9	19	16	21	13					
15	Число открепительных удостоверений выданных ТИК	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
