9	Число недействительных избирательных бюллетеней	1176	9	13	26	24	15	24	11	23	25	12	32	18	17	32	35	13	13	15	15	23	11	17	17	29	17	16	35	13	23	15	10	20	7	11	72	9	14	16	8	9	13	17	12	3	12	12	11	17	7	19	18	5	19	14	12	12	25	10	7	10	15	15	18	9	8	17	8	10	9	13	2	17	6	10									
10	Число действительных избирательных бюллетеней	70134	838	908	969	835	925	1188	1124	1031	686	804	1120	851	1076	1083	1196	830	1252	868	1018	1077	897	890	965	1048	963	1036	1043	1049	978	1168	725	829	1463	545	1633	1054	1092	1009	1136	891	807	1320	939	725	861	1137	1058	1212	770	767	906	664	877	531	943	860	1555	1054	1235	813	856	922	909	634	732	1007	702	818	754	1160	245	1183	513	572									
11	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																					
13	Бабурин Сергей Николаевич	621	9	12	11	4	7	11	11	10	6	8	13	11	13	12	6	2	8	13	9	4	7	8	12	10	10	7	5	7	24	9	6	12	17	9	10	8	11	13	8	9	10	13	7	2	8	6	12	7	7	7	7	8	4	3	5	6	4	10	8	3	18	16	3	4	11	12	4	6	6	9	4	4	1	4									
		0.87%	1.06%	1.30%	1.11%	0.47%	0.74%	0.91%	0.97%	0.95%	0.84%	0.98%	1.13%	1.27%	1.19%	1.08%	0.49%	0.24%	0.63%	1.47%	0.87%	0.36%	0.77%	0.88%	1.22%	0.93%	1.02%	0.67%	0.46%	0.66%	2.40%	0.76%	0.82%	1.41%	1.16%	1.62%	0.59%	0.75%	0.99%	1.27%	0.70%	1.00%	1.22%	0.97%	0.74%	0.27%	0.92%	0.52%	1.12%	0.57%	0.90%	0.89%	0.76%	1.20%	0.45%	0.55%	0.52%	0.69%	0.25%	0.94%	0.64%	0.36%	2.07%	1.71%	0.32%	0.62%	1.49%	1.17%	0.56%	0.72%	0.79%	0.77%	1.62%	0.33%	0.19%	0.69%									
14	Грудинин Павел Николаевич	9393	92	147	136	105	112	137	151	153	87	139	166	131	140	149	183	119	146	107	131	150	136	92	109	156	133	121	127	145	112	179	108	117	239	74	185	116	132	129	174	120	111	192	118	93	103	150	131	175	114	97	122	70	96	55	131	147	219	110	154	78	141	133	114	109	93	118	93	115	105	173	39	167	77	65									
		13.17%	10.86%	15.96%	13.67%	12.22%	11.91%	11.30%	13.30%	14.52%	12.24%	17.03%	14.41%	15.07%	12.81%	13.36%	14.87%	14.12%	11.54%	12.12%	12.68%	13.64%	14.98%	10.14%	11.10%	14.48%	13.57%	11.50%	11.78%	13.65%	11.19%	15.13%	14.69%	13.78%	16.26%	13.31%	10.85%	10.91%	11.93%	12.59%	15.21%	13.33%	13.54%	14.36%	12.41%	12.77%	11.80%	13.05%	12.25%	14.24%	14.67%	12.34%	13.20%	10.46%	10.71%	10.09%	13.72%	16.86%	13.86%	10.34%	12.40%	9.48%	16.19%	14.19%	12.30%	16.95%	12.57%	11.52%	13.10%	13.89%	13.76%	14.75%	15.79%	13.92%	14.84%	11.17%									
15	Жириновский Владимир Вольфович	3670	41	43	57	37	53	65	56	50	43	45	48	41	62	43	69	52	48	38	67	64	34	69	47	54	66	54	54	39	55	50	32	36	49	33	68	71	68	62	63	58	34	68	48	47	36	66	52	69	39	48	52	30	54	22	36	40	68	70	79	55	58	45	55	30	31	65	42	42	49	41	17	49	29	20									
		5.15%	4.84%	4.67%	5.73%	4.31%	5.64%	5.36%	4.93%	4.74%	6.05%	5.51%	4.17%	4.72%	5.67%	3.86%	5.61%	6.17%	3.79%	4.30%	6.49%	5.82%	3.74%	7.61%	4.79%	5.01%	6.73%	5.13%	5.01%	3.67%	5.49%	4.23%	4.35%	4.24%	3.33%	5.94%	3.99%	6.68%	6.15%	6.05%	5.51%	6.44%	4.15%	5.09%	5.05%	6.46%	4.12%	5.74%	4.86%	5.61%	5.02%	6.11%	5.63%	4.48%	6.03%	4.04%	3.77%	4.59%	4.30%	6.58%	6.36%	6.68%	6.66%	4.80%	5.93%	4.67%	4.19%	6.35%	5.92%	5.07%	6.42%	3.50%	6.88%	4.08%	5.59%	3.44%									
16	Путин Владимир Владимирович	50714	608	616	700	611	685	873	812	739	487	534	769	576	783	785	852	595	906	616	710	791	644	637	714	755	694	773	744	725	715	830	503	590	994	402	1282	792	803	726	827	632	582	962	695	544	632	852	818	883	555	581	664	513	653	414	680	581	1088	799	915	647	555	662	641	421	542	734	522	589	554	784	176	851	358	437									
		71.12%	71.78%	66.88%	70.35%	71.13%	72.87%	72.03%	71.54%	70.11%	68.50%	65.44%	66.75%	66.28%	71.64%	70.40%	69.21%	70.58%	71.62%	69.76%	68.73%	71.91%	70.93%	70.23%	72.71%	70.10%	70.82%	73.48%	69.02%	68.27%	71.43%	70.16%	68.44%	69.49%	67.62%	72.30%	75.19%	74.51%	72.60%	70.83%	72.29%	70.22%	70.98%	71.95%	73.08%	74.73%	72.39%	74.15%	76.52%	71.85%	71.43%	73.92%	71.86%	76.68%	72.88%	75.96%	71.20%	66.63%	68.86%	75.09%	73.67%	78.61%	63.72%	70.65%	69.15%	65.47%	73.24%	71.68%	73.52%	71.14%	72.61%	66.84%	71.26%	70.92%	68.98%	75.09%									
17	Собчак Ксения Анатольевна	2541	37	37	26	32	32	43	38	28	26	28	55	27	27	49	36	23	65	41	33	27	30	29	34	31	22	39	50	64	39	41	31	34	97	16	43	23	35	30	29	24	27	37	31	22	49	30	19	42	22	18	23	25	29	16	53	44	92	23	36	11	27	24	40	41	25	38	11	36	15	84	4	54	20	22									
		3.56%	4.37%	4.02%	2.61%	3.73%	3.40%	3.55%	3.35%	2.66%	3.66%	3.43%	4.77%	3.11%	2.47%	4.39%	2.92%	2.73%	5.14%	4.64%	3.19%	2.45%	3.30%	3.20%	3.46%	2.88%	2.24%	3.71%	4.64%	6.03%	3.90%	3.47%	4.22%	4.00%	6.60%	2.88%	2.52%	2.16%	3.16%	2.93%	2.53%	2.67%	3.29%	2.77%	3.26%	3.02%	5.61%	2.61%	1.78%	3.42%	2.83%	2.29%	2.49%	3.74%	3.24%	2.94%	5.55%	5.05%	5.82%	2.16%	2.90%	1.34%	3.10%	2.56%	4.31%	6.38%	3.38%	3.71%	1.55%	4.35%	1.97%	7.16%	1.62%	4.50%	3.85%	3.78%									
18	Сурайкин Максим Александрович	489	8	4	7	4	6	9	4	7	2	10	7	5	13	4	11	10	10	7	12	7	6	13	5	9	8	6	4	8	6	11	7	9	3	1	8	8	10	9	11	8	5	6	7	5	4	6	9	7	5	3	9	5	8	1	4	4	8	8	6	5	11	9	9	3	6	3	2	6	4	8	0	11	0	5									
		0.69%	0.94%	0.43%	0.70%	0.47%	0.64%	0.74%	0.35%	0.66%	0.28%	1.23%	0.61%	0.58%	1.19%	0.36%	0.89%	1.19%	0.79%	0.79%	1.16%	0.64%	0.66%	1.43%	0.51%	0.84%	0.82%	0.57%	0.37%	0.75%	0.60%	0.93%	0.95%	1.06%	0.20%	0.18%	0.47%	0.75%	0.90%	0.88%	0.96%	0.89%	0.61%	0.45%	0.74%	0.69%	0.46%	0.52%	0.84%	0.57%	0.64%	0.38%	0.97%	0.75%	0.89%	0.18%	0.42%	0.46%	0.51%	0.75%	0.48%	0.61%	1.26%	0.96%	0.97%	0.47%	0.81%	0.29%	0.28%	0.72%	0.52%	0.68%	0.00%	0.92%	0.00%	0.86%									
19	Титов Борис Юрьевич	1043	15	18	13	19	14	17	17	14	16	10	19	21	14	21	11	8	25	17	16	18	12	15	15	8	12	16	20	19	10	17	17	9	28	4	22	12	17	15	12	11	10	21	10	3	15	11	11	10	13	6	12	6	13	9	17	18	33	16	15	3	14	11	19	15	6	14	9	8	6	37	0	22	10	6									
		1.46%	1.77%	1.95%	1.31%	2.21%	1.49%	1.40%	1.50%	1.33%	2.25%	1.23%	1.65%	2.42%	1.28%	1.88%	0.89%	0.95%	1.98%	1.93%	1.55%	1.64%	1.32%	1.65%	1.53%	0.74%	1.22%	1.52%	1.86%	1.79%	0.99%	1.44%	2.31%	1.06%	1.90%	0.72%	1.29%	1.13%	1.54%	1.46%	1.05%	1.22%	1.22%	1.57%	1.05%	0.41%	1.72%	0.96%	1.03%	0.81%	1.67%	0.76%	1.30%	0.90%	1.45%	1.65%	1.78%	2.06%	2.09%	1.50%	1.21%	0.36%	1.61%	1.17%	2.05%	2.33%	0.81%	1.37%	1.27%	0.97%	0.79%	3.15%	0.00%	1.83%	1.93%	1.03%									
20	Явлинский Григорий Алексеевич	1663	28	31	19	23	16	33	35	30	19	30	43	39	24	20	28	21	44	29	40	16	28	27	29	25	18	20	39	42	17	31	21	22	36	6	15	24	16	25	12	29	28	21	23	9	14	16	6	19	15	7	17	7	20	11	17	20	43	18	22	11	32	22	28	11	18	23	19	16	15	24	5	25	18	13									
		2.33%	3.31%	3.37%	1.91%	2.68%	1.70%	2.72%	3.08%	2.85%	2.67%	3.68%	3.73%	4.49%	2.20%	1.79%	2.27%	2.49%	3.48%	3.28%	3.87%	1.45%	3.08%	2.98%	2.95%	2.32%	1.84%	1.90%	3.62%	3.95%	1.70%	2.62%	2.86%	2.59%	2.45%	1.08%	0.88%	2.26%	1.45%	2.44%	1.05%	3.22%	3.41%	1.57%	2.42%	1.24%	1.60%	1.39%	0.56%	1.55%	1.93%	0.89%	1.84%	1.05%	2.23%	2.02%	1.78%	2.29%	2.72%	1.69%	1.77%	1.34%	3.67%	2.35%	3.02%	1.71%	2.43%	2.25%	2.68%	1.93%	1.97%	2.05%	2.02%	2.08%	3.47%	2.23%									
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
