Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																
Дата голосования: 07.12.2003 0:00:00																																																																
																																																																
Наименование Избирательной комиссии:    Лужская																																																																
																																																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																
																																																																
		Сумма	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720					
1	"Число избирателей, внесенных в списки"	70043	2138	1623	1010	658	123	264	1510	1535	1514	1360	1464	1454	1334	1368	1332	1373	1468	1551	1431	1515	1566	2410	1576	2220	674	1097	1171	1342	1523	2698	393	243	605	232	846	586	902	311	843	583	2283	1188	1396	663	1110	625	1494	1527	1782	905	1047	1434	420	2273	1001	1323	1726					
2	"Число бюллетеней, полученных участковыми комиссиями"	70000	2130	1625	1015	665	105	245	1500	1540	1510	1360	1470	1450	1350	1370	1340	1375	1475	1550	1440	1500	1560	2440	1570	2145	680	1095	1160	1360	1530	2720	380	240	615	230	850	580	880	310	840	580	2310	1190	1410	685	1120	625	1500	1530	1775	905	1050	1430	415	2280	935	1315	1745					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	26858	701	563	330	254	9	91	496	641	576	582	670	673	623	627	695	656	749	754	676	591	544	1198	565	1155	339	405	379	403	642	1074	129	37	223	38	253	183	351	90	228	251	885	248	532	190	262	131	519	546	579	278	344	289	141	964	505	493	508					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	4081	26	23	34	5	94	76	61	14	23	6	17	13	21	15	12	19	15	10	11	16	10	15	23	14	6	41	176	175	77	13	50	63	71	142	99	74	38	30	83	23	73	108	104	150	270	198	157	115	279	117	97	191	90	32	37	77	252					
6	Число погашенных бюллетеней	39045	1403	1039	651	406	2	78	943	885	911	772	783	764	706	728	633	700	711	786	753	893	1006	1227	982	976	335	649	605	780	811	1632	199	140	321	50	498	323	491	190	529	306	1351	834	774	345	588	296	824	869	917	510	609	950	184	1284	393	745	975					
7	Число бюллетеней в переносных ящиках для голосования	4081	26	23	34	5	94	76	61	14	23	6	17	13	21	15	12	19	15	10	11	16	10	15	23	14	6	41	176	175	77	13	50	63	71	142	99	74	38	30	83	23	73	108	104	150	270	198	157	115	279	117	97	191	90	32	37	77	252					
8	Число бюллетеней в стационарных ящиках для голосования	26840	701	563	330	254	9	91	496	641	576	582	670	673	623	627	695	656	747	754	676	591	544	1186	565	1155	339	405	379	401	642	1073	129	37	223	38	253	183	351	90	228	251	885	248	532	190	262	131	519	546	579	278	344	289	141	963	505	493	508					
9	Число недействительных бюллетеней	384	11	8	3	6	2	13	8	4	2	12	4	14	9	5	7	7	8	6	3	5	8	6	4	13	2	7	11	11	13	11	7	4	1	1	5	4	5	5	3	10	14	6	4	0	8	7	12	6	6	1	5	6	1	13	10	6	11					
10	Число действительных бюллетеней	30537	716	578	361	253	101	154	549	651	597	576	683	672	635	637	700	668	754	758	684	602	546	1195	584	1156	343	439	544	565	706	1075	172	96	293	179	347	253	384	115	308	264	944	350	632	340	524	322	664	655	852	394	436	474	230	982	532	564	749					
