Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																			
Дата голосования: 02.12.2007																																																			
																																																			
Наименование Избирательной комиссии:    Нурлатская																																																			
																																																			
Сводная таблица результатов выборов																																																			
																																																			
		Сумма	УИК №2360	УИК №2361	УИК №2362	УИК №2363	УИК №2364	УИК №2365	УИК №2366	УИК №2367	УИК №2368	УИК №2369	УИК №2370	УИК №2371	УИК №2372	УИК №2373	УИК №2374	УИК №2375	УИК №2376	УИК №2377	УИК №2378	УИК №2379	УИК №2380	УИК №2381	УИК №2382	УИК №2383	УИК №2384	УИК №2385	УИК №2386	УИК №2387	УИК №2388	УИК №2389	УИК №2390	УИК №2391	УИК №2392	УИК №2393	УИК №2394	УИК №2395	УИК №2396	УИК №2397	УИК №2398	УИК №2399	УИК №2400	УИК №2401	УИК №2402	УИК №2403					
1	"Число избирателей, внесенных в списки избирателей"	18594	931	177	178	259	325	123	305	138	281	545	425	240	358	282	336	649	241	671	305	130	435	347	664	561	543	364	1028	608	755	402	968	913	512	462	295	159	126	544	561	443	147	196	424	238					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	18667	937	181	179	259	330	126	308	139	282	545	425	243	356	282	335	651	241	674	312	129	440	346	674	561	550	366	1028	609	755	406	970	913	508	464	297	160	129	543	567	445	148	198	416	240					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	17943	921	171	166	239	317	123	289	135	271	512	400	229	330	276	309	645	241	625	305	128	387	321	655	557	531	310	999	563	755	388	949	903	482	444	291	152	126	521	558	439	147	196	404	233					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	569	10	4	7	20	0	0	16	3	10	30	25	11	26	6	23	4	0	46	0	0	48	11	9	4	10	54	29	45	0	14	0	10	26	18	4	4	0	22	3	0	0	0	12	5					
6	Число погашенных избирательных бюллетеней	155	6	6	6	0	13	3	3	1	1	3	0	3	0	0	3	2	0	3	7	1	5	14	10	0	9	2	0	1	0	4	21	0	0	2	2	4	3	0	6	6	1	2	0	2					
7	Число избирательных бюллетеней в переносных ящиках для голосования	569	10	4	7	20	0	0	16	3	10	30	25	11	26	6	23	4	0	46	0	0	48	11	9	4	10	54	29	45	0	14	0	10	26	18	4	4	0	22	3	0	0	0	12	5					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17940	921	171	166	239	317	123	287	135	271	512	400	229	330	276	309	645	241	624	305	128	387	321	655	557	531	310	999	563	755	388	949	903	482	444	291	152	126	521	558	439	147	196	404	233					
9	Число недействительных избирательных бюллетеней	17	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	1	0	0	0	2	2	0	0	0	0					
10	Число действительных избирательных бюллетеней	18492	931	175	173	259	314	123	303	138	281	542	425	240	356	282	332	649	241	670	305	128	435	332	664	561	541	364	1028	608	755	402	949	904	508	462	294	156	126	543	559	437	147	196	416	238					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	350	11	5	5	7	7	5	7	5	7	9	9	7	7	7	7	9	7	11	7	5	9	7	11	9	9	7	12	11	11	9	12	11	9	9	7	5	5	9	9	9	5	5	9	7					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	137	11	1	1	0	4	3	7	0	0	8	2	1	0	2	1	5	0	0	0	0	5	5	6	7	6	2	4	7	6	4	12	6	2	0	0	2	5	1	3	0	0	5	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	95	8	0	1	3	0	0	0	0	0	3	2	0	0	2	0	1	0	2	1	1	0	1	1	8	3	2	6	5	6	1	3	11	7	0	0	0	1	3	0	1	0	0	12	0					
14	Число погашенных неиспользованных открепительных удостоверений	213	0	4	4	7	3	2	0	5	7	1	7	6	7	5	6	4	7	11	7	5	4	2	5	2	3	5	8	4	5	5	0	5	7	9	7	3	0	8	6	9	5	0	6	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																			
18	1.Политическая партия «Аграрная партия России»	8	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	3	0	0	1	0					
