Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																							
Дата голосования: 02.12.2007																							
																							
Наименование Избирательной комиссии:    район Метрогородок 																							
																							
Сводная таблица результатов выборов																							
																							
		Сумма	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №3183	УИК №3184	УИК №3185	УИК №3186	УИК №3187	УИК №3188					
1	"Число избирателей, внесенных в списки избирателей"	23782	2086	2129	2578	2057	2286	2759	2020	2018	2517	2286	267	68	266	109	150	186					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	17850	1500	1600	1800	1600	1600	2000	1500	1500	1900	1700	300	100	250	150	150	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	12400	1022	1069	1382	1192	1169	1233	982	1089	1179	1140	250	67	201	95	150	180					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	450	24	62	31	16	50	68	25	33	61	40	0	0	40	0	0	0					
6	Число погашенных избирательных бюллетеней	5000	454	469	387	392	381	699	493	378	660	520	50	33	9	55	0	20					
7	Число избирательных бюллетеней в переносных ящиках для голосования	450	24	62	31	16	50	68	25	33	61	40	0	0	40	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12378	1020	1069	1376	1188	1168	1233	979	1089	1179	1134	250	67	201	95	150	180					
9	Число недействительных избирательных бюллетеней	191	14	14	30	19	12	24	17	14	15	22	1	0	3	4	0	2					
10	Число действительных избирательных бюллетеней	12637	1030	1117	1377	1185	1206	1277	987	1108	1225	1152	249	67	238	91	150	178					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	530	50	50	55	60	50	65	50	50	50	50	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	441	35	29	45	58	46	65	33	35	46	49	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	465	28	15	38	38	83	24	13	59	33	43	27	6	18	9	15	16					
14	Число погашенных неиспользованных открепительных удостоверений	89	15	21	10	2	4	0	17	15	4	1	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	15	0	0	2	1	3	4	0	1	4	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
