Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва													
Дата голосования: 02.12.2007													
													
Наименование Избирательной комиссии:    ТИК ГО ЗАТО Звездный													
													
Сводная таблица результатов выборов													
													
		Сумма	УИК №4501	УИК №4502	УИК №4503	УИК №4504	УИК №4505	УИК №4506					
1	"Число избирателей, внесенных в списки избирателей"	6730	1112	1150	1166	1183	1042	1077					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	6301	1041	1065	1074	1060	948	1113					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	4467	639	686	729	725	667	1021					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	106	13	8	14	17	18	36					
6	Число погашенных избирательных бюллетеней	1728	389	371	331	318	263	56					
7	Число избирательных бюллетеней в переносных ящиках для голосования	106	13	8	14	17	18	36					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4466	639	686	728	725	667	1021					
9	Число недействительных избирательных бюллетеней	40	4	10	11	3	9	3					
10	Число действительных избирательных бюллетеней	4532	648	684	731	739	676	1054					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	250	42	45	50	35	41	37					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	247	42	44	49	35	41	36					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	211	6	1	11	42	12	139					
14	Число погашенных неиспользованных открепительных удостоверений	3	0	1	1	0	0	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	1	2	0	0	0	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0					
													
18	1.Политическая партия «Аграрная партия России»	71	7	7	15	19	17	6					
		1.55%	1.07%	1.01%	2.02%	2.56%	2.48%	0.57%					
19	2.Всероссийская политическая партия «Гражданская Сила»	31	8	5	3	7	6	2					
		0.68%	1.23%	0.72%	0.40%	0.94%	0.88%	0.19%					
20	3.Политическая партия «Демократическая партия России»	6	0	0	0	5	1	0					
		0.13%	0.00%	0.00%	0.00%	0.67%	0.15%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	293	62	54	65	50	40	22					
		6.41%	9.51%	7.78%	8.76%	6.74%	5.84%	2.08%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	48	3	7	12	17	7	2					
		1.05%	0.46%	1.01%	1.62%	2.29%	1.02%	0.19%					
23	6.Политическая партия «Партия социальной справедливости»	12	2	2	2	4	1	1					
		0.26%	0.31%	0.29%	0.27%	0.54%	0.15%	0.09%					
24	7.Политическая партия «Либерально-демократическая партия России»	497	85	79	102	68	69	94					
		10.87%	13.04%	11.38%	13.75%	9.16%	10.07%	8.89%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	157	22	32	30	34	30	9					
		3.43%	3.37%	4.61%	4.04%	4.58%	4.38%	0.85%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	25	4	1	4	3	9	4					
		0.55%	0.61%	0.14%	0.54%	0.40%	1.31%	0.38%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	3367	449	492	493	526	494	913					
		73.64%	68.87%	70.89%	66.44%	70.89%	72.12%	86.38%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	25	6	5	5	6	2	1					
		0.55%	0.92%	0.72%	0.67%	0.81%	0.29%	0.09%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
