Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																									
Дата голосования: 04.12.2011																																									
																																									
Наименование Избирательной комиссии:    Чулымская 																																									
																																									
Сводная таблица результатов выборов																																									
																																									
		Сумма	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351					
1	"Число избирателей, внесенных в список избирателей"	19856	755	1296	1039	1251	1613	903	417	665	469	922	544	534	624	210	318	540	533	305	463	160	98	400	103	567	1110	384	517	1009	796	146	806	184	110	65					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20600	760	1330	1060	1270	1660	900	400	700	470	980	550	570	670	200	330	560	560	310	500	180	100	430	110	600	1200	400	570	1030	800	150	860	190	120	80					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	8709	313	570	363	487	634	323	299	198	161	315	198	238	272	113	182	300	249	196	292	59	51	269	75	261	454	158	367	349	351	59	361	101	48	43					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2017	86	50	51	54	84	53	5	135	72	93	43	93	112	52	34	59	50	16	28	32	10	41	3	80	140	57	38	198	84	15	101	10	33	5					
6	Число погашенных избирательных бюллетеней	9874	361	710	646	729	942	524	96	367	237	572	309	239	286	35	114	201	261	98	180	89	39	120	32	259	606	185	165	483	365	76	398	79	39	32					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2017	86	50	51	54	84	53	5	135	72	93	43	93	112	52	34	59	50	16	28	32	10	41	3	80	140	57	38	198	84	15	101	10	33	5					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8708	313	569	363	487	634	323	299	198	161	315	198	238	272	113	182	300	249	196	292	59	51	269	75	261	454	158	367	349	351	59	361	101	48	43					
9	Число недействительных избирательных бюллетеней	180	6	14	8	6	9	8	6	12	1	3	3	10	3	3	2	10	5	5	2	2	0	6	0	5	12	1	8	8	12	0	7	3	0	0					
10	Число действительных избирательных бюллетеней	10545	393	605	406	535	709	368	298	321	232	405	238	321	381	162	214	349	294	207	318	89	61	304	78	336	582	214	397	539	423	74	455	108	81	48					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	590	7	15	7	14	9	8	5	7	2	19	5	35	35	16	8	7	15	10	31	15	5	25	5	40	45	8	75	20	14	1	47	5	15	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	588	7	15	7	14	9	8	5	7	2	19	5	35	35	16	8	7	15	10	31	15	4	25	5	40	45	8	74	20	14	1	47	5	15	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	167	28	19	6	11	11	6	6	0	5	10	5	7	3	1	0	4	0	4	2	2	1	5	0	3	5	3	5	2	1	1	3	1	6	1					
14	Число погашенных неиспользованных открепительных удостоверений	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	110	9	9	19	18	13	8	0	5	4	3	7	0	0	1	0	0	1	0	1	1	0	0	0	1	1	0	5	1	0	0	0	3	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1298	53	90	50	74	103	63	19	43	32	47	24	29	33	17	22	36	43	23	40	12	9	44	6	39	77	16	44	74	54	6	56	7	6	7					
		12.10%	13.28%	14.54%	12.08%	13.68%	14.35%	16.76%	6.25%	12.91%	13.73%	11.52%	9.96%	8.76%	8.59%	10.30%	10.19%	10.03%	14.38%	10.85%	12.50%	13.19%	14.75%	14.19%	7.69%	11.44%	12.96%	7.44%	10.86%	13.53%	12.41%	8.11%	12.12%	6.31%	7.41%	14.58%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1636	54	97	69	97	107	59	53	42	35	81	41	43	49	26	30	29	52	34	40	18	17	26	4	38	85	35	80	72	75	7	87	33	13	8					
		15.25%	13.53%	15.67%	16.67%	17.93%	14.90%	15.69%	17.43%	12.61%	15.02%	19.85%	17.01%	12.99%	12.76%	15.76%	13.89%	8.08%	17.39%	16.04%	12.50%	19.78%	27.87%	8.39%	5.13%	11.14%	14.31%	16.28%	19.75%	13.16%	17.24%	9.46%	18.83%	29.73%	16.05%	16.67%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	84	4	8	0	1	4	2	6	5	0	3	1	4	1	1	3	1	4	5	0	0	0	2	1	1	2	0	5	9	1	0	6	2	0	2					
		0.78%	1.00%	1.29%	0.00%	0.18%	0.56%	0.53%	1.97%	1.50%	0.00%	0.74%	0.41%	1.21%	0.26%	0.61%	1.39%	0.28%	1.34%	2.36%	0.00%	0.00%	0.00%	0.65%	1.28%	0.29%	0.34%	0.00%	1.23%	1.65%	0.23%	0.00%	1.30%	1.80%	0.00%	4.17%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2242	86	130	102	118	166	66	40	67	50	67	72	66	111	25	67	44	56	37	100	16	10	111	37	62	122	29	67	68	71	20	103	19	22	15					
		20.90%	21.55%	21.00%	24.64%	21.81%	23.12%	17.55%	13.16%	20.12%	21.46%	16.42%	29.88%	19.94%	28.91%	15.15%	31.02%	12.26%	18.73%	17.45%	31.25%	17.58%	16.39%	35.81%	47.44%	18.18%	20.54%	13.49%	16.54%	12.43%	16.32%	27.03%	22.29%	17.12%	27.16%	31.25%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	127	7	12	4	9	5	4	8	6	3	11	5	4	1	0	4	4	3	5	1	0	0	3	0	1	5	3	4	3	5	0	2	2	3	0					
