Выборы Президента Российской Федерации																																									
																																									
Наименование Избирательной комиссии:    Кормиловская																																									
																																									
Итоги голосования 																																									
																																									
		Сумма	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363					
1	"Число избирателей, внесенных в список"	17935	2612	1275	2878	768	847	136	94	607	109	511	212	412	546	256	70	484	584	103	452	109	283	900	174	804	82	139	73	461	667	752	65	127	67	276					
2	Число полученных избирательных бюллетеней	17662	2500	1190	2800	700	800	137	95	600	112	500	210	450	550	270	68	480	600	115	450	120	270	900	174	850	81	139	74	470	680	750	65	128	64	270					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12110	1676	726	1824	456	546	69	50	407	89	378	166	294	395	186	44	337	409	89	349	95	217	700	147	542	69	104	56	362	518	486	47	79	52	146					
5	"Число избирательных бюллетеней, выданных вне помещения"	1709	119	128	94	63	37	42	28	83	15	46	39	57	61	27	24	56	95	12	57	14	40	95	13	63	11	9	17	54	91	63	14	37	8	97					
6	Число погашенных избирательных бюллетеней	3843	705	336	882	181	217	26	17	110	8	76	5	99	94	57	0	87	96	14	44	11	13	105	14	245	1	26	1	54	71	201	4	12	4	27					
7	Число избирательных бюллетеней в переносных ящиках	1709	119	128	94	63	37	42	28	83	15	46	39	57	61	27	24	56	95	12	57	14	40	95	13	63	11	9	17	54	91	63	14	37	8	97					
8	Число бюллетеней в стационарных ящиках для голосования	12105	1674	726	1822	456	546	69	50	407	89	378	166	294	395	186	44	337	408	89	349	95	217	700	147	542	69	104	56	362	518	486	47	79	52	146					
9	Число недействительных избирательных бюллетеней	160	11	6	21	4	5	5	1	4	0	14	1	5	1	5	1	10	0	4	6	0	2	12	3	2	0	1	0	10	11	12	0	1	1	1					
10	Число действительных избирательных бюллетеней	13654	1782	848	1895	515	578	106	77	486	104	410	204	346	455	208	67	383	503	97	400	109	255	783	157	603	80	112	73	406	598	537	61	115	59	242					
11	Число полученных открепительных  удостоверений	430	20	20	30	15	10	5	5	15	5	15	10	45	30	20	5	5	10	10	20	5	5	20	5	25	5	5	5	15	15	10	5	5	5	5					
12	Число выданных открепительных удостоверений	334	20	11	26	11	5	0	1	15	2	14	7	45	30	17	3	2	10	6	18	0	0	20	4	25	4	5	0	14	15	4	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	154	20	9	18	7	3	0	2	5	1	3	3	2	6	2	3	8	7	2	4	0	2	3	2	9	6	6	2	5	4	3	0	2	4	1					
14	Число неиспользованных открепительных удостоверений	96	0	9	4	4	5	5	4	0	3	1	3	0	0	3	2	3	0	4	2	5	5	0	1	0	1	0	5	1	0	6	5	5	5	5					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																									
18	. Глазьев Сергей Юрьевич	317	43	14	65	7	13	7	3	19	1	9	0	14	9	6	3	10	14	0	9	0	5	13	2	19	2	5	2	8	6	7	0	0	0	2					
		2.29%	2.40%	1.64%	3.39%	1.35%	2.23%	6.31%	3.85%	3.88%	0.96%	2.12%	0.00%	3.99%	1.97%	2.82%	4.41%	2.54%	2.78%	0.00%	2.22%	0.00%	1.95%	1.64%	1.25%	3.14%	2.50%	4.42%	2.74%	1.92%	0.99%	1.28%	0.00%	0.00%	0.00%	0.82%					
19	. Малышкин Олег Александрович	560	64	24	73	18	34	1	0	11	2	11	7	7	31	6	2	20	51	2	25	11	9	38	2	30	2	3	2	26	26	12	3	3	0	4					
		4.05%	3.57%	2.81%	3.81%	3.47%	5.83%	0.90%	0.00%	2.24%	1.92%	2.59%	3.41%	1.99%	6.80%	2.82%	2.94%	5.09%	10.14%	1.98%	6.16%	10.09%	3.50%	4.78%	1.25%	4.96%	2.50%	2.65%	2.74%	6.25%	4.27%	2.19%	4.92%	2.59%	0.00%	1.65%					
20	. Миронов Сергей Михайлович	92	8	7	15	9	4	0	0	2	2	2	2	1	4	1	0	0	1	1	2	1	1	5	1	9	0	1	0	1	8	3	0	0	0	1					
		0.67%	0.45%	0.82%	0.78%	1.73%	0.69%	0.00%	0.00%	0.41%	1.92%	0.47%	0.98%	0.28%	0.88%	0.47%	0.00%	0.00%	0.20%	0.99%	0.49%	0.92%	0.39%	0.63%	0.62%	1.49%	0.00%	0.88%	0.00%	0.24%	1.31%	0.55%	0.00%	0.00%	0.00%	0.41%					
21	. Путин Владимир Владимирович	10121	1278	649	1363	385	407	91	66	409	92	299	153	255	337	159	32	311	351	84	292	87	194	559	128	399	64	77	52	308	424	432	51	82	44	207					
		73.27%	71.28%	76.00%	71.14%	74.18%	69.81%	81.98%	84.62%	83.47%	88.46%	70.52%	74.63%	72.65%	73.90%	74.65%	47.06%	79.13%	69.78%	83.17%	71.92%	79.82%	75.49%	70.31%	80.00%	65.95%	80.00%	68.14%	71.23%	74.04%	69.62%	78.69%	83.61%	70.69%	73.33%	85.19%					
22	. Хакамада Ирина Муцуовна	266	27	11	46	15	11	0	6	10	1	5	4	8	6	4	2	4	15	1	6	1	7	14	3	15	0	7	3	9	11	8	0	3	2	1					
		1.93%	1.51%	1.29%	2.40%	2.89%	1.89%	0.00%	7.69%	2.04%	0.96%	1.18%	1.95%	2.28%	1.32%	1.88%	2.94%	1.02%	2.98%	0.99%	1.48%	0.92%	2.72%	1.76%	1.88%	2.48%	0.00%	6.19%	4.11%	2.16%	1.81%	1.46%	0.00%	2.59%	3.33%	0.41%					
23	. Харитонов Николай Михайлович	1938	296	126	265	63	98	6	2	27	4	74	36	50	54	22	28	32	48	7	56	9	35	143	20	116	10	13	11	49	100	70	7	25	13	23					
		14.03%	16.51%	14.75%	13.83%	12.14%	16.81%	5.41%	2.56%	5.51%	3.85%	17.45%	17.56%	14.25%	11.84%	10.33%	41.18%	8.14%	9.54%	6.93%	13.79%	8.26%	13.62%	17.99%	12.50%	19.17%	12.50%	11.50%	15.07%	11.78%	16.42%	12.75%	11.48%	21.55%	21.67%	9.47%					
																																									
24	Против всех	360	66	17	68	18	11	1	0	8	2	10	2	11	14	10	0	6	23	2	10	0	4	11	1	15	2	6	3	5	23	5	0	2	0	4					
		2.61%	3.68%	1.99%	3.55%	3.47%	1.89%	0.90%	0.00%	1.63%	1.92%	2.36%	0.98%	3.13%	3.07%	4.69%	0.00%	1.53%	4.57%	1.98%	2.46%	0.00%	1.56%	1.38%	0.62%	2.48%	2.50%	5.31%	4.11%	1.20%	3.78%	0.91%	0.00%	1.72%	0.00%	1.65%					
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
