Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																	
Дата голосования: 07.12.2003 0:00:00																																																	
																																																	
Наименование Избирательной комиссии:    Воскресенская																																																	
																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																	
																																																	
		Сумма	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628					
1	"Число избирателей, внесенных в списки"	19151	1353	877	1229	1479	1122	214	629	526	147	147	363	236	182	596	359	247	266	325	160	153	181	380	227	560	182	418	692	431	201	391	255	441	302	269	689	416	470	176	657	486	483	234					
2	"Число бюллетеней, полученных участковыми комиссиями"	17940	1280	780	1150	1400	1050	210	580	490	145	145	350	210	175	550	330	235	250	310	150	140	185	350	210	520	170	400	630	410	190	360	240	420	290	260	640	380	430	165	630	460	450	220					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8584	726	410	573	685	560	103	265	220	63	78	184	62	92	273	132	101	104	135	70	92	68	140	60	214	85	152	297	203	67	123	110	242	148	152	367	197	147	111	241	231	175	126					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2471	21	80	31	11	26	8	49	31	33	23	80	110	40	65	85	76	91	53	46	19	44	100	94	77	35	103	46	44	59	121	82	61	49	25	58	58	134	12	116	69	70	36					
6	Число погашенных бюллетеней	6885	533	290	546	704	464	99	266	239	49	44	86	38	43	212	113	58	55	122	34	29	73	110	56	229	50	145	287	163	64	116	48	117	93	83	215	125	149	42	273	160	205	58					
7	Число бюллетеней в переносных ящиках для голосования	2471	21	80	31	11	26	8	49	31	33	23	80	110	40	65	85	76	91	53	46	19	44	100	94	77	35	103	46	44	59	121	82	61	49	25	58	58	134	12	116	69	70	36					
8	Число бюллетеней в стационарных ящиках для голосования	8584	726	410	573	685	560	103	265	220	63	78	184	62	92	273	132	101	104	135	70	92	68	140	60	214	85	152	297	203	67	123	110	242	148	152	367	197	147	111	241	231	175	126					
9	Число недействительных бюллетеней	297	19	18	15	12	9	5	9	3	1	6	6	6	1	12	8	4	1	2	5	5	6	2	9	8	1	9	11	5	3	9	7	7	6	6	6	7	3	0	17	7	15	6					
10	Число действительных бюллетеней	10758	728	472	589	684	577	106	305	248	95	95	258	166	131	326	209	173	194	186	111	106	106	238	145	283	119	246	332	242	123	235	185	296	191	171	419	248	278	123	340	293	230	156					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	393	15	15	15	15	15	5	15	10	5	5	10	5	5	15	10	5	10	10	5	5	8	10	5	10	5	10	15	10	5	10	5	10	10	5	15	10	10	5	15	10	10	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	79	7	5	9	11	7	2	0	1	0	0	5	4	1	0	0	3	0	0	2	3	6	1	0	0	0	0	1	0	0	1	0	2	0	0	3	2	1	0	1	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	61	6	2	5	1	1	0	0	2	0	1	1	5	3	0	1	1	1	2	3	1	2	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	0	2	1	1	1	1					
14	Число погашенных открепительных удостоверений	314	8	10	6	4	8	3	15	9	5	5	5	1	4	15	10	2	10	10	3	2	2	9	5	10	5	10	14	10	5	9	5	8	10	5	12	8	9	5	14	10	10	4					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																	
18	"1. ""ЕДИНЕНИЕ"""	214	10	4	8	9	13	1	4	6	0	2	5	2	3	3	4	0	5	6	1	4	3	3	2	4	2	4	7	8	2	8	5	8	3	3	18	6	8	6	8	7	3	6					
		1.93%	1.33%	0.81%	1.32%	1.29%	2.21%	0.90%	1.27%	2.39%	0.0%	1.98%	1.89%	1.16%	2.27%	0.88%	1.84%	0.0%	2.56%	3.19%	0.86%	3.60%	2.67%	1.25%	1.29%	1.37%	1.66%	1.56%	2.04%	3.23%	1.58%	3.27%	2.60%	2.64%	1.52%	1.69%	4.23%	2.35%	2.84%	4.87%	2.24%	2.33%	1.22%	3.70%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	145	19	9	8	18	8	0	4	0	0	2	4	1	1	5	3	1	2	9	1	1	1	1	1	2	6	3	2	2	1	1	1	5	2	0	5	2	1	0	7	3	1	2					
		1.31%	2.54%	1.83%	1.32%	2.58%	1.36%	0.0%	1.27%	0.0%	0.0%	1.98%	1.51%	0.58%	0.75%	1.47%	1.38%	0.56%	1.02%	4.78%	0.86%	0.90%	0.89%	0.41%	0.64%	0.68%	5.0%	1.17%	0.58%	0.80%	0.79%	0.40%	0.52%	1.65%	1.01%	0.0%	1.17%	0.78%	0.35%	0.0%	1.96%	1.0%	0.40%	1.23%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	276	13	16	10	6	7	4	6	5	1	0	5	6	3	18	11	3	3	7	4	1	3	2	3	14	4	13	11	7	4	8	4	5	11	3	8	9	4	4	6	9	1	14					
		2.49%	1.74%	3.26%	1.65%	0.86%	1.19%	3.60%	1.91%	1.99%	1.04%	0.0%	1.89%	3.48%	2.27%	5.32%	5.06%	1.69%	1.53%	3.72%	3.44%	0.90%	2.67%	0.83%	1.94%	4.81%	3.33%	5.09%	3.20%	2.83%	3.17%	3.27%	2.08%	1.65%	5.58%	1.69%	1.88%	3.52%	1.42%	3.25%	1.68%	3.0%	0.40%	8.64%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	117	6	3	6	8	8	4	3	0	0	3	3	7	1	6	0	3	0	0	3	2	1	0	0	5	0	3	7	3	3	4	0	2	4	1	4	2	3	0	3	2	1	3					
		1.05%	0.80%	0.61%	0.99%	1.14%	1.36%	3.60%	0.95%	0.0%	0.0%	2.97%	1.13%	4.06%	0.75%	1.77%	0.0%	1.69%	0.0%	0.0%	2.58%	1.80%	0.89%	0.0%	0.0%	1.71%	0.0%	1.17%	2.04%	1.21%	2.38%	1.63%	0.0%	0.66%	2.03%	0.56%	0.94%	0.78%	1.06%	0.0%	0.84%	0.66%	0.40%	1.85%					
