Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																											
Дата голосования: 04.12.2011																											
																											
Наименование Избирательной комиссии:    Гурьевская городская																											
																											
Сводная таблица результатов выборов																											
																											
		Сумма	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160					
1	"Число избирателей, внесенных в список избирателей"	19874	1068	1138	738	1221	1536	845	1554	1647	968	692	695	1492	1075	1162	1042	323	982	513	818	365					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19500	1100	1100	700	1200	1500	800	1500	1600	1000	800	700	1500	1000	1100	1000	300	1000	500	750	350					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	11567	582	619	384	793	989	436	848	1143	508	359	404	900	644	555	579	205	521	271	573	254					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1200	26	94	67	59	84	21	61	99	29	138	24	83	44	63	58	27	96	46	72	9					
6	Число погашенных избирательных бюллетеней	6733	492	387	249	348	427	343	591	358	463	303	272	517	312	482	363	68	383	183	105	87					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1200	26	94	67	59	84	21	61	99	29	138	24	83	44	63	58	27	96	46	72	9					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11567	582	619	384	793	989	436	848	1143	508	359	404	900	644	555	579	205	521	271	573	254					
9	Число недействительных избирательных бюллетеней	240	12	38	4	5	10	18	18	15	8	1	12	13	15	20	8	5	4	2	28	4					
10	Число действительных избирательных бюллетеней	12527	596	675	447	847	1063	439	891	1227	529	496	416	970	673	598	629	227	613	315	617	259					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	496	30	30	10	35	35	10	35	56	35	20	24	41	20	25	15	10	15	15	20	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	457	30	30	7	35	35	10	31	56	35	11	24	41	20	11	15	10	9	12	20	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	264	17	15	9	21	5	10	8	9	16	13	11	24	28	11	13	10	6	17	16	5					
14	Число погашенных неиспользованных открепительных удостоверений	39	0	0	3	0	0	0	4	0	0	9	0	0	0	14	0	0	6	3	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																											
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	978	34	62	19	46	92	37	94	89	48	52	25	101	71	33	44	15	30	13	62	11					
