Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Петропавловская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №2901	УИК №2902	УИК №2903	УИК №2904	УИК №2905	УИК №2906	УИК №2907	УИК №2908	УИК №2909	УИК №2910	УИК №2911	УИК №2912	УИК №2913	УИК №2914	УИК №2915	УИК №2916	УИК №2917	УИК №2918	УИК №2919	УИК №2920	УИК №2921									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15035	797	788	394	997	1130	1849	2366	358	811	488	501	601	482	204	551	505	347	99	660	552	555									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15300	800	800	400	1000	1150	1900	2500	350	800	500	500	600	500	200	550	500	350	100	700	550	550									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8333	374	450	206	576	676	950	1413	192	309	308	294	405	271	117	282	260	176	76	498	273	227									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2799	112	103	78	244	134	185	181	55	74	87	198	114	118	74	201	103	68	12	134	260	264									
6	Число погашенных избирательных бюллетеней	4168	314	247	116	180	340	765	906	103	417	105	8	81	111	9	67	137	106	12	68	17	59									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2799	112	103	78	244	134	185	181	55	74	87	198	114	118	74	201	103	68	12	134	260	264									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8333	374	450	206	576	676	950	1413	192	309	308	294	405	271	117	282	260	176	76	498	273	227									
9	Число недействительных избирательных бюллетеней	44	2	0	3	0	3	18	7	0	6	0	0	0	0	0	0	2	3	0	0	0	0									
10	Число действительных избирательных бюллетеней	11088	484	553	281	820	807	1117	1587	247	377	395	492	519	389	191	483	361	241	88	632	533	491									
