Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																
Дата голосования: 18.09.2016																																																
																																																
Наименование Избирательной комиссии:    Устьянская																																																
																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																
																																																
		Сумма	УИК №870	УИК №871	УИК №872	УИК №873	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №909	УИК №911									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	25760	346	118	299	662	385	273	175	779	551	764	350	640	1136	998	803	517	2692	2863	2483	215	114	544	174	395	630	146	510	633	366	970	1319	522	742	461	183	603	399									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25700	340	125	305	630	330	285	170	780	580	685	330	640	1115	995	785	515	2890	2880	2310	210	150	525	165	390	605	185	500	655	350	1015	1320	530	750	460	185	610	405									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	513	0	0	0	22	0	0	0	79	0	0	0	0	0	0	62	0	0	0	0	35	0	0	0	11	63	24	44	36	0	0	0	3	10	48	9	67	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8394	122	46	112	164	143	132	78	224	180	287	132	217	412	340	206	165	842	1300	755	41	19	179	41	134	146	45	118	184	131	297	414	140	172	125	68	137	146									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	947	16	4	9	75	40	5	14	26	61	56	22	5	26	21	41	14	29	75	36	12	29	37	28	13	33	4	3	12	12	48	35	13	15	3	0	38	37									
6	Число погашенных избирательных бюллетеней	15846	202	75	184	369	147	148	78	451	339	342	176	418	677	634	476	336	2019	1505	1519	122	102	309	96	232	363	112	335	423	207	670	871	374	553	284	108	368	222									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1436	16	4	9	97	40	5	14	105	61	56	22	5	26	21	103	14	29	51	36	47	29	37	28	24	96	28	47	48	12	48	35	16	25	51	9	105	37									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8195	122	46	112	164	143	132	78	224	180	287	132	217	412	340	206	165	842	1101	755	41	19	179	41	134	146	45	118	184	131	297	414	140	172	125	68	137	146									
9	Число недействительных избирательных бюллетеней	95	2	1	1	1	0	2	0	1	2	1	2	3	2	3	1	4	14	20	10	0	0	3	0	2	2	0	0	1	1	4	6	0	1	0	0	3	2									
10	Число действительных избирательных бюллетеней	9536	136	49	120	260	183	135	92	328	239	342	152	219	436	358	308	175	857	1132	781	88	48	213	69	156	240	73	165	231	142	341	443	156	196	176	77	239	181									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	302	4	2	4	5	6	4	2	10	5	10	4	5	10	10	10	5	35	35	30	3	2	6	2	5	7	2	6	7	4	10	15	7	9	6	2	8	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	74	0	0	4	0	6	0	0	1	1	4	1	4	3	2	1	0	7	6	9	1	2	2	0	2	2	0	0	2	2	5	2	2	0	2	0	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	81	0	1	2	2	1	3	3	2	4	4	3	4	4	9	1	0	7	8	2	1	0	1	0	2	4	1	0	1	3	3	2	1	0	0	1	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	228	4	2	0	5	0	4	2	9	4	6	3	1	7	8	9	5	28	29	21	2	0	4	2	3	5	2	6	5	2	5	13	5	9	4	2	7	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	4	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	107	2	2	1	4	1	0	2	1	1	3	8	4	0	3	4	0	11	11	10	3	0	1	0	4	0	1	1	3	1	3	3	4	3	4	4	1	3									
		1.11%	1.45%	4.00%	0.83%	1.53%	0.55%	0.00%	2.17%	0.30%	0.41%	0.87%	5.19%	1.80%	0.00%	0.83%	1.29%	0.00%	1.26%	0.95%	1.26%	3.41%	0.00%	0.46%	0.00%	2.53%	0.00%	1.37%	0.61%	1.29%	0.70%	0.87%	0.67%	2.56%	1.52%	2.27%	5.19%	0.41%	1.64%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	319	3	0	1	4	4	1	1	6	4	8	3	6	8	7	7	2	124	31	17	2	1	0	2	4	8	2	1	3	4	8	18	2	8	8	2	5	4									
		3.31%	2.17%	0.00%	0.83%	1.53%	2.19%	0.73%	1.09%	1.82%	1.66%	2.33%	1.95%	2.70%	1.83%	1.94%	2.27%	1.12%	14.24%	2.69%	2.15%	2.27%	2.08%	0.00%	2.90%	2.53%	3.31%	2.74%	0.61%	1.29%	2.80%	2.32%	4.01%	1.28%	4.06%	4.55%	2.60%	2.07%	2.19%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	292	5	1	7	6	1	3	0	6	6	9	4	9	16	8	8	5	24	33	22	3	3	7	2	6	16	1	3	7	1	17	17	8	9	6	2	5	6									
		3.03%	3.62%	2.00%	5.79%	2.30%	0.55%	2.19%	0.00%	1.82%	2.49%	2.62%	2.60%	4.05%	3.65%	2.22%	2.59%	2.79%	2.76%	2.86%	2.78%	3.41%	6.25%	3.24%	2.90%	3.80%	6.61%	1.37%	1.82%	3.02%	0.70%	4.93%	3.79%	5.13%	4.57%	3.41%	2.60%	2.07%	3.28%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4881	90	25	79	140	120	94	65	216	139	210	74	106	210	161	148	92	364	520	373	50	27	114	55	82	145	37	100	113	85	189	169	65	105	54	37	136	92									
		50.68%	65.22%	50.00%	65.29%	53.64%	65.57%	68.61%	70.65%	65.65%	57.68%	61.22%	48.05%	47.75%	47.95%	44.60%	47.90%	51.40%	41.79%	45.14%	47.16%	56.82%	56.25%	52.78%	79.71%	51.90%	59.92%	50.68%	60.61%	48.71%	59.44%	54.78%	37.64%	41.67%	53.30%	30.68%	48.05%	56.20%	50.27%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	63	0	0	1	2	0	0	0	1	4	3	2	0	7	1	5	0	6	10	5	0	0	0	0	1	0	1	0	1	2	2	1	1	4	0	0	1	2									
		0.65%	0.00%	0.00%	0.83%	0.77%	0.00%	0.00%	0.00%	0.30%	1.66%	0.87%	1.30%	0.00%	1.60%	0.28%	1.62%	0.00%	0.69%	0.87%	0.63%	0.00%	0.00%	0.00%	0.00%	0.63%	0.00%	1.37%	0.00%	0.43%	1.40%	0.58%	0.22%	0.64%	2.03%	0.00%	0.00%	0.41%	1.09%									
24	"6. Политическая партия ""Гражданская Платформа"""	22	0	0	1	3	0	0	0	0	1	1	0	1	0	1	0	1	2	1	0	0	0	0	1	2	0	1	1	0	0	0	0	1	1	1	1	1	0									
		0.23%	0.00%	0.00%	0.83%	1.15%	0.00%	0.00%	0.00%	0.00%	0.41%	0.29%	0.00%	0.45%	0.00%	0.28%	0.00%	0.56%	0.23%	0.09%	0.00%	0.00%	0.00%	0.00%	1.45%	1.27%	0.00%	1.37%	0.61%	0.00%	0.00%	0.00%	0.00%	0.64%	0.51%	0.57%	1.30%	0.41%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1661	23	15	16	44	29	20	6	43	43	44	32	43	75	64	54	40	155	156	136	19	14	44	5	29	35	17	33	43	23	65	100	41	28	33	15	45	34									
		17.25%	16.67%	30.00%	13.22%	16.86%	15.85%	14.60%	6.52%	13.07%	17.84%	12.83%	20.78%	19.37%	17.12%	17.73%	17.48%	22.35%	17.80%	13.54%	17.19%	21.59%	29.17%	20.37%	7.25%	18.35%	14.46%	23.29%	20.00%	18.53%	16.08%	18.84%	22.27%	26.28%	14.21%	18.75%	19.48%	18.60%	18.58%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	49	0	0	1	2	0	0	0	1	0	2	0	0	0	3	2	1	9	14	3	0	0	0	0	2	1	1	0	0	0	0	5	1	0	1	0	0	0									
		0.51%	0.00%	0.00%	0.83%	0.77%	0.00%	0.00%	0.00%	0.30%	0.00%	0.58%	0.00%	0.00%	0.00%	0.83%	0.65%	0.56%	1.03%	1.22%	0.38%	0.00%	0.00%	0.00%	0.00%	1.27%	0.41%	1.37%	0.00%	0.00%	0.00%	0.00%	1.11%	0.64%	0.00%	0.57%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	71	0	0	0	2	2	0	1	3	1	2	1	0	4	2	1	2	14	13	10	0	0	5	0	1	0	0	0	1	0	1	1	1	1	0	1	0	1									
		0.74%	0.00%	0.00%	0.00%	0.77%	1.09%	0.00%	1.09%	0.91%	0.41%	0.58%	0.65%	0.00%	0.91%	0.55%	0.32%	1.12%	1.61%	1.13%	1.26%	0.00%	0.00%	2.31%	0.00%	0.63%	0.00%	0.00%	0.00%	0.43%	0.00%	0.29%	0.22%	0.64%	0.51%	0.00%	1.30%	0.00%	0.55%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	2	0	1	0	0	0	1	0	0	1	0									
		0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.37%	1.21%	0.00%	0.70%	0.00%	0.00%	0.00%	0.51%	0.00%	0.00%	0.41%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	94	0	0	0	3	2	2	0	3	0	1	0	0	7	5	4	1	17	17	12	0	0	2	0	1	1	2	0	0	3	1	3	2	1	4	0	0	0									
		0.98%	0.00%	0.00%	0.00%	1.15%	1.09%	1.46%	0.00%	0.91%	0.00%	0.29%	0.00%	0.00%	1.60%	1.39%	1.29%	0.56%	1.95%	1.48%	1.52%	0.00%	0.00%	0.93%	0.00%	0.63%	0.41%	2.74%	0.00%	0.00%	2.10%	0.29%	0.67%	1.28%	0.51%	2.27%	0.00%	0.00%	0.00%									
