Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
Наименование Избирательной комиссии:    Правобережная																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №351	УИК №352	УИК №353									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	44220	2227	1875	2124	1133	2842	1280	1226	299	642	1172	2274	2598	2353	1321	1931	2508	2826	1613	1232	1592	1570	2696	1947	1723	308	821	87									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	42199	2090	1755	1988	1070	2720	1215	1190	300	600	1100	2160	2415	2275	1270	1835	2325	2630	1553	1175	1493	1470	2520	1835	1615	700	700	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	33480	1697	1633	1614	882	2302	1015	956	211	490	858	1890	1974	1888	1031	1490	1438	2135	1317	248	1305	1343	2039	1481	1301	308	547	87									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1360	51	22	39	70	28	70	41	22	40	56	42	60	53	40	46	200	69	10	28	33	31	36	74	63	0	136	0									
6	Число погашенных избирательных бюллетеней	7002	342	100	335	118	390	130	193	67	70	186	228	381	334	199	299	687	426	226	542	155	96	445	280	251	392	17	113									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1358	51	22	39	70	28	70	41	22	40	56	42	60	53	40	46	200	69	10	28	33	31	36	72	63	0	136	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	33480	1697	1633	1614	882	2302	1015	956	211	490	858	1890	1974	1888	1031	1490	1438	2135	1317	248	1305	1343	2039	1481	1301	308	547	87									
9	Число недействительных избирательных бюллетеней	318	19	25	17	20	2	40	4	9	2	3	4	18	0	0	8	10	30	7	9	26	15	0	12	18	5	9	6									
10	Число действительных избирательных бюллетеней	34520	1729	1630	1636	932	2328	1045	993	224	528	911	1928	2016	1941	1071	1528	1628	2174	1320	267	1312	1359	2075	1541	1346	303	674	81									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2659	130	120	120	80	170	80	80	19	40	80	150	150	150	80	130	150	150	120	80	100	100	150	130	100	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	290	21	4	8	5	17	1	2	2	1	8	12	18	60	9	15	16	11	10	8	12	10	7	19	14	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	353	2	0	29	3	5	13	3	3	21	16	8	15	7	11	6	8	15	9	7	26	6	12	13	19	9	0	87									
14	Число погашенных неиспользованных открепительных удостоверений	2369	109	116	112	75	153	79	78	17	39	72	138	132	90	71	115	134	139	110	72	88	90	143	111	86	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	339	5	8	6	6	20	4	6	1	3	7	25	37	31	13	20	11	33	21	9	17	11	17	13	15	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	357	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	397	15	17	8	7	6	64	19	0	23	4	7	4	13	7	73	9	17	5	1	16	12	20	1	32	13	4	0									
		1.14%	0.86%	1.03%	0.48%	0.74%	0.26%	5.90%	1.91%	0.00%	4.34%	0.44%	0.36%	0.20%	0.67%	0.65%	4.75%	0.55%	0.77%	0.38%	0.36%	1.20%	0.87%	0.96%	0.06%	2.35%	4.22%	0.59%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	632	73	11	15	4	29	4	15	17	0	32	22	21	57	6	22	72	35	14	13	12	14	18	65	27	12	17	5									
		1.81%	4.18%	0.66%	0.91%	0.42%	1.24%	0.37%	1.50%	7.30%	0.00%	3.50%	1.14%	1.03%	2.94%	0.56%	1.43%	4.40%	1.59%	1.06%	4.71%	0.90%	1.02%	0.87%	4.19%	1.98%	3.90%	2.49%	5.75%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	102	8	0	4	8	0	0	0	0	0	2	2	6	8	2	3	6	12	2	3	1	4	1	5	15	6	4	0									
		0.29%	0.46%	0.00%	0.24%	0.84%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.10%	0.29%	0.41%	0.19%	0.20%	0.37%	0.54%	0.15%	1.09%	0.07%	0.29%	0.05%	0.32%	1.10%	1.95%	0.59%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	22752	1042	1442	1145	669	1516	636	669	191	473	609	1253	1198	1001	760	892	1426	1174	763	164	829	893	1348	988	861	212	552	46									
		65.31%	59.61%	87.13%	69.27%	70.27%	65.06%	58.62%	67.10%	81.97%	89.25%	66.63%	64.86%	58.90%	51.57%	70.96%	58.07%	87.06%	53.27%	57.50%	59.42%	61.96%	64.99%	64.96%	63.62%	63.12%	68.83%	80.82%	52.87%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	395	19	5	7	51	4	31	11	0	12	17	9	3	20	5	7	4	32	7	19	12	19	12	37	15	13	22	2									
		1.13%	1.09%	0.30%	0.42%	5.36%	0.17%	2.86%	1.10%	0.00%	2.26%	1.86%	0.47%	0.15%	1.03%	0.47%	0.46%	0.24%	1.45%	0.53%	6.88%	0.90%	1.38%	0.58%	2.38%	1.10%	4.22%	3.22%	2.30%									
24	"6. Политическая партия ""Гражданская Платформа"""	12	0	0	0	1	0	0	0	0	0	0	1	0	1	2	1	0	2	1	1	0	1	0	0	0	0	1	0									
		0.03%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.05%	0.00%	0.05%	0.19%	0.07%	0.00%	0.09%	0.08%	0.36%	0.00%	0.07%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	896	110	6	68	4	111	8	10	0	0	7	17	26	117	9	118	14	24	12	10	18	17	54	45	66	13	11	1									
		2.57%	6.29%	0.36%	4.11%	0.42%	4.76%	0.74%	1.00%	0.00%	0.00%	0.77%	0.88%	1.28%	6.03%	0.84%	7.68%	0.85%	1.09%	0.90%	3.62%	1.35%	1.24%	2.60%	2.90%	4.84%	4.22%	1.61%	1.15%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	31	1	0	0	0	0	0	0	0	0	0	1	1	3	3	2	0	3	1	1	2	6	1	2	2	1	0	1									
		0.09%	0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.05%	0.05%	0.15%	0.28%	0.13%	0.00%	0.14%	0.08%	0.36%	0.15%	0.44%	0.05%	0.13%	0.15%	0.32%	0.00%	1.15%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	58	2	3	3	1	0	0	0	0	0	0	5	6	2	7	1	2	4	3	5	2	1	0	3	7	0	1	0									
		0.17%	0.11%	0.18%	0.18%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.29%	0.10%	0.65%	0.07%	0.12%	0.18%	0.23%	1.81%	0.15%	0.07%	0.00%	0.19%	0.51%	0.00%	0.15%	0.00%									
