Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																								
Дата голосования: 02.12.2007																								
																								
Наименование Избирательной комиссии:    Лыткаринская городская																								
																								
Сводная таблица результатов выборов																								
																								
		Сумма	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306					
1	"Число избирателей, внесенных в списки избирателей"	39670	1582	2415	2544	2897	2655	2916	2458	2385	2156	1813	2176	2718	2399	1982	1877	2007	2690					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	38400	1500	2500	2400	2800	2500	2800	2600	2200	2200	1900	2100	2500	2200	1800	1800	2000	2600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	21922	962	1417	1335	1572	1464	1501	1446	1241	1251	1066	1270	1548	1237	1065	1007	1069	1471					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	622	46	32	21	24	19	19	30	39	43	22	36	21	27	29	32	39	143					
6	Число погашенных избирательных бюллетеней	15853	492	1051	1044	1204	1017	1280	1124	920	906	809	794	931	936	706	761	892	986					
7	Число избирательных бюллетеней в переносных ящиках для голосования	622	46	32	21	24	19	19	30	39	43	22	36	21	27	29	32	39	143					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	21893	962	1417	1335	1572	1463	1501	1446	1236	1250	1063	1267	1544	1235	1065	1005	1069	1463					
9	Число недействительных избирательных бюллетеней	302	13	27	19	19	18	13	24	12	12	20	18	18	17	21	17	17	17					
10	Число действительных избирательных бюллетеней	22213	995	1422	1337	1577	1464	1507	1452	1263	1281	1065	1285	1547	1245	1073	1020	1091	1589					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1020	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	426	18	24	31	27	27	24	28	35	21	27	22	29	26	18	34	18	17					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	191	11	14	10	7	13	14	12	7	5	29	20	5	5	2	8	18	11					
14	Число погашенных неиспользованных открепительных удостоверений	594	42	36	29	33	33	36	32	25	39	33	38	31	34	42	26	42	43					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	47	2	5	5	5	1	5	3	3	1	3	5	2	1	0	2	1	3					
16	Число утраченных избирательных бюллетеней	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																								
18	1.Политическая партия «Аграрная партия России»	798	27	53	41	52	57	48	54	45	50	32	43	43	49	52	52	45	55					
		3.54%	2.68%	3.66%	3.02%	3.26%	3.85%	3.16%	3.66%	3.53%	3.87%	2.95%	3.30%	2.75%	3.88%	4.75%	5.01%	4.06%	3.42%					
19	2.Всероссийская политическая партия «Гражданская Сила»	489	13	23	37	42	20	36	35	31	37	28	32	30	33	20	16	21	35					
		2.17%	1.29%	1.59%	2.73%	2.63%	1.35%	2.37%	2.37%	2.43%	2.86%	2.58%	2.46%	1.92%	2.61%	1.83%	1.54%	1.90%	2.18%					
20	3.Политическая партия «Демократическая партия России»	36	3	2	2	3	0	6	3	1	2	2	6	0	1	1	1	2	1					
		0.16%	0.30%	0.14%	0.15%	0.19%	0.00%	0.39%	0.20%	0.08%	0.15%	0.18%	0.46%	0.00%	0.08%	0.09%	0.10%	0.18%	0.06%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	3208	107	187	205	195	224	204	180	196	188	163	184	262	204	166	165	148	230					
		14.25%	10.62%	12.91%	15.12%	12.22%	15.11%	13.42%	12.20%	15.37%	14.54%	15.02%	14.12%	16.74%	16.16%	15.17%	15.91%	13.36%	14.32%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	356	6	16	16	40	25	29	23	25	30	16	26	15	20	7	14	21	27					
		1.58%	0.60%	1.10%	1.18%	2.51%	1.69%	1.91%	1.56%	1.96%	2.32%	1.47%	1.99%	0.96%	1.58%	0.64%	1.35%	1.90%	1.68%					
23	6.Политическая партия «Партия социальной справедливости»	85	0	7	6	6	5	5	15	4	4	3	6	3	3	2	5	5	6					
		0.38%	0.00%	0.48%	0.44%	0.38%	0.34%	0.33%	1.02%	0.31%	0.31%	0.28%	0.46%	0.19%	0.24%	0.18%	0.48%	0.45%	0.37%					
