Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																															
Дата голосования: 18.09.2016																																																															
																																																															
Наименование Избирательной комиссии:    Новочебоксарская городская																																																															
																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																															
																																																															
		Сумма	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	100384	1570	2267	1851	1880	1771	2431	1783	1722	1475	1561	2242	1900	2728	1441	1667	1938	2599	1619	2062	2035	1961	1602	2218	1023	1413	1863	1654	2047	1538	2293	2012	1688	1894	1253	273	2555	2678	2318	2147	2138	2237	1978	2209	1635	2119	1792	2139	2030	1977	2365	2544	2249									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	101000	1570	2270	1880	1900	1790	2460	1790	1745	1485	1585	2240	1895	2755	1450	1700	1960	2635	1635	2095	2055	1990	1620	2245	1030	1420	1880	1680	2070	1530	2305	1975	1635	1910	1270	280	2485	2685	2345	2165	2155	2240	1985	2215	1655	2130	1800	2150	2045	1995	2395	2560	2260									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	45267	752	1036	716	809	559	1081	662	775	600	659	1117	980	1223	598	741	892	1142	731	875	808	804	732	1163	502	695	753	627	915	725	1023	895	797	820	616	124	1139	1168	1056	942	1045	1022	941	1057	791	992	822	1032	989	932	1025	1266	1101									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1002	21	42	18	21	11	39	47	11	6	87	12	15	23	44	15	15	39	16	24	10	28	12	7	11	14	11	9	12	18	26	13	16	7	17	5	96	15	9	10	6	7	15	17	14	11	12	16	11	7	12	10	12									
6	Число погашенных избирательных бюллетеней	54731	797	1192	1146	1070	1220	1340	1081	959	879	839	1111	900	1509	808	944	1053	1454	888	1196	1237	1158	876	1075	517	711	1116	1044	1143	787	1256	1067	822	1083	637	151	1250	1502	1280	1213	1104	1211	1029	1141	850	1127	966	1102	1045	1056	1358	1284	1147									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1002	21	42	18	21	11	39	47	11	6	87	12	15	23	44	15	15	39	16	24	10	28	12	7	11	14	11	9	12	18	26	13	16	7	17	5	96	15	9	10	6	7	15	17	14	11	12	16	11	7	12	10	12									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	45234	752	1036	716	809	559	1081	662	775	600	659	1117	980	1222	597	741	892	1142	731	875	808	804	731	1163	502	695	753	627	914	725	1023	895	797	820	616	124	1132	1168	1056	942	1044	1016	941	1057	790	990	822	1031	989	932	1017	1266	1098									
9	Число недействительных избирательных бюллетеней	1557	39	55	24	29	30	49	26	34	26	38	36	38	32	20	16	16	36	19	29	36	35	24	42	20	33	37	16	26	21	36	32	20	19	25	3	41	39	33	39	33	29	29	37	26	41	29	36	27	21	20	37	23									
10	Число действительных избирательных бюллетеней	44679	734	1023	710	801	540	1071	683	752	580	708	1093	957	1213	621	740	891	1145	728	870	782	797	719	1128	493	676	727	620	900	722	1013	876	793	808	608	126	1187	1144	1032	913	1017	994	927	1037	778	960	805	1011	973	918	1009	1239	1087									
