Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																															
Дата голосования: 04.12.2011																																																															
																																																															
"Наименование Избирательной комиссии:    Ярославль, Фрунзенская"																																																															
																																																															
Сводная таблица результатов выборов																																																															
																																																															
		Сумма	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269					
1	"Число избирателей, внесенных в список избирателей"	102331	1706	490	1547	1354	2620	1618	2578	2605	2134	2287	1560	1493	2113	1364	2314	2210	1086	1133	2559	2539	2072	2035	2359	2314	2544	1311	2480	2157	2458	2244	1395	1426	1710	2205	1710	1479	1896	1765	1811	2089	1917	1918	1467	1983	1596	2197	1708	1884	2130	2214	1898	2124	2294	66	64	101					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	87370	1500	490	1300	1100	2200	1350	2200	2300	1800	2000	1300	1300	1800	1200	2000	1900	900	1000	2200	2200	1800	1800	2000	2000	2100	1100	2100	1800	2100	1900	1200	1200	1500	1800	1500	1200	1600	1500	1500	1800	1600	1600	1200	1700	1400	1900	1500	1600	1800	1900	1600	1800	2000	70	60	100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	55117	663	490	478	544	1382	602	1398	1503	1272	1291	811	790	1226	755	1375	1195	597	647	1448	1387	1081	995	1402	1262	1273	541	1359	974	1255	1168	867	845	886	1097	730	585	1111	1002	974	1322	1091	1061	754	1064	901	1202	983	1192	1263	1303	1161	1067	1312	57	42	81					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2216	24	0	38	35	66	28	25	17	34	55	23	14	26	28	28	38	15	32	73	45	71	36	72	83	35	55	22	65	42	34	37	28	107	80	58	44	14	59	53	48	34	63	30	78	27	24	45	32	27	15	42	52	16	9	18	17					
6	Число погашенных избирательных бюллетеней	30037	813	0	784	521	752	720	777	780	494	654	466	496	548	417	597	667	288	321	679	768	648	769	526	655	792	504	719	761	803	698	296	327	507	623	712	571	475	439	473	430	475	476	416	558	472	674	472	376	510	582	397	681	672	4	0	2					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2216	24	0	38	35	66	28	25	17	34	55	23	14	26	28	28	38	15	32	73	45	71	36	72	83	35	55	22	65	42	34	37	28	107	80	58	44	14	59	53	48	34	63	30	78	27	24	45	32	27	15	42	52	16	9	18	17					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	55090	663	489	478	544	1382	602	1398	1501	1269	1289	811	788	1226	754	1373	1194	597	645	1447	1385	1081	995	1402	1262	1273	541	1359	974	1254	1168	867	845	886	1097	730	585	1110	1001	974	1322	1091	1061	754	1064	901	1202	983	1190	1261	1302	1161	1067	1312	57	42	81					
9	Число недействительных избирательных бюллетеней	990	19	46	8	8	39	21	23	28	20	21	28	15	23	17	35	24	9	14	17	25	13	17	31	21	12	7	28	13	16	16	9	9	13	19	13	11	18	18	12	20	19	21	12	16	21	20	18	19	17	18	12	16	22	1	0	2					
10	Число действительных избирательных бюллетеней	56316	668	443	508	571	1409	609	1400	1490	1283	1323	806	787	1229	765	1366	1208	603	663	1503	1405	1139	1014	1443	1324	1296	589	1353	1026	1280	1186	895	864	980	1158	775	618	1106	1042	1015	1350	1106	1103	772	1126	907	1206	1010	1203	1271	1299	1191	1103	1306	65	60	96					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1777	30	0	25	20	45	25	40	45	35	40	30	25	40	25	40	40	23	20	45	45	35	35	40	40	40	20	40	35	45	40	26	25	30	65	30	25	35	30	30	35	35	20	25	35	30	40	30	30	40	40	35	35	43	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1293	8	0	13	10	34	21	36	26	19	30	23	9	38	21	33	22	21	13	39	27	31	24	29	28	33	8	32	27	37	17	24	20	21	64	16	10	33	20	25	31	16	18	22	25	24	35	20	16	30	21	31	21	41	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1081	16	202	15	18	29	11	23	5	26	5	9	2	14	11	14	15	17	5	17	15	19	8	24	17	27	18	22	48	15	26	7	25	19	19	10	17	17	9	23	14	10	19	9	20	14	17	15	18	11	13	7	10	16	20	10	19					
14	Число погашенных неиспользованных открепительных удостоверений	484	22	0	12	10	11	4	4	19	16	10	7	16	2	4	7	18	2	7	6	18	4	11	11	12	7	12	8	8	8	23	2	5	9	1	14	15	2	10	5	4	19	2	3	10	6	5	10	14	10	19	4	14	2	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	17	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																															
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	12076	119	34	92	123	296	118	325	326	314	297	172	173	312	131	285	218	123	151	310	292	288	203	278	306	262	125	257	209	266	261	200	179	209	241	129	126	221	209	207	343	253	220	176	261	226	256	233	243	293	300	287	233	304	16	19	26					
		21.07%	17.32%	6.95%	17.83%	21.24%	20.44%	18.73%	22.84%	21.48%	24.10%	22.10%	20.62%	21.57%	24.92%	16.75%	20.34%	17.69%	20.10%	22.30%	20.39%	20.42%	25.00%	19.69%	18.86%	22.75%	20.03%	20.97%	18.61%	20.12%	20.52%	21.71%	22.12%	20.50%	21.05%	20.48%	16.37%	20.03%	19.66%	19.72%	20.16%	25.04%	22.49%	19.57%	22.45%	22.85%	24.35%	20.88%	22.67%	19.89%	22.75%	22.78%	23.86%	20.82%	22.89%	24.24%	31.67%	26.53%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	9098	99	167	103	96	268	101	202	236	198	211	164	162	236	134	237	202	111	102	252	222	176	177	262	165	247	94	197	181	193	183	121	127	139	181	153	112	169	138	145	179	155	153	128	150	133	182	160	186	184	188	174	186	241	11	4	21					
		15.88%	14.41%	34.15%	19.96%	16.58%	18.51%	16.03%	14.20%	15.55%	15.20%	15.70%	19.66%	20.20%	18.85%	17.14%	16.92%	16.40%	18.14%	15.07%	16.58%	15.52%	15.28%	17.17%	17.77%	12.27%	18.88%	15.77%	14.27%	17.42%	14.89%	15.22%	13.38%	14.55%	13.99%	15.38%	19.42%	17.81%	15.04%	13.02%	14.12%	13.07%	13.78%	13.61%	16.33%	13.13%	14.33%	14.85%	15.56%	15.22%	14.29%	14.27%	14.46%	16.62%	18.15%	16.67%	6.67%	21.43%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1380	22	4	4	11	43	10	40	43	37	27	13	26	25	22	42	41	13	15	37	35	19	17	24	34	26	20	36	26	34	21	23	14	20	28	15	12	25	20	24	26	30	23	10	30	28	33	37	33	31	35	28	40	43	3	0	2					
		2.41%	3.20%	0.82%	0.78%	1.90%	2.97%	1.59%	2.81%	2.83%	2.84%	2.01%	1.56%	3.24%	1.99%	2.81%	2.99%	3.33%	2.12%	2.22%	2.43%	2.45%	1.65%	1.65%	1.63%	2.53%	1.99%	3.36%	2.61%	2.50%	2.62%	1.75%	2.54%	1.60%	2.01%	2.38%	1.90%	1.91%	2.22%	1.89%	2.34%	1.90%	2.67%	2.05%	1.28%	2.63%	3.02%	2.69%	3.60%	2.70%	2.41%	2.66%	2.33%	3.57%	3.24%	4.55%	0.00%	2.04%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	14611	159	46	108	138	353	152	346	412	328	328	205	157	311	211	371	282	138	156	422	355	283	254	386	370	321	126	415	261	385	325	252	204	254	304	173	140	320	263	254	393	301	293	191	293	253	360	263	334	385	335	312	256	321	16	17	20					
		25.50%	23.14%	9.41%	20.93%	23.83%	24.38%	24.13%	24.31%	27.14%	25.17%	24.40%	24.58%	19.58%	24.84%	26.98%	26.48%	22.89%	22.55%	23.04%	27.76%	24.83%	24.57%	24.64%	26.19%	27.51%	24.54%	21.14%	30.05%	25.12%	29.71%	27.04%	27.88%	23.37%	25.58%	25.83%	21.95%	22.26%	28.47%	24.81%	24.73%	28.69%	26.76%	26.07%	24.36%	25.66%	27.26%	29.36%	25.58%	27.33%	29.89%	25.44%	25.94%	22.88%	24.17%	24.24%	28.33%	20.41%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3615	80	11	41	31	85	49	142	89	64	71	33	44	65	49	74	100	9	21	83	58	52	46	60	77	68	44	127	88	89	87	71	50	51	108	36	43	97	65	61	102	74	86	64	66	29	77	51	84	77	132	91	66	80	6	3	8					
		6.31%	11.64%	2.25%	7.95%	5.35%	5.87%	7.78%	9.98%	5.86%	4.91%	5.28%	3.96%	5.49%	5.19%	6.27%	5.28%	8.12%	1.47%	3.10%	5.46%	4.06%	4.51%	4.46%	4.07%	5.72%	5.20%	7.38%	9.20%	8.47%	6.87%	7.24%	7.85%	5.73%	5.14%	9.18%	4.57%	6.84%	8.63%	6.13%	5.94%	7.45%	6.58%	7.65%	8.16%	5.78%	3.13%	6.28%	4.96%	6.87%	5.98%	10.02%	7.56%	5.90%	6.02%	9.09%	5.00%	8.16%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	15052	183	175	160	168	352	167	333	368	339	384	209	219	269	213	348	350	202	213	378	432	315	311	421	360	356	176	314	255	296	297	219	283	302	284	264	178	265	343	315	290	289	314	198	323	235	288	259	314	282	291	285	313	308	13	16	18					
		26.27%	26.64%	35.79%	31.01%	29.02%	24.31%	26.51%	23.40%	24.24%	26.02%	28.57%	25.06%	27.31%	21.49%	27.24%	24.84%	28.41%	33.01%	31.46%	24.87%	30.21%	27.34%	30.16%	28.56%	26.77%	27.22%	29.53%	22.74%	24.54%	22.84%	24.71%	24.23%	32.42%	30.41%	24.13%	33.50%	28.30%	23.58%	32.36%	30.67%	21.17%	25.69%	27.94%	25.26%	28.28%	25.32%	23.49%	25.19%	25.70%	21.89%	22.10%	23.69%	27.97%	23.19%	19.70%	26.67%	18.37%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	484	6	6	0	4	12	12	12	16	3	5	10	6	11	5	9	15	7	5	21	11	6	6	12	12	16	4	7	6	17	12	9	7	5	12	5	7	9	4	9	17	4	14	5	3	3	10	7	9	19	18	14	9	9	0	1	1					
		0.84%	0.87%	1.23%	0.00%	0.69%	0.83%	1.90%	0.84%	1.05%	0.23%	0.37%	1.20%	0.75%	0.88%	0.64%	0.64%	1.22%	1.14%	0.74%	1.38%	0.77%	0.52%	0.58%	0.81%	0.89%	1.22%	0.67%	0.51%	0.58%	1.31%	0.99%	0.99%	0.80%	0.50%	1.02%	0.63%	1.11%	0.80%	0.38%	0.88%	1.24%	0.36%	1.25%	0.64%	0.26%	0.32%	0.82%	0.68%	0.74%	1.48%	1.37%	1.16%	0.80%	0.68%	0.00%	1.67%	1.02%					
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
