Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																				
Дата голосования: 02.12.2007																				
																				
Наименование Избирательной комиссии:    Лесная																				
																				
Сводная таблица результатов выборов																				
																				
		Сумма	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615					
1	"Число избирателей, внесенных в списки избирателей"	5002	217	132	187	326	229	271	1522	378	249	347	366	553	225					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	4310	200	120	190	290	220	240	1200	320	230	300	340	450	210					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	2205	109	61	99	127	85	102	773	155	127	183	159	120	105					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1128	60	33	58	94	105	116	84	67	68	41	133	214	55					
6	Число погашенных избирательных бюллетеней	977	31	26	33	69	30	22	343	98	35	76	48	116	50					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1128	60	33	58	94	105	116	84	67	68	41	133	214	55					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2205	109	61	99	127	85	102	773	155	127	183	159	120	105					
9	Число недействительных избирательных бюллетеней	21	0	1	0	0	1	2	8	0	2	0	0	5	2					
10	Число действительных избирательных бюллетеней	3312	169	93	157	221	189	216	849	222	193	224	292	329	158					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	97	6	3	10	6	12	5	20	5	6	8	8	8	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	71	6	2	10	6	11	0	17	5	3	4	6	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	24	1	0	3	0	3	0	6	1	1	3	2	0	4					
14	Число погашенных неиспользованных открепительных удостоверений	26	0	1	0	0	1	5	3	0	3	4	2	7	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	1	0	0	0	0	1	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
18	1.Политическая партия «Аграрная партия России»	247	14	1	17	22	18	17	62	20	15	10	20	24	7					
		7.41%	8.28%	1.06%	10.83%	9.95%	9.47%	7.80%	7.23%	9.01%	7.69%	4.46%	6.85%	7.19%	4.38%					
19	2.Всероссийская политическая партия «Гражданская Сила»	13	0	1	1	1	0	1	6	0	0	0	1	2	0					
		0.39%	0.00%	1.06%	0.64%	0.45%	0.00%	0.46%	0.70%	0.00%	0.00%	0.00%	0.34%	0.60%	0.00%					
20	3.Политическая партия «Демократическая партия России»	1	0	0	0	0	0	0	1	0	0	0	0	0	0					
		0.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	265	9	14	7	9	15	15	89	19	10	13	15	41	9					
		7.95%	5.33%	14.89%	4.46%	4.07%	7.89%	6.88%	10.39%	8.56%	5.13%	5.80%	5.14%	12.28%	5.63%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	9	1	0	0	1	0	0	1	1	1	2	0	1	1					
		0.27%	0.59%	0.00%	0.00%	0.45%	0.00%	0.00%	0.12%	0.45%	0.51%	0.89%	0.00%	0.30%	0.63%					
23	6.Политическая партия «Партия социальной справедливости»	7	0	0	0	0	0	1	3	1	0	0	0	2	0					
		0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.46%	0.35%	0.45%	0.00%	0.00%	0.00%	0.60%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	331	9	4	21	27	24	21	101	17	17	18	32	23	17					
		9.93%	5.33%	4.26%	13.38%	12.22%	12.63%	9.63%	11.79%	7.66%	8.72%	8.04%	10.96%	6.89%	10.63%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	276	19	5	9	23	15	14	79	20	15	21	32	14	10					
		8.28%	11.24%	5.32%	5.73%	10.41%	7.89%	6.42%	9.22%	9.01%	7.69%	9.38%	10.96%	4.19%	6.25%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	12	4	0	0	0	2	1	1	0	0	1	1	2	0					
		0.36%	2.37%	0.00%	0.00%	0.00%	1.05%	0.46%	0.12%	0.00%	0.00%	0.45%	0.34%	0.60%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	2136	113	68	99	137	115	144	498	144	135	159	190	220	114					
		64.09%	66.86%	72.34%	63.06%	61.99%	60.53%	66.06%	58.11%	64.86%	69.23%	70.98%	65.07%	65.87%	71.25%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	15	0	0	3	1	0	2	8	0	0	0	1	0	0					
		0.45%	0.00%	0.00%	1.91%	0.45%	0.00%	0.92%	0.93%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
