Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																				
Дата голосования: 04.12.2011																				
																				
Наименование Избирательной комиссии:    Лесная																				
																				
Сводная таблица результатов выборов																				
																				
		Сумма	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566					
1	"Число избирателей, внесенных в список избирателей"	4629	192	93	190	318	209	249	1470	350	265	312	313	484	184					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4250	180	90	180	300	200	220	1220	350	270	310	300	450	180					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	2008	87	54	82	139	73	85	765	152	115	152	146	84	74					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1064	51	18	55	96	81	124	141	58	89	40	83	181	47					
6	Число погашенных избирательных бюллетеней	1178	42	18	43	65	46	11	314	140	66	118	71	185	59					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1064	51	18	55	96	81	124	141	58	89	40	83	181	47					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2008	87	54	82	139	73	85	765	152	115	152	146	84	74					
9	Число недействительных избирательных бюллетеней	35	7	1	3	6	2	0	9	1	2	1	1	0	2					
10	Число действительных избирательных бюллетеней	3037	131	71	134	229	152	209	897	209	202	191	228	265	119					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	147	10	5	10	11	8	10	35	7	10	18	10	8	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	130	10	3	4	11	8	5	33	7	10	18	8	8	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	50	2	0	2	5	3	2	15	2	6	3	4	5	1					
14	Число погашенных неиспользованных открепительных удостоверений	17	0	2	6	0	0	5	2	0	0	0	2	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	0	0	0	0	1	1	0	0	0	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	473	18	12	16	36	20	27	172	25	29	23	37	43	15					
		15.40%	13.04%	16.67%	11.68%	15.32%	12.99%	12.92%	18.98%	11.90%	14.22%	11.98%	16.16%	16.23%	12.40%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	446	19	5	28	36	27	40	141	22	30	10	35	36	17					
		14.52%	13.77%	6.94%	20.44%	15.32%	17.53%	19.14%	15.56%	10.48%	14.71%	5.21%	15.28%	13.58%	14.05%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	33	0	2	1	3	0	0	11	2	7	3	1	2	1					
		1.07%	0.00%	2.78%	0.73%	1.28%	0.00%	0.00%	1.21%	0.95%	3.43%	1.56%	0.44%	0.75%	0.83%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	538	10	14	16	39	13	34	196	56	24	26	35	59	16					
		17.51%	7.25%	19.44%	11.68%	16.60%	8.44%	16.27%	21.63%	26.67%	11.76%	13.54%	15.28%	22.26%	13.22%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	43	3	1	0	3	3	1	17	3	2	4	5	1	0					
		1.40%	2.17%	1.39%	0.00%	1.28%	1.95%	0.48%	1.88%	1.43%	0.98%	2.08%	2.18%	0.38%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1492	81	36	72	111	89	106	356	100	110	124	113	124	70					
		48.57%	58.70%	50.00%	52.55%	47.23%	57.79%	50.72%	39.29%	47.62%	53.92%	64.58%	49.34%	46.79%	57.85%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	12	0	1	1	1	0	1	4	1	0	1	2	0	0					
		0.39%	0.00%	1.39%	0.73%	0.43%	0.00%	0.48%	0.44%	0.48%	0.00%	0.52%	0.87%	0.00%	0.00%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
