Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																					
Дата голосования: 18.09.2016																																																																					
																																																																					
Наименование Избирательной комиссии:    Миллеровская																																																																					
																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																					
																																																																					
		Сумма	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	54112	2367	2114	2451	1624	1610	1708	2652	2005	1112	2324	2745	348	1832	1541	2603	552	803	154	642	495	112	575	633	2179	303	632	129	274	492	143	121	130	2776	183	239	988	566	588	255	1116	401	585	259	760	584	217	656	167	1196	607	609	481	366	567	1134	592	533	282									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	54000	2350	2105	2445	1630	1620	1665	2565	2010	1100	2330	2750	345	1825	1540	2600	560	805	155	640	495	115	570	640	2195	300	655	125	270	495	140	120	130	2750	180	270	985	560	595	255	1120	405	585	260	760	595	215	655	170	1200	605	610	490	370	565	1100	590	535	285									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	23446	1199	992	732	878	495	814	941	563	303	662	919	176	880	783	1180	342	364	71	201	199	65	264	269	861	191	349	69	192	206	105	92	90	905	86	130	480	371	300	154	509	214	229	110	264	290	95	269	89	831	202	388	240	202	302	731	256	234	118									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2277	38	45	43	40	90	23	31	23	45	43	29	17	50	18	29	41	41	44	16	60	12	49	59	122	8	72	13	15	24	6	2	6	75	41	3	46	50	56	11	212	54	22	9	44	42	29	31	12	41	47	35	41	31	69	50	28	27	17									
6	Число погашенных избирательных бюллетеней	28277	1113	1068	1670	712	1035	828	1593	1424	752	1625	1802	152	895	739	1391	177	400	40	423	236	38	257	312	1212	101	234	43	63	265	29	26	34	1770	53	137	459	139	239	90	399	137	334	141	452	263	91	355	69	328	356	187	209	137	194	319	306	274	150									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2255	38	45	43	40	90	23	31	23	23	43	29	17	50	18	29	41	41	44	16	60	12	49	59	122	8	72	13	15	24	6	2	6	75	41	3	46	50	56	11	212	54	22	9	44	42	29	31	12	41	47	35	41	31	69	50	28	27	17									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	23412	1199	992	732	878	495	814	941	563	303	662	890	176	880	783	1180	342	364	71	201	199	65	264	269	861	191	349	69	192	206	105	92	90	900	86	130	480	371	300	154	509	214	229	110	264	290	95	269	89	831	202	388	240	202	302	731	256	234	118									
9	Число недействительных избирательных бюллетеней	463	0	10	24	0	12	15	116	15	10	17	18	2	6	10	18	4	11	23	6	0	0	0	1	9	0	4	1	1	4	2	1	0	17	1	0	0	0	2	1	8	2	6	3	6	0	0	6	18	5	6	0	3	0	1	24	2	9	3									
10	Число действительных избирательных бюллетеней	25204	1237	1027	751	918	573	822	856	571	316	688	901	191	924	791	1191	379	394	92	211	259	77	313	327	974	199	417	81	206	226	109	93	96	958	126	133	526	421	354	164	713	266	245	116	302	332	124	294	83	867	243	423	278	233	370	757	282	252	132									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1050	40	40	40	35	35	35	40	20	15	40	20	5	20	35	115	15	15	5	15	10	5	10	15	30	10	25	5	5	10	5	5	5	35	5	5	15	15	15	5	20	10	15	5	15	15	5	15	5	20	15	15	10	10	10	15	15	10	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	274	9	4	8	5	7	11	21	12	9	3	12	2	4	8	65	1	4	0	0	2	2	2	6	10	0	19	0	0	1	1	0	0	4	0	0	0	1	6	2	4	2	0	0	1	5	0	3	0	1	0	4	1	1	1	4	0	6	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	201	10	9	11	1	4	6	9	5	4	10	10	7	11	3	14	2	1	0	3	3	2	4	1	4	0	3	1	0	1	3	0	0	8	2	0	3	3	0	1	3	1	1	1	1	1	1	1	0	3	0	2	0	0	0	22	2	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	776	31	36	32	30	28	24	19	8	6	37	8	3	16	27	50	14	11	5	15	8	3	8	9	20	10	6	5	5	9	4	5	5	31	5	5	15	14	9	3	16	8	15	5	14	10	5	12	5	19	15	11	9	9	9	11	15	4	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	47	5	4	2	4	3	1	2	0	0	0	4	1	0	1	1	0	0	0	0	0	0	1	0	1	0	3	0	0	1	0	0	0	4	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	2	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	245	4	12	9	10	4	11	12	13	2	11	18	4	3	13	13	6	2	0	5	2	0	1	0	3	2	5	1	0	2	0	0	0	6	2	0	2	1	5	0	1	2	4	4	3	1	0	2	0	3	1	3	0	2	0	31	2	2	0									
		0.95%	0.32%	1.16%	1.16%	1.09%	0.68%	1.31%	1.23%	2.22%	0.61%	1.56%	1.96%	2.07%	0.32%	1.62%	1.08%	1.57%	0.49%	0.00%	2.30%	0.77%	0.00%	0.32%	0.00%	0.31%	1.01%	1.19%	1.22%	0.00%	0.87%	0.00%	0.00%	0.00%	0.62%	1.57%	0.00%	0.38%	0.24%	1.40%	0.00%	0.14%	0.75%	1.59%	3.36%	0.97%	0.30%	0.00%	0.67%	0.00%	0.34%	0.40%	0.71%	0.00%	0.86%	0.00%	3.97%	0.70%	0.77%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	590	11	20	42	17	15	12	37	17	6	25	38	9	26	13	17	1	11	0	5	10	1	8	9	12	5	6	2	4	4	1	2	1	30	3	1	19	9	7	0	15	3	13	3	7	6	1	14	0	11	3	12	1	3	2	20	4	10	6									
		2.30%	0.89%	1.93%	5.42%	1.85%	2.56%	1.43%	3.81%	2.90%	1.84%	3.55%	4.13%	4.66%	2.80%	1.62%	1.41%	0.26%	2.72%	0.00%	2.30%	3.86%	1.30%	2.56%	2.74%	1.22%	2.51%	1.43%	2.44%	1.93%	1.74%	0.90%	2.13%	1.04%	3.08%	2.36%	0.75%	3.61%	2.14%	1.97%	0.00%	2.08%	1.12%	5.18%	2.52%	2.27%	1.81%	0.81%	4.67%	0.00%	1.26%	1.20%	2.84%	0.36%	1.29%	0.54%	2.56%	1.41%	3.83%	4.44%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	313	3	7	11	5	17	11	12	7	9	13	16	1	11	14	15	1	4	1	3	5	1	9	8	27	3	3	1	0	4	3	0	1	13	4	0	6	2	1	0	7	2	3	1	2	0	4	6	0	10	1	2	1	0	0	12	7	3	0									
		1.22%	0.24%	0.68%	1.42%	0.54%	2.91%	1.31%	1.23%	1.19%	2.76%	1.84%	1.74%	0.52%	1.18%	1.75%	1.24%	0.26%	0.99%	0.87%	1.38%	1.93%	1.30%	2.88%	2.44%	2.75%	1.51%	0.71%	1.22%	0.00%	1.74%	2.70%	0.00%	1.04%	1.33%	3.15%	0.00%	1.14%	0.48%	0.28%	0.00%	0.97%	0.75%	1.20%	0.84%	0.65%	0.00%	3.23%	2.00%	0.00%	1.15%	0.40%	0.47%	0.36%	0.00%	0.00%	1.54%	2.46%	1.15%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	15621	1002	750	283	645	278	461	410	241	165	321	372	100	620	513	784	276	243	90	97	139	63	198	245	565	144	333	59	165	116	78	70	85	434	87	84	349	318	257	148	546	204	137	57	167	137	64	172	48	605	170	314	222	148	276	389	176	125	76									
		60.86%	81.00%	72.32%	36.52%	70.26%	47.52%	55.08%	42.18%	41.13%	50.61%	45.53%	40.48%	51.81%	66.67%	64.04%	64.85%	72.06%	60.00%	78.26%	44.70%	53.67%	81.82%	63.26%	74.70%	57.48%	72.36%	79.10%	71.95%	79.71%	50.43%	70.27%	74.47%	88.54%	44.51%	68.50%	63.16%	66.35%	75.53%	72.19%	89.70%	75.73%	76.12%	54.58%	47.90%	54.22%	41.27%	51.61%	57.33%	47.52%	69.38%	68.27%	74.23%	79.00%	63.52%	74.39%	49.81%	61.97%	47.89%	56.30%									
