Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Велижская																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10198	251	337	293	408	307	305	679	584	2105	2831	2098									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10045	238	332	281	388	305	300	646	566	2111	2879	1999									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3451	111	137	102	145	85	145	246	179	749	919	633									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	675	44	54	42	55	33	45	87	128	58	55	74									
6	Число погашенных избирательных бюллетеней	5919	83	141	137	188	187	110	313	259	1304	1905	1292									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	675	44	54	42	55	33	45	87	128	58	55	74									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3451	111	137	102	145	85	145	246	179	749	919	633									
9	Число недействительных избирательных бюллетеней	61	0	0	1	0	2	3	3	8	16	17	11									
10	Число действительных избирательных бюллетеней	4065	155	191	143	200	116	187	330	299	791	957	696									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	111	7	7	7	7	7	7	10	8	17	17	17									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	68	1	7	0	1	7	7	10	8	6	17	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	34	3	2	4	1	1	1	5	3	9	0	5									
14	Число погашенных неиспользованных открепительных удостоверений	43	6	0	7	6	0	0	0	0	11	0	13									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	0	0	0	0	2	0	0	3	3	4	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0									
																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	34	1	1	1	0	1	2	2	3	11	6	6									
		0.82%	0.65%	0.52%	0.69%	0.00%	0.85%	1.05%	0.60%	0.98%	1.36%	0.62%	0.85%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	83	1	6	3	9	0	7	6	9	20	17	5									
		2.01%	0.65%	3.14%	2.08%	4.50%	0.00%	3.68%	1.80%	2.93%	2.48%	1.75%	0.71%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	65	1	4	3	2	3	2	4	13	10	14	9									
		1.58%	0.65%	2.09%	2.08%	1.00%	2.54%	1.05%	1.20%	4.23%	1.24%	1.44%	1.27%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2293	108	125	93	115	72	127	204	178	403	486	382									
		55.57%	69.68%	65.45%	64.58%	57.50%	61.02%	66.84%	61.26%	57.98%	49.94%	49.90%	54.03%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	20	0	0	1	0	0	0	1	1	3	7	7									
		0.48%	0.00%	0.00%	0.69%	0.00%	0.00%	0.00%	0.30%	0.33%	0.37%	0.72%	0.99%									
24	"6. Политическая партия ""Гражданская Платформа"""	13	1	0	0	0	1	1	1	2	3	3	1									
		0.32%	0.65%	0.00%	0.00%	0.00%	0.85%	0.53%	0.30%	0.65%	0.37%	0.31%	0.14%									
