Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																			
Дата голосования: 07.12.2003 0:00:00																																																			
																																																			
"Наименование Избирательной комиссии:    Иваново, Фрунзенская"																																																			
																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																			
																																																			
		Сумма	УИК  135	УИК  136	УИК  137	УИК  138	УИК  139	УИК  140	УИК  141	УИК  142	УИК  143	УИК  144	УИК  146	УИК  147	УИК  148	УИК  149	УИК  150	УИК  151	УИК  152	УИК  153	УИК  154	УИК  155	УИК  156	УИК  157	УИК  158	УИК  159	УИК  160	УИК  161	УИК  162	УИК  163	УИК  164	УИК  165	УИК  166	УИК  167	УИК  168	УИК  169	УИК  170	УИК  171	УИК  172	УИК  173	УИК  174	УИК  175	УИК  176	УИК  177	УИК  178	УИК  179					
1	"Число избирателей, внесенных в списки"	96060	2907	2076	1870	1618	1495	1336	1979	1884	1947	1946	1987	1201	2200	2619	1795	2448	1498	2015	2554	2575	2317	1966	2004	1821	2547	2315	2465	2726	2083	2297	1988	2075	2117	2233	3010	2219	2322	2409	2571	2638	2081	2777	2959	2170					
2	"Число бюллетеней, полученных участковыми комиссиями"	94458	2905	2035	1857	1618	1494	1331	1981	1885	2034	1941	1983	1202	2192	2610	1787	2409	1477	2013	2543	2559	2322	1947	2012	1819	2542	2315	2473	2713	2088	2300	1991	2107	2124	2227	1924	1805	2319	2418	2569	2662	2036	2773	2969	2147					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	44683	1426	1020	1069	846	766	704	989	938	772	883	1007	499	857	1056	736	1270	677	1082	1450	1462	987	829	962	805	1250	1197	1281	1253	1006	1033	727	1102	1032	1014	1373	1051	908	1047	1096	1307	727	1069	1168	950					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1519	26	56	20	28	37	24	24	32	147	38	19	36	14	49	36	16	24	17	23	15	37	20	58	39	29	43	19	30	44	49	31	57	36	32	27	9	23	27	27	28	13	55	67	38					
6	Число погашенных бюллетеней	48256	1453	959	768	744	691	603	968	915	1115	1020	957	667	1321	1505	1015	1123	776	914	1070	1082	1298	1098	992	975	1263	1075	1173	1430	1038	1218	1233	948	1056	1181	524	745	1388	1344	1446	1327	1296	1649	1734	1159					
7	Число бюллетеней в переносных ящиках для голосования	1519	26	56	20	28	37	24	24	32	147	38	19	36	14	49	36	16	24	17	23	15	37	20	58	39	29	43	19	30	44	49	31	57	36	32	27	9	23	27	27	28	13	55	67	38					
8	Число бюллетеней в стационарных ящиках для голосования	44659	1426	1020	1069	846	765	703	988	938	772	883	1007	499	856	1055	725	1269	676	1082	1477	1458	988	829	962	805	1250	1197	1278	1253	995	1032	727	1096	1031	1013	1373	1051	907	1045	1096	1306	727	1068	1168	948					
9	Число недействительных бюллетеней	485	7	9	10	15	7	7	12	3	4	15	7	6	103	16	4	14	9	6	6	7	1	10	4	6	5	8	10	6	5	11	10	17	4	13	12	5	14	9	17	13	5	10	11	12					
10	Число действительных бюллетеней	45693	1445	1067	1079	859	795	720	1000	967	915	906	1019	529	767	1088	757	1271	691	1093	1494	1466	1024	839	1016	838	1274	1232	1287	1277	1034	1070	748	1136	1063	1032	1388	1055	916	1063	1106	1321	735	1113	1224	974					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	894	18	18	8	10	18	8	18	10	18	18	18	8	18	8	26	30	30	8	18	18	18	8	18	18	18	18	18	12	18	18	18	22	20	18	167	39	12	15	10	25	23	5	15	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	634	14	8	8	10	13	4	15	10	6	7	9	4	3	3	13	20	26	7	12	10	16	4	11	7	8	11	16	10	9	12	8	17	19	17	167	27	9	2	6	17	14	2	14	9					
