Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																	
Дата голосования: 04.12.2011																	
																	
Наименование Избирательной комиссии:    Барун-Хемчикская																	
																	
Сводная таблица результатов выборов																	
																	
		Сумма	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55					
1	"Число избирателей, внесенных в список избирателей"	7319	1415	1489	529	317	750	343	475	722	356	923					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7578	1450	1480	598	317	745	384	541	705	358	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	512	0	0	40	7	64	0	102	87	190	22					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	6262	1303	1415	455	296	567	319	357	521	164	865					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	201	19	30	23	7	23	24	16	36	0	23					
6	Число погашенных избирательных бюллетеней	603	128	35	80	7	91	41	66	61	4	90					
7	Число избирательных бюллетеней в переносных ящиках для голосования	713	19	30	63	14	87	24	118	123	190	45					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6262	1303	1415	455	296	567	319	357	521	164	865					
9	Число недействительных избирательных бюллетеней	108	31	15	5	1	13	6	4	19	1	13					
10	Число действительных избирательных бюллетеней	6867	1291	1430	513	309	641	337	471	625	353	897					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	79	12	11	7	7	7	7	7	7	7	7					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	31	8	6	0	0	3	2	0	6	0	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	11	1	6	2	0	0	0	0	1	1	0					
14	Число погашенных неиспользованных открепительных удостоверений	48	4	5	7	7	4	5	7	1	7	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0					
																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	142	39	32	10	6	24	2	9	5	3	12					
		2.04%	2.95%	2.21%	1.93%	1.94%	3.67%	0.58%	1.89%	0.78%	0.85%	1.32%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	21	4	7	4	0	3	0	0	0	1	2					
		0.30%	0.30%	0.48%	0.77%	0.00%	0.46%	0.00%	0.00%	0.00%	0.28%	0.22%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	13	4	3	0	0	1	0	2	0	0	3					
		0.19%	0.30%	0.21%	0.00%	0.00%	0.15%	0.00%	0.42%	0.00%	0.00%	0.33%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	123	34	29	7	6	8	2	9	7	3	18					
		1.76%	2.57%	2.01%	1.35%	1.94%	1.22%	0.58%	1.89%	1.09%	0.85%	1.98%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	11	8	2	1	0	0	0	0	0	0	0					
		0.16%	0.61%	0.14%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6548	1202	1352	491	296	604	333	450	613	346	861					
		93.88%	90.92%	93.56%	94.79%	95.48%	92.35%	97.08%	94.74%	95.19%	97.74%	94.62%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	9	0	5	0	1	1	0	1	0	0	1					
		0.13%	0.00%	0.35%	0.00%	0.32%	0.15%	0.00%	0.21%	0.00%	0.00%	0.11%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
