Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																	
Дата голосования: 02.12.2007																	
																	
Наименование Избирательной комиссии:    Барун-Хемчикская																	
																	
Сводная таблица результатов выборов																	
																	
		Сумма	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55					
1	"Число избирателей, внесенных в списки избирателей"	7961	1493	1692	585	306	774	329	545	770	427	1040					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	7501	1346	1540	579	306	714	329	540	740	410	997					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	300	0	0	26	7	17	0	44	35	151	20					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	7041	1322	1516	539	296	679	301	485	689	254	960					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	160	24	24	14	3	18	28	11	16	5	17					
6	Число погашенных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	460	24	24	40	10	35	28	55	51	156	37					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7041	1322	1516	539	296	679	301	485	689	254	960					
9	Число недействительных избирательных бюллетеней	74	10	15	0	0	5	0	25	6	0	13					
10	Число действительных избирательных бюллетеней	7427	1336	1525	579	306	709	329	515	734	410	984					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	72	8	8	7	5	8	7	6	8	7	8					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	43	4	8	5	1	8	7	4	2	3	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	11	3	5	1	0	0	1	0	0	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	29	4	0	2	4	0	0	2	6	4	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	0	1	1	0	3	0	0	0	1	3					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
																	
18	1.Политическая партия «Аграрная партия России»	36	4	7	1	2	6	0	5	4	0	7					
		0.48%	0.30%	0.45%	0.17%	0.65%	0.84%	0.00%	0.93%	0.54%	0.00%	0.70%					
19	2.Всероссийская политическая партия «Гражданская Сила»	3	0	2	0	0	0	0	0	1	0	0					
		0.04%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	2	0	0	0	0	1	0	0	0	0	1					
		0.03%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.10%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	75	12	26	5	4	4	1	5	6	2	10					
		0.99%	0.89%	1.69%	0.86%	1.31%	0.56%	0.30%	0.93%	0.81%	0.49%	1.00%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	4	0	1	0	0	1	0	0	1	0	1					
		0.05%	0.00%	0.06%	0.00%	0.00%	0.14%	0.00%	0.00%	0.14%	0.00%	0.10%					
23	6.Политическая партия «Партия социальной справедливости»	6	2	2	0	0	0	0	0	0	0	2					
		0.08%	0.15%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%					
24	7.Политическая партия «Либерально-демократическая партия России»	31	3	8	1	2	2	2	0	6	3	4					
		0.41%	0.22%	0.52%	0.17%	0.65%	0.28%	0.61%	0.00%	0.81%	0.73%	0.40%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	41	5	10	0	2	5	0	6	3	3	7					
		0.55%	0.37%	0.65%	0.00%	0.65%	0.70%	0.00%	1.11%	0.41%	0.73%	0.70%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	45	8	7	1	2	5	2	3	10	2	5					
		0.60%	0.59%	0.45%	0.17%	0.65%	0.70%	0.61%	0.56%	1.35%	0.49%	0.50%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	7180	1302	1461	571	294	685	323	496	702	400	946					
		95.72%	96.73%	94.87%	98.62%	96.08%	95.94%	98.18%	91.85%	94.86%	97.56%	94.88%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	4	0	1	0	0	0	1	0	1	0	1					
		0.05%	0.00%	0.06%	0.00%	0.00%	0.00%	0.30%	0.00%	0.14%	0.00%	0.10%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
