Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																							
Дата голосования: 18.09.2016																							
																							
Наименование Избирательной комиссии:    Бельская																							
																							
Сводная таблица итогов голосования по федеральному избирательному округу																							
																							
		Сумма	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	5507	1568	1788	286	162	192	144	276	292	158	234	306	101									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	5050	1400	1600	270	155	190	140	260	280	150	220	290	95									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1952	537	595	144	67	87	54	78	131	88	57	74	40									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	495	54	70	40	36	17	18	76	34	11	68	58	13									
6	Число погашенных избирательных бюллетеней	2603	809	935	86	52	86	68	106	115	51	95	158	42									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	495	54	70	40	36	17	18	76	34	11	68	58	13									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1952	537	595	144	67	87	54	78	131	88	57	74	40									
9	Число недействительных избирательных бюллетеней	35	12	9	1	4	0	1	0	7	0	0	0	1									
10	Число действительных избирательных бюллетеней	2412	579	656	183	99	104	71	154	158	99	125	132	52									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	90	15	20	6	5	5	5	5	7	5	5	7	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	16	3	6	0	0	5	2	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	17	9	2	1	1	0	1	0	2	0	1	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	74	12	14	6	5	0	3	5	7	5	5	7	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	1	1	0	0	0	0	0	1	0	0	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0									
																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	37	6	17	0	2	1	0	1	1	1	2	6	0									
		1.51%	1.02%	2.56%	0.00%	1.94%	0.96%	0.00%	0.65%	0.61%	1.01%	1.60%	4.55%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	56	10	19	8	1	3	3	3	2	1	2	2	2									
		2.29%	1.69%	2.86%	4.35%	0.97%	2.88%	4.17%	1.95%	1.21%	1.01%	1.60%	1.52%	3.77%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	39	15	6	4	0	2	0	3	3	1	1	4	0									
		1.59%	2.54%	0.90%	2.17%	0.00%	1.92%	0.00%	1.95%	1.82%	1.01%	0.80%	3.03%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1232	244	304	115	74	60	33	84	101	50	75	71	21									
		50.35%	41.29%	45.71%	62.50%	71.84%	57.69%	45.83%	54.55%	61.21%	50.51%	60.00%	53.79%	39.62%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	8	3	0	1	0	0	1	0	1	0	0	2	0									
		0.33%	0.51%	0.00%	0.54%	0.00%	0.00%	1.39%	0.00%	0.61%	0.00%	0.00%	1.52%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	4	1	0	1	0	0	0	0	2	0	0	0	0									
		0.16%	0.17%	0.00%	0.54%	0.00%	0.00%	0.00%	0.00%	1.21%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	408	113	120	35	6	20	5	20	21	18	24	13	13									
		16.67%	19.12%	18.05%	19.02%	5.83%	19.23%	6.94%	12.99%	12.73%	18.18%	19.20%	9.85%	24.53%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	3	1	0	0	0	0	0	0	0	0	1	0	1									
		0.12%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.80%	0.00%	1.89%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	11	3	5	1	0	0	2	0	0	0	0	0	0									
		0.45%	0.51%	0.75%	0.54%	0.00%	0.00%	2.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	3	0	0	0	0	0	0	1	1	0	1	0	0									
		0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.65%	0.61%	0.00%	0.80%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	6	1	2	0	0	0	1	0	1	0	0	1	0									
		0.25%	0.17%	0.30%	0.00%	0.00%	0.00%	1.39%	0.00%	0.61%	0.00%	0.00%	0.76%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	414	135	142	7	5	9	13	26	10	19	9	25	14									
		16.92%	22.84%	21.35%	3.80%	4.85%	8.65%	18.06%	16.88%	6.06%	19.19%	7.20%	18.94%	26.42%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	5	1	1	1	0	0	0	0	0	0	1	1	0									
		0.20%	0.17%	0.15%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.80%	0.76%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	186	46	40	10	11	9	13	16	15	9	9	7	1									
		7.60%	7.78%	6.02%	5.43%	10.68%	8.65%	18.06%	10.39%	9.09%	9.09%	7.20%	5.30%	1.89%									
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
