Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																					
Дата голосования: 18.09.2016																																																					
																																																					
Наименование Избирательной комиссии:    Аскизская																																																					
																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																					
																																																					
		Сумма	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	30537	1814	2075	1841	421	394	178	1496	1828	384	708	876	309	166	345	743	191	118	164	587	1073	655	212	583	280	769	292	207	192	1092	692	929	1341	1501	108	1397	95	1880	1500	401	247	346	107									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	30960	1760	2150	1880	430	400	190	1520	1840	380	710	890	330	170	350	770	190	120	160	600	1080	610	220	590	280	780	300	200	200	1110	750	930	1370	1550	110	1440	100	1900	1510	400	250	340	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	166	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	37	35	0	42	0	0	0	0	23	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10904	597	773	715	145	160	69	349	470	103	233	350	99	118	105	216	80	72	90	205	367	232	68	160	102	297	79	65	69	345	286	353	507	445	43	372	28	924	754	176	115	128	40									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	786	73	12	38	5	2	2	11	50	4	12	21	14	3	8	17	7	0	6	15	29	60	3	35	8	15	10	21	4	62	30	26	30	27	0	37	6	23	27	17	1	14	1									
6	Число погашенных избирательных бюллетеней	19104	1090	1365	1127	280	238	119	1160	1320	273	465	519	196	49	237	537	103	48	64	343	649	318	107	395	170	468	211	91	127	703	434	551	833	1078	67	1031	58	953	729	207	134	198	59									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	952	73	12	38	5	2	2	11	50	4	12	21	35	3	8	17	7	0	6	52	64	60	45	35	8	15	10	44	4	62	30	26	30	27	0	37	14	23	27	17	1	14	1									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10904	597	773	715	145	160	69	349	470	103	233	350	99	118	105	216	80	72	90	205	367	232	68	160	102	297	79	65	69	345	286	353	507	445	43	372	28	924	754	176	115	128	40									
9	Число недействительных избирательных бюллетеней	311	21	13	14	1	3	0	7	13	2	6	10	5	4	6	4	3	1	2	4	12	6	1	5	4	9	4	3	1	17	10	15	19	15	1	15	0	24	16	6	2	6	1									
10	Число действительных избирательных бюллетеней	11545	649	772	739	149	159	71	353	507	105	239	361	129	117	107	229	84	71	94	253	419	286	112	190	106	303	85	106	72	390	306	364	518	457	42	394	42	923	765	187	114	136	40									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	768	30	45	30	9	9	7	27	27	10	14	19	9	9	9	15	9	7	7	9	25	26	8	12	9	15	12	9	9	26	69	40	33	33	9	28	9	29	29	10	9	9	9									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	507	18	45	30	7	9	7	14	4	0	3	9	9	9	9	6	2	0	0	9	6	5	8	5	9	15	12	5	9	13	69	1	25	33	9	28	9	20	21	2	9	3	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	258	24	19	10	5	5	5	3	3	6	5	5	3	5	3	6	2	5	2	3	4	6	2	5	6	8	2	4	3	9	13	4	16	7	2	2	8	11	10	3	6	4	4									
14	Число погашенных неиспользованных открепительных удостоверений	261	12	0	0	2	0	0	13	23	10	11	10	0	0	0	9	7	7	7	0	19	21	0	7	0	0	0	4	0	13	0	39	8	0	0	0	0	9	8	8	0	6	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	55	10	4	5	2	0	0	0	1	0	0	3	0	0	0	1	0	0	0	2	4	0	1	0	1	1	0	0	0	0	0	2	7	6	0	0	0	3	1	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
