Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
Наименование Избирательной комиссии:    Рубцовская																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19352	386	1505	472	658	373	451	2583	1432	482	824	742	333	948	933	315	573	879	833	864	374	375	250	836	732	543	346	310									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18990	380	1490	470	650	360	440	2570	1400	460	820	740	320	930	920	300	550	870	830	860	350	350	230	830	720	530	330	290									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7335	183	540	136	266	161	157	836	386	175	275	326	173	302	339	155	270	300	387	350	150	165	139	347	292	244	150	131									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	899	21	37	48	62	28	81	48	61	4	35	3	10	40	80	15	21	31	40	49	10	10	9	84	17	20	23	12									
6	Число погашенных избирательных бюллетеней	10756	176	913	286	322	171	202	1686	953	281	510	411	137	588	501	130	259	539	403	461	190	175	82	399	411	266	157	147									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	899	21	37	48	62	28	81	48	61	4	35	3	10	40	80	15	21	31	40	49	10	10	9	84	17	20	23	12									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7335	183	540	136	266	161	157	836	386	175	275	326	173	302	339	155	270	300	387	350	150	165	139	347	292	244	150	131									
9	Число недействительных избирательных бюллетеней	203	0	11	0	18	2	6	14	11	5	13	14	3	10	3	3	6	4	15	14	4	9	2	5	6	13	9	3									
10	Число действительных избирательных бюллетеней	8031	204	566	184	310	187	232	870	436	174	297	315	180	332	416	167	285	327	412	385	156	166	146	426	303	251	164	140									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	195	4	13	5	7	5	6	17	11	5	9	8	5	9	10	4	6	9	8	8	5	5	4	8	8	6	6	4									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	69	2	10	0	0	2	0	11	1	1	6	4	0	6	5	2	2	0	5	3	0	0	1	4	0	0	4	0									
