Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																	
Дата голосования: 07.12.2003 0:00:00																																																	
																																																	
Наименование Избирательной комиссии:    Инжавинская																																																	
																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																	
																																																	
		Сумма	УИК  656	УИК  657	УИК  658	УИК  659	УИК  660	УИК  661	УИК  662	УИК  663	УИК  664	УИК  665	УИК  667	УИК  668	УИК  669	УИК  670	УИК  671	УИК  672	УИК  673	УИК  674	УИК  675	УИК  676	УИК  677	УИК  678	УИК  679	УИК  680	УИК  681	УИК  682	УИК  683	УИК  684	УИК  685	УИК  686	УИК  687	УИК  688	УИК  689	УИК  690	УИК  691	УИК  692	УИК  693	УИК  694	УИК  695	УИК  696	УИК  697	УИК  1041					
1	"Число избирателей, внесенных в списки"	21261	1194	1144	1222	1224	1155	696	504	832	408	439	610	605	270	171	495	179	510	234	113	168	107	1108	706	445	360	512	453	280	326	318	462	394	271	206	714	262	715	417	366	222	214	230					
2	"Число бюллетеней, полученных участковыми комиссиями"	20839	1179	1150	1126	1177	1103	677	488	812	377	431	604	596	270	173	490	182	507	235	116	169	108	1076	672	444	360	490	455	303	330	321	466	391	268	210	707	265	654	419	363	236	201	238					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10985	650	582	646	617	614	403	313	367	184	196	281	388	107	75	271	87	227	60	81	99	69	614	306	171	197	337	223	113	182	172	232	237	141	115	345	125	409	221	215	135	102	76					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2439	38	46	37	41	33	31	10	28	61	79	70	22	77	48	94	46	69	100	19	28	17	71	79	117	63	46	75	92	89	36	91	44	71	15	118	51	67	78	61	36	49	96					
6	Число погашенных бюллетеней	7415	491	522	443	519	456	243	165	417	132	156	253	186	86	50	125	49	211	75	16	42	22	391	287	156	100	107	157	98	59	113	143	110	56	80	244	89	178	120	87	65	50	66					
7	Число бюллетеней в переносных ящиках для голосования	2439	38	46	37	41	33	31	10	28	61	79	70	22	77	48	94	46	69	100	19	28	17	71	79	117	63	46	75	92	89	36	91	44	71	15	118	51	67	78	61	36	49	96					
8	Число бюллетеней в стационарных ящиках для голосования	10978	650	582	646	617	613	403	312	367	184	196	280	386	107	75	269	87	227	60	81	99	69	614	306	171	197	337	223	113	182	172	232	237	141	115	345	125	409	221	215	135	102	76					
9	Число недействительных бюллетеней	433	16	9	11	11	23	4	8	12	12	11	21	21	3	6	13	5	19	0	2	9	1	17	14	8	7	16	10	1	12	8	12	6	2	3	18	10	22	22	8	10	5	5					
10	Число действительных бюллетеней	12984	672	619	672	647	623	430	314	383	233	264	329	387	181	117	350	128	277	160	98	118	85	668	371	280	253	367	288	204	259	200	311	275	210	127	445	166	454	277	268	161	146	167					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	250	15	15	15	15	15	15	15	15	4	4	6	5	3	3	4	2	5	3	2	2	2	10	5	4	4	4	4	3	3	3	4	4	3	3	6	3	5	4	4	3	3	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	41	6	8	4	5	2	2	2	3	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	37	0	0	7	1	1	1	1	2	0	3	0	2	0	0	4	1	0	0	0	1	0	1	1	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	1	0	0	0					
14	Число погашенных открепительных удостоверений	209	9	7	11	10	13	13	13	12	4	3	6	5	3	3	3	2	4	3	2	2	2	10	5	4	4	4	4	3	1	3	4	4	3	3	6	3	1	4	4	3	3	3					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																	
18	"1. ""ЕДИНЕНИЕ"""	364	19	20	17	15	20	13	5	4	6	4	11	15	8	0	18	10	10	2	0	3	7	14	8	7	7	9	7	2	9	11	3	8	3	4	14	1	12	9	15	12	2	0					
		2.71%	2.76%	3.18%	2.48%	2.27%	3.09%	2.99%	1.55%	1.01%	2.44%	1.45%	3.14%	3.67%	4.34%	0.0%	4.95%	7.51%	3.37%	1.25%	0.0%	2.36%	8.13%	2.04%	2.07%	2.43%	2.69%	2.34%	2.34%	0.97%	3.32%	5.28%	0.92%	2.84%	1.41%	3.07%	3.02%	0.56%	2.52%	3.01%	5.43%	7.01%	1.32%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	124	2	6	10	7	9	0	2	3	4	6	4	4	2	1	3	3	1	0	0	1	1	8	6	3	1	4	5	0	5	0	1	2	2	0	3	6	4	0	2	2	1	0					
		0.92%	0.29%	0.95%	1.46%	1.06%	1.39%	0.0%	0.62%	0.75%	1.63%	2.18%	1.14%	0.98%	1.08%	0.81%	0.82%	2.25%	0.33%	0.0%	0.0%	0.78%	1.16%	1.16%	1.55%	1.04%	0.38%	1.04%	1.67%	0.0%	1.84%	0.0%	0.30%	0.71%	0.94%	0.0%	0.64%	3.40%	0.84%	0.0%	0.72%	1.16%	0.66%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	366	13	21	13	23	14	12	8	7	6	8	18	6	15	2	10	4	7	4	4	7	1	13	11	9	7	6	7	8	7	9	7	4	5	6	17	7	9	4	12	2	8	5					
		2.72%	1.88%	3.34%	1.90%	3.49%	2.16%	2.76%	2.48%	1.77%	2.44%	2.90%	5.14%	1.47%	8.15%	1.62%	2.75%	3.00%	2.36%	2.5%	4.0%	5.51%	1.16%	1.89%	2.85%	3.12%	2.69%	1.56%	2.34%	3.90%	2.58%	4.32%	2.16%	1.42%	2.35%	4.61%	3.67%	3.97%	1.89%	1.33%	4.34%	1.16%	5.29%	2.90%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	174	5	5	12	13	6	8	2	6	4	5	2	3	1	4	6	2	4	1	0	0	0	10	10	3	6	1	7	0	6	1	1	2	6	0	1	5	7	1	11	2	2	3					
		1.29%	0.72%	0.79%	1.75%	1.97%	0.92%	1.84%	0.62%	1.51%	1.63%	1.81%	0.57%	0.73%	0.54%	3.25%	1.65%	1.50%	1.35%	0.62%	0.0%	0.0%	0.0%	1.45%	2.59%	1.04%	2.30%	0.26%	2.34%	0.0%	2.21%	0.48%	0.30%	0.71%	2.83%	0.0%	0.21%	2.84%	1.47%	0.33%	3.98%	1.16%	1.32%	1.74%					
22	"5. ""За Русь Святую"""	118	4	3	2	6	6	3	3	3	4	0	9	2	5	1	1	1	4	2	1	2	0	3	6	1	7	0	1	0	4	2	3	0	1	3	3	1	1	9	3	7	0	1					
		0.87%	0.58%	0.47%	0.29%	0.91%	0.92%	0.69%	0.93%	0.75%	1.63%	0.0%	2.57%	0.49%	2.71%	0.81%	0.27%	0.75%	1.35%	1.25%	1.0%	1.57%	0.0%	0.43%	1.55%	0.34%	2.69%	0.0%	0.33%	0.0%	1.47%	0.96%	0.92%	0.0%	0.47%	2.30%	0.64%	0.56%	0.21%	3.01%	1.08%	4.09%	0.0%	0.58%					
23	"6. ""Объединенная Российская партия ""Русь"""	39	4	2	3	3	1	0	0	0	3	1	0	1	0	0	0	0	2	0	3	1	0	0	2	2	0	0	2	0	2	0	2	0	1	0	0	1	0	1	1	1	0	0					
		0.29%	0.58%	0.31%	0.43%	0.45%	0.15%	0.0%	0.0%	0.0%	1.22%	0.36%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.67%	0.0%	3.0%	0.78%	0.0%	0.0%	0.51%	0.69%	0.0%	0.0%	0.67%	0.0%	0.73%	0.0%	0.61%	0.0%	0.47%	0.0%	0.0%	0.56%	0.0%	0.33%	0.36%	0.58%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	66	6	5	7	6	3	1	1	3	0	0	5	1	2	0	0	1	1	0	0	0	2	4	2	0	0	2	1	2	1	1	3	1	0	0	2	1	0	1	0	1	0	0					
		0.49%	0.87%	0.79%	1.02%	0.91%	0.46%	0.23%	0.31%	0.75%	0.0%	0.0%	1.42%	0.24%	1.08%	0.0%	0.0%	0.75%	0.33%	0.0%	0.0%	0.0%	2.32%	0.58%	0.51%	0.0%	0.0%	0.52%	0.33%	0.97%	0.36%	0.48%	0.92%	0.35%	0.0%	0.0%	0.43%	0.56%	0.0%	0.33%	0.0%	0.58%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	26	0	1	2	1	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	1	4	1	0	0	0	1	2	0	0	1	1	0	1	1	2	1	1	1	0	0					
		0.19%	0.0%	0.15%	0.29%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.81%	0.27%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.14%	1.03%	0.34%	0.0%	0.0%	0.0%	0.48%	0.73%	0.0%	0.0%	0.35%	0.47%	0.0%	0.21%	0.56%	0.42%	0.33%	0.36%	0.58%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	16	1	0	1	1	0	2	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	2	0	1	0	0	0	1	0	0	0					
		0.11%	0.14%	0.0%	0.14%	0.15%	0.0%	0.46%	0.0%	0.0%	0.0%	0.0%	0.0%	0.49%	0.0%	0.0%	0.0%	0.75%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.67%	0.0%	0.0%	0.48%	0.30%	0.0%	0.94%	0.0%	0.21%	0.0%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	1025	35	26	29	29	24	32	16	17	8	14	30	52	37	11	32	6	27	19	3	14	6	39	45	29	15	32	34	44	64	13	24	33	10	7	7	6	36	32	19	21	22	26					
