Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Кирово-Чепецкая																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18785	977	296	779	1694	1007	419	2592	196	1114	1965	993	159	494	872	1331	1131	1276	616	775	99									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19035	992	292	793	1670	1051	438	2583	191	1115	1996	999	159	497	886	1341	1157	1298	620	795	162									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7497	480	136	401	545	435	174	951	97	466	764	223	75	218	389	470	436	496	284	373	84									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	944	102	29	114	113	101	26	28	10	56	65	12	5	25	109	21	47	41	3	37	0									
6	Число погашенных избирательных бюллетеней	10594	410	127	278	1012	515	238	1604	84	593	1167	764	79	254	388	850	674	761	333	385	78									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	944	102	29	114	113	101	26	28	10	56	65	12	5	25	109	21	47	41	3	37	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7495	480	136	401	545	435	174	950	97	466	763	223	75	218	389	470	436	496	284	373	84									
9	Число недействительных избирательных бюллетеней	223	8	4	22	15	19	4	21	0	13	22	4	3	8	13	13	18	13	10	12	1									
10	Число действительных избирательных бюллетеней	8216	574	161	493	643	517	196	957	107	509	806	231	77	235	485	478	465	524	277	398	83									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	532	30	8	24	47	29	14	72	5	31	56	28	4	14	25	38	32	36	17	22	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	198	30	8	9	10	29	14	15	0	3	21	12	0	0	13	16	11	0	0	7	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	90	5	0	7	13	3	0	8	2	1	5	2	3	2	6	2	4	0	5	3	19									
14	Число погашенных неиспользованных открепительных удостоверений	334	0	0	15	37	0	0	57	5	28	35	16	4	14	12	22	21	36	17	15	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	0	0	0	0	1	0	0	0	0	2	1	0	0	1	0	0	0	0	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	115	9	2	5	13	14	1	11	0	9	7	2	0	1	4	6	8	10	1	8	4									
		1.36%	1.55%	1.21%	0.97%	1.98%	2.61%	0.50%	1.12%	0.00%	1.72%	0.85%	0.85%	0.00%	0.41%	0.80%	1.22%	1.66%	1.86%	0.35%	1.95%	4.76%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	205	13	5	15	15	13	4	32	2	11	9	4	0	8	8	14	14	12	12	13	1									
		2.43%	2.23%	3.03%	2.91%	2.28%	2.43%	2.00%	3.27%	1.87%	2.11%	1.09%	1.70%	0.00%	3.29%	1.61%	2.85%	2.90%	2.23%	4.18%	3.17%	1.19%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	211	8	6	11	15	9	7	25	4	16	15	6	3	4	16	18	21	15	6	4	2									
		2.50%	1.37%	3.64%	2.14%	2.28%	1.68%	3.50%	2.56%	3.74%	3.07%	1.81%	2.55%	3.75%	1.65%	3.21%	3.67%	4.35%	2.79%	2.09%	0.98%	2.38%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3851	346	91	252	300	230	81	411	58	271	358	83	36	132	231	209	190	245	74	227	26									
		45.63%	59.45%	55.15%	48.93%	45.59%	42.91%	40.50%	42.02%	54.21%	51.92%	43.24%	35.32%	45.00%	54.32%	46.39%	42.57%	39.34%	45.62%	25.78%	55.37%	30.95%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	63	2	1	4	14	4	1	13	0	1	6	4	0	1	2	4	1	4	0	1	0									
		0.75%	0.34%	0.61%	0.78%	2.13%	0.75%	0.50%	1.33%	0.00%	0.19%	0.72%	1.70%	0.00%	0.41%	0.40%	0.81%	0.21%	0.74%	0.00%	0.24%	0.00%									
