Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																							
Дата голосования: 07.12.2003 0:00:00																																																							
																																																							
Наименование Избирательной комиссии:    Кяхтинская																																																							
																																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																							
																																																							
		Сумма	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403					
1	"Число избирателей, внесенных в списки"	29007	554	238	168	151	112	240	1049	95	499	172	283	167	122	108	393	293	635	280	160	266	383	130	762	86	116	117	121	290	126	596	601	259	151	168	1308	1738	1247	1382	1280	1465	1617	597	904	1146	1034	3526	1815	57					
2	"Число бюллетеней, полученных участковыми комиссиями"	27771	544	237	164	151	112	239	1042	91	479	169	277	164	121	110	377	286	628	278	160	269	376	131	753	83	106	121	99	279	127	589	602	271	152	169	1324	1731	1052	1364	1327	1405	1552	767	876	1108	942	2650	1847	70					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	15944	378	128	109	99	76	137	589	68	301	144	213	109	88	93	240	236	323	155	93	179	250	97	409	55	97	77	78	213	101	310	464	225	107	120	604	966	527	673	645	540	588	331	413	445	390	2329	1080	52					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1071	29	18	17	11	3	26	113	12	46	5	2	5	9	3	19	0	33	20	10	5	23	13	37	6	0	6	7	17	2	47	26	5	10	0	30	75	27	39	41	30	57	65	17	25	5	62	8	5					
6	Число погашенных бюллетеней	10756	137	91	38	41	33	76	340	11	132	20	62	50	24	14	118	50	272	103	57	85	103	21	307	22	9	38	14	49	24	232	112	41	35	49	690	690	498	652	641	835	907	371	446	638	547	259	759	13					
7	Число бюллетеней в переносных ящиках для голосования	1071	29	18	17	11	3	26	113	12	46	5	2	5	9	3	19	0	33	20	10	5	23	13	37	6	0	6	7	17	2	47	26	5	10	0	30	75	27	39	41	30	57	65	17	25	5	62	8	5					
8	Число бюллетеней в стационарных ящиках для голосования	15941	378	128	109	99	76	137	589	68	301	144	213	109	88	93	240	236	323	155	93	179	250	97	409	55	97	77	78	213	101	310	464	225	107	120	604	966	527	673	645	538	588	331	413	445	390	2328	1080	52					
9	Число недействительных бюллетеней	430	3	6	5	9	4	3	25	7	5	13	7	0	1	0	13	15	7	6	8	5	10	3	14	1	1	9	2	5	2	17	3	0	6	0	27	24	15	6	26	15	17	7	13	12	21	17	14	1					
10	Число действительных бюллетеней	16582	404	140	121	101	75	160	677	73	342	136	208	114	96	96	246	221	349	169	95	179	263	107	432	60	96	74	83	225	101	340	487	230	111	120	607	1017	539	706	660	553	628	389	417	458	374	2373	1074	56					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	396	7	5	3	3	3	5	15	3	5	3	5	3	3	3	5	3	7	5	3	5	5	3	10	3	3	3	3	5	3	5	5	5	3	3	15	15	15	15	49	5	11	9	10	10	1	45	40	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	154	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	2	0	3	0	0	1	0	0	1	0	4	0	0	4	0	0	0	4	4	3	9	41	5	10	5	7	10	1	24	10	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	64	3	2	0	0	0	0	5	2	1	0	0	0	1	0	2	0	0	0	0	0	1	0	3	1	0	0	2	2	1	0	0	0	0	0	4	0	4	0	2	4	3	0	2	0	2	2	4	11					
14	Число погашенных открепительных удостоверений	242	6	5	3	3	3	5	12	3	5	3	5	3	3	3	5	3	5	3	3	2	5	3	9	3	3	2	3	1	3	5	1	5	3	3	11	11	12	6	8	0	1	4	3	0	0	21	30	3					
15	Число открепительных удостоверений выданных ТИК	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																							
