Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																
Дата голосования: 18.09.2016																
																
Наименование Избирательной комиссии:    Емельяновская - Дивногорский																
																
Сводная таблица итогов голосования по федеральному избирательному округу																
																
		Сумма	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	2888	1841	132	322	374	219									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	2650	1700	100	300	350	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1018	605	45	116	175	77									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	57	21	16	6	6	8									
6	Число погашенных избирательных бюллетеней	1575	1074	39	178	169	115									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	57	21	16	6	6	8									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1016	605	45	116	173	77									
9	Число недействительных избирательных бюллетеней	38	16	1	4	14	3									
10	Число действительных избирательных бюллетеней	1035	610	60	118	165	82									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	90	55	5	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	21	10	0	1	0	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	27	15	1	5	3	3									
14	Число погашенных неиспользованных открепительных удостоверений	69	45	5	9	10	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	1	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0									
																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	10	7	0	2	0	1									
		0.93%	1.12%	0.00%	1.64%	0.00%	1.18%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	46	30	3	4	6	3									
		4.29%	4.79%	4.92%	3.28%	3.35%	3.53%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	16	9	0	3	3	1									
		1.49%	1.44%	0.00%	2.46%	1.68%	1.18%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	476	282	25	45	82	42									
		44.36%	45.05%	40.98%	36.89%	45.81%	49.41%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	9	8	0	0	1	0									
		0.84%	1.28%	0.00%	0.00%	0.56%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	2	1	0	0	0	1									
		0.19%	0.16%	0.00%	0.00%	0.00%	1.18%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	156	74	11	32	26	13									
		14.54%	11.82%	18.03%	26.23%	14.53%	15.29%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	10	9	1	0	0	0									
		0.93%	1.44%	1.64%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	6	3	0	1	1	1									
		0.56%	0.48%	0.00%	0.82%	0.56%	1.18%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	12	9	0	1	2	0									
		1.12%	1.44%	0.00%	0.82%	1.12%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	167	114	11	19	14	9									
		15.56%	18.21%	18.03%	15.57%	7.82%	10.59%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	88	46	0	7	27	8									
		8.20%	7.35%	0.00%	5.74%	15.08%	9.41%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	37	18	9	4	3	3									
		3.45%	2.88%	14.75%	3.28%	1.68%	3.53%									
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
