Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Порецкая																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633					
1	"Число избирателей, внесенных в список"	12218	621	347	201	365	100	647	111	287	194	1221	100	272	85	92	643	171	1261	1006	966	1304	371	348	108	379	430	114	75	399					
2	Число полученных избирательных бюллетеней	12955	672	388	210	364	97	659	115	289	198	1320	99	290	93	95	673	178	1360	1055	1056	1368	376	370	115	402	487	128	85	413					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9211	479	289	169	315	87	423	89	254	164	918	46	240	60	65	526	111	898	777	690	935	191	237	73	292	378	91	61	353					
5	"Число избирательных бюллетеней, выданных вне помещения"	1352	89	34	26	47	10	76	8	22	27	130	48	27	25	27	87	60	103	51	65	53	78	68	22	51	43	19	11	45					
6	Число погашенных избирательных бюллетеней	2392	104	65	15	2	0	160	18	13	7	272	5	23	8	3	60	7	359	227	301	380	107	65	20	59	66	18	13	15					
7	Число избирательных бюллетеней в переносных ящиках	1352	89	34	26	47	10	76	8	22	27	130	48	27	25	27	87	60	103	51	65	53	78	68	22	51	43	19	11	45					
8	Число бюллетеней в стационарных ящиках для голосования	9211	479	289	169	315	87	423	89	254	164	918	46	240	60	65	526	111	898	777	690	935	191	237	73	292	378	91	61	353					
9	Число недействительных избирательных бюллетеней	213	3	2	9	1	0	9	0	2	0	67	0	1	0	1	24	0	8	12	9	11	1	11	1	2	36	0	0	3					
10	Число действительных избирательных бюллетеней	10350	565	321	186	361	97	490	97	274	191	981	94	266	85	91	589	171	993	816	746	977	268	294	94	341	385	110	72	395					
11	Число полученных открепительных  удостоверений	499	27	16	10	15	5	15	6	12	10	50	5	15	5	5	27	10	30	35	35	40	20	20	5	17	35	6	5	18					
12	Число выданных открепительных удостоверений	291	10	11	3	0	0	7	0	7	2	48	1	12	2	2	27	0	21	25	29	10	5	13	3	3	34	2	0	14					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	102	2	4	1	0	3	6	2	2	1	9	4	4	1	2	2	1	6	17	2	6	1	3	4	7	4	3	2	3					
14	Число неиспользованных открепительных удостоверений	208	17	5	7	15	5	8	6	5	8	2	4	3	3	3	0	10	9	10	6	30	15	7	2	14	1	4	5	4					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
