Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																										
Дата голосования: 18.09.2016																																																										
																																																										
Наименование Избирательной комиссии:    Ростовская																																																										
																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																										
																																																										
		Сумма	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	54618	2350	2495	2789	1623	1849	1616	2732	1315	2402	2411	2463	2813	346	360	188	543	388	385	999	175	229	163	99	381	178	85	611	2102	1888	240	335	654	447	220	761	987	847	1591	2121	2072	425	2571	977	490	2127	1465	310									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	39830	1650	1750	2050	1150	1300	1150	2000	1000	1700	1800	1800	2000	250	300	150	400	300	300	750	150	200	150	100	300	150	80	450	1500	1350	200	250	500	350	200	550	700	600	1200	1500	1500	300	1900	700	350	1500	1050	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	17064	580	770	907	417	557	380	663	271	678	818	800	944	85	137	62	175	86	127	265	54	82	55	43	144	78	15	204	636	692	90	125	203	146	63	259	300	201	497	953	787	162	883	236	197	591	510	136									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1769	17	18	29	34	26	20	22	14	24	27	28	27	71	52	35	103	132	22	69	13	40	13	13	30	22	26	77	82	55	21	26	77	19	45	36	39	18	24	18	13	34	22	102	22	51	41	20									
6	Число погашенных избирательных бюллетеней	20997	1053	962	1114	699	717	750	1315	715	998	955	972	1029	94	111	53	122	82	151	416	83	78	82	44	126	50	39	169	782	603	89	99	220	185	92	255	361	381	679	529	700	104	995	362	131	858	499	94									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1769	17	18	29	34	26	20	22	14	24	27	28	27	71	52	35	103	132	22	69	13	40	13	13	30	22	26	77	82	55	21	26	77	19	45	36	39	18	24	18	13	34	22	102	22	51	41	20									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	17061	580	770	907	417	557	380	663	271	678	816	800	943	85	137	62	175	86	127	265	54	82	55	43	144	78	15	204	636	692	90	125	203	146	63	259	300	201	497	953	787	162	883	236	197	591	510	136									
9	Число недействительных избирательных бюллетеней	312	14	9	18	7	20	10	10	0	13	8	15	9	2	0	2	2	1	2	5	1	2	0	1	5	0	0	5	10	8	3	1	6	1	0	6	2	3	12	17	16	3	20	6	0	13	17	7									
10	Число действительных избирательных бюллетеней	18518	583	779	918	444	563	390	675	285	689	835	813	961	154	189	95	276	217	147	329	66	120	68	55	169	100	41	276	708	739	108	150	274	164	108	289	337	216	509	954	784	193	885	332	219	629	534	149									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	885	25	25	25	25	25	25	25	25	25	25	25	25	15	15	10	15	15	15	20	10	15	10	10	15	15	10	15	25	20	15	10	20	15	15	15	20	20	25	25	25	15	25	15	15	25	25	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	162	7	7	8	4	7	4	10	3	10	3	7	5	2	1	1	2	1	0	4	0	2	0	2	2	2	0	7	2	9	0	0	4	2	1	3	2	3	4	11	5	2	4	2	0	5	2	0									
