Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																								
Дата голосования: 07.12.2003 0:00:00																																																								
																																																								
Наименование Избирательной комиссии:    Октябрьская 																																																								
																																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																								
																																																								
		Сумма	УИК  276	УИК  277	УИК  278	УИК  279	УИК  280	УИК  281	УИК  282	УИК  283	УИК  284	УИК  285	УИК  286	УИК  287	УИК  288	УИК  289	УИК  290	УИК  291	УИК  292	УИК  293	УИК  294	УИК  295	УИК  296	УИК  297	УИК  298	УИК  299	УИК  300	УИК  301	УИК  302	УИК  303	УИК  304	УИК  305	УИК  306	УИК  307	УИК  308	УИК  309	УИК  310	УИК  311	УИК  312	УИК  313	УИК  314	УИК  315	УИК  316	УИК  317	УИК  318	УИК  319	УИК  320	УИК  2483	УИК  2484	УИК  2506	УИК  2507					
1	"Число избирателей, внесенных в списки"	56587	910	1165	726	1069	163	304	381	210	1861	1335	324	724	161	275	1337	199	1327	1424	1483	468	944	187	563	1191	2128	923	100	1237	483	2820	1010	2423	310	802	1435	2173	2486	2482	838	2631	2298	1526	2932	2759	1601	316	318	933	892					
2	"Число бюллетеней, полученных участковыми комиссиями"	54400	900	1150	690	1050	150	300	350	200	1750	1300	300	700	160	270	1250	200	1300	1400	1450	450	950	180	900	1200	2050	900	100	1200	450	2700	1000	2350	300	800	1400	2000	2300	2250	800	2400	1900	1500	2850	2700	1550	300	300	900	850					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	32948	552	915	546	871	131	219	179	156	1114	950	100	495	89	211	850	143	613	569	1154	371	484	152	494	510	954	403	90	763	412	1272	541	942	156	745	1386	1411	1478	2103	398	1391	1637	691	1240	1204	435	216	244	470	498					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3033	115	60	49	24	0	32	42	6	28	15	98	74	50	51	41	48	137	82	49	31	102	5	69	71	92	70	0	37	0	203	216	124	109	48	14	6	12	7	21	160	12	33	99	80	231	12	18	135	15					
6	Число погашенных бюллетеней	18419	233	175	95	155	19	49	129	38	608	335	102	131	21	8	359	9	550	749	247	48	364	23	337	619	1004	427	10	400	38	1225	243	1284	35	7	0	583	810	140	381	849	251	776	1511	1416	884	72	38	295	337					
7	Число бюллетеней в переносных ящиках для голосования	3033	115	60	49	24	0	32	42	6	28	15	98	74	50	51	41	48	137	82	49	31	102	5	69	71	92	70	0	37	0	203	216	124	109	48	14	6	12	7	21	160	12	33	99	80	231	12	18	135	15					
8	Число бюллетеней в стационарных ящиках для голосования	32943	551	915	546	871	131	219	179	156	1114	950	100	495	89	211	850	143	613	569	1154	371	484	152	494	510	954	403	90	763	412	1272	541	942	156	745	1386	1410	1478	2100	398	1391	1637	691	1240	1204	435	216	244	470	498					
9	Число недействительных бюллетеней	232	3	0	0	7	5	3	0	0	0	5	7	0	0	0	3	0	7	14	3	0	3	0	0	0	26	25	0	0	0	3	0	8	0	4	0	4	17	24	14	0	17	10	0	5	5	0	0	7	3					
10	Число действительных бюллетеней	35744	663	975	595	888	126	248	221	162	1142	960	191	569	139	262	888	191	743	637	1200	402	583	157	563	581	1020	448	90	800	412	1472	757	1058	265	789	1400	1412	1473	2083	405	1551	1632	714	1339	1279	661	228	262	598	510					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1000	10	10	10	10	10	5	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	200	20	50	10	100	160	30	20	20	10	10	10	10	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	335	4	2	1	6	0	0	0	0	5	3	0	0	0	3	7	0	7	9	3	0	3	0	4	4	5	4	0	0	1	7	0	1	3	5	4	20	20	36	2	73	75	1	5	7	2	0	0	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	134	1	0	3	1	0	1	2	0	0	1	5	5	0	0	3	0	6	3	1	0	0	0	1	3	6	3	1	1	1	1	0	2	0	2	1	13	12	4	4	7	5	6	12	8	5	0	1	2	1					
14	Число погашенных открепительных удостоверений	665	6	8	9	4	10	5	10	10	5	7	10	10	10	7	3	10	3	1	7	10	7	10	6	6	5	6	10	10	9	3	10	9	7	5	6	180	0	14	8	27	85	29	15	13	8	10	10	10	2					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
