Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																		
Дата голосования: 04.12.2011																																																		
																																																		
Наименование Избирательной комиссии:    Новокузнецк Заводская																																																		
																																																		
Сводная таблица результатов выборов																																																		
																																																		
		Сумма	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635					
1	"Число избирателей, внесенных в список избирателей"	75650	1515	1867	1705	1819	1726	1951	989	1744	2177	1352	1306	2288	2221	2521	2206	1845	2614	2056	2292	2272	2140	2121	1961	1934	1564	669	2813	2450	1403	2007	590	1658	1122	1198	1893	990	2265	1193	1298	480	813	2118	2504					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	66010	1300	1600	1500	1600	1400	1700	900	1500	1900	1200	1200	2000	1900	2200	1900	1600	2200	1800	2000	2000	1900	1800	1600	1700	1500	600	2400	2100	1300	1700	500	1400	1000	1100	1700	900	1900	800	900	470	820	2110	2410					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	36592	852	773	952	929	682	1078	574	981	1378	779	761	1255	1132	1302	1113	1103	1411	1140	1243	1163	1030	1240	1040	937	637	286	1284	1253	692	915	374	834	560	581	637	467	1127	318	330	50	699	190	510					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	5929	24	29	14	40	63	36	25	40	45	62	37	59	41	51	61	37	52	43	81	51	40	45	36	33	62	45	43	136	19	42	10	34	73	39	42	19	61	377	277	357	0	1875	1373					
6	Число погашенных избирательных бюллетеней	23489	424	798	534	631	655	586	301	479	477	359	402	686	727	847	726	460	737	617	676	786	830	515	524	730	801	269	1073	711	589	743	116	532	367	480	1021	414	712	105	293	63	121	45	527					
7	Число избирательных бюллетеней в переносных ящиках для голосования	5921	24	29	14	40	63	36	25	40	45	62	37	59	41	51	61	37	52	43	81	51	40	45	36	33	62	45	43	136	19	42	10	34	73	39	42	19	61	377	277	357	0	1871	1369					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	36466	852	773	951	929	674	1078	574	978	1378	778	761	1255	1132	1297	1112	1075	1411	1138	1243	1163	1030	1195	1029	934	637	286	1284	1252	692	911	372	832	559	581	635	467	1124	318	329	50	697	190	510					
9	Число недействительных избирательных бюллетеней	1021	18	20	21	35	13	12	15	13	32	24	26	22	29	37	28	28	33	31	30	33	29	23	25	29	14	12	41	29	15	24	9	18	13	16	16	14	29	9	13	10	27	53	53					
10	Число действительных избирательных бюллетеней	41366	858	782	944	934	724	1102	584	1005	1391	816	772	1292	1144	1311	1145	1084	1430	1150	1294	1181	1041	1217	1040	938	685	319	1286	1359	696	929	373	848	619	604	661	472	1156	686	593	397	670	2008	1826					
