Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																
Дата голосования: 02.12.2007																																																																
																																																																
Наименование Избирательной комиссии:    Каменская																																																																
																																																																
Сводная таблица результатов выборов																																																																
																																																																
		Сумма	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577					
1	"Число избирателей, внесенных в списки избирателей"	48672	335	310	922	128	394	232	778	414	161	362	860	284	462	401	300	582	236	143	1395	99	1273	1311	505	175	123	414	221	90	294	327	95	683	176	525	366	126	800	132	972	591	2612	1164	1201	1088	1132	1635	728	1299	2640	2753	2836	2456	1782	2261	2232	2306	550					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	49310	338	333	924	130	401	235	774	406	162	366	886	288	469	436	320	580	233	140	1461	99	1284	1281	493	171	132	414	233	96	294	330	96	698	176	535	371	138	801	134	993	587	2867	1181	1086	1125	1136	1769	706	1212	2656	2687	2805	2427	1860	2387	2350	2292	526					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	37881	232	255	695	125	353	196	688	406	159	358	811	222	439	346	284	556	224	119	1266	90	894	1227	420	164	110	340	172	76	256	262	95	600	164	464	359	113	755	125	801	494	1923	827	700	552	754	1269	538	1098	2067	1891	2489	1860	1389	1552	1439	1416	402					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	4408	92	46	212	3	21	21	51	0	0	0	28	51	0	37	7	18	7	14	12	0	63	16	28	0	0	56	45	10	31	60	0	82	0	19	0	13	45	7	165	44	433	100	250	387	109	49	103	114	53	281	77	168	177	293	297	140	73					
6	Число погашенных избирательных бюллетеней	7021	14	32	17	2	27	18	35	0	3	8	47	15	30	53	29	6	2	7	183	9	327	38	45	7	22	18	16	10	7	8	1	16	12	52	12	12	1	2	27	49	511	254	136	186	273	451	65	0	536	515	239	399	294	542	614	736	51					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4408	92	46	212	3	21	21	51	0	0	0	28	51	0	37	7	18	7	14	12	0	63	16	28	0	0	56	45	10	31	60	0	82	0	19	0	13	45	7	165	44	433	100	250	387	109	49	103	114	53	281	77	168	177	293	297	140	73					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	37803	232	255	695	125	353	196	688	406	159	358	811	222	439	346	284	556	224	119	1266	90	894	1227	420	164	110	340	172	76	256	262	95	600	164	464	359	113	755	125	801	494	1923	827	700	552	754	1269	538	1023	2067	1891	2489	1860	1389	1550	1439	1415	402					
9	Число недействительных избирательных бюллетеней	1015	1	32	2	0	12	0	3	0	1	0	47	3	0	12	6	27	3	1	5	0	52	79	101	3	10	1	0	0	48	20	7	52	4	1	10	0	16	4	73	3	62	1	4	36	56	103	11	0	11	34	3	14	7	15	6	10	3					
10	Число действительных избирательных бюллетеней	41196	323	269	905	128	362	217	736	406	158	358	792	270	439	371	285	547	228	132	1273	90	905	1164	347	161	100	395	217	86	239	302	88	630	160	482	349	126	784	128	893	535	2294	926	946	903	807	1215	630	1137	2109	2138	2563	2014	1559	1828	1730	1545	472					
