Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																	
Дата голосования: 04.12.2011																																																																	
																																																																	
Наименование Избирательной комиссии:    Каменская																																																																	
																																																																	
Сводная таблица результатов выборов																																																																	
																																																																	
		Сумма	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570					
1	"Число избирателей, внесенных в список избирателей"	48552	255	1775	1609	660	1060	812	1161	1712	1277	1306	708	1693	1480	1605	2577	2599	1752	1839	2220	1764	888	567	310	282	951	373	232	785	381	159	345	785	253	390	431	307	569	344	1391	84	1254	1277	512	170	431	188	97	333	296	625	162	530	380	120	805	139	963	579					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	47820	255	1700	1500	650	1000	816	1100	1650	1200	1311	724	1650	1400	1520	2430	2550	1700	1868	2150	1710	891	561	310	285	954	379	233	792	386	162	348	788	260	390	440	301	580	346	1418	82	1286	1292	538	174	432	188	100	340	299	648	166	548	385	120	821	140	964	589					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	30373	176	984	844	443	818	272	615	898	565	591	385	975	658	950	1139	1796	728	786	1220	544	343	372	267	201	797	340	208	654	366	153	328	734	189	295	355	271	519	322	1007	74	1090	1058	481	162	356	157	85	250	250	543	154	489	351	91	719	118	417	420					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3513	79	208	266	50	47	114	70	22	138	165	54	46	126	145	92	122	82	96	92	150	40	49	22	65	142	6	8	48	0	0	6	0	44	64	64	8	12	0	36	5	129	87	12	0	46	31	7	58	30	45	0	29	0	25	23	11	109	88					
6	Число погашенных избирательных бюллетеней	13934	0	508	390	157	135	430	415	730	497	555	285	629	616	425	1199	632	890	986	838	1016	508	140	21	19	15	33	17	90	20	9	14	54	27	31	21	22	49	24	375	3	67	147	45	12	30	0	8	32	19	60	12	30	34	4	79	11	438	81					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3513	79	208	266	50	47	114	70	22	138	165	54	46	126	145	92	122	82	96	92	150	40	49	22	65	142	6	8	48	0	0	6	0	44	64	64	8	12	0	36	5	129	87	12	0	46	31	7	58	30	45	0	29	0	25	23	11	109	88					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	30368	176	984	844	443	818	272	615	898	565	591	385	975	655	950	1139	1796	728	786	1220	543	342	372	267	201	797	340	208	654	366	153	328	734	189	295	355	271	519	322	1007	74	1090	1058	481	162	356	157	85	250	250	543	154	489	351	91	719	118	417	420					
9	Число недействительных избирательных бюллетеней	793	1	37	16	33	18	16	39	8	9	13	5	13	3	4	20	12	22	19	43	9	9	1	0	1	10	0	2	57	0	0	0	0	2	0	9	1	25	2	9	4	28	108	0	0	4	1	0	15	21	13	0	55	1	15	4	5	7	44					
10	Число действительных избирательных бюллетеней	33088	254	1155	1094	460	847	370	646	912	694	743	434	1008	778	1091	1211	1906	788	863	1269	684	373	420	289	265	929	346	214	645	366	153	334	734	231	359	410	278	506	320	1034	75	1191	1037	493	162	398	187	92	293	259	575	154	463	350	101	738	124	519	464					
