Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																												
Дата голосования: 07.12.2003 0:00:00																												
																												
Наименование Избирательной комиссии:    Вичугская городская																												
																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																												
																												
		Сумма	УИК  190	УИК  191	УИК  192	УИК  193	УИК  194	УИК  195	УИК  196	УИК  197	УИК  198	УИК  199	УИК  200	УИК  201	УИК  202	УИК  203	УИК  204	УИК  205	УИК  206	УИК  207	УИК  208	УИК  209	УИК  210					
1	"Число избирателей, внесенных в списки"	32964	1167	1188	1212	1125	2387	1895	2344	1005	2555	1180	1970	1128	1415	1168	2151	1014	2118	1173	778	2058	1933					
2	"Число бюллетеней, полученных участковыми комиссиями"	29680	1020	1040	1050	940	2020	1710	2090	1820	2280	1050	1700	1010	1220	1060	1880	860	1800	1050	640	1770	1670					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	15244	613	579	616	439	1033	870	1227	453	1186	532	892	570	672	545	921	431	987	467	350	1029	832					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1435	54	37	48	89	140	94	56	53	76	71	83	36	67	58	103	53	70	75	35	44	93					
6	Число погашенных бюллетеней	13001	353	424	386	412	847	746	807	1314	1018	447	725	404	481	457	856	376	743	508	255	697	745					
7	Число бюллетеней в переносных ящиках для голосования	1434	54	37	48	89	140	94	56	53	76	71	83	36	67	58	103	53	69	75	35	44	93					
8	Число бюллетеней в стационарных ящиках для голосования	15208	613	579	619	439	1033	870	1192	453	1185	532	892	567	672	545	921	431	987	467	350	1029	832					
9	Число недействительных бюллетеней	217	11	7	10	7	14	15	14	3	8	10	9	6	16	8	8	5	10	8	10	18	20					
10	Число действительных бюллетеней	16425	656	609	657	521	1159	949	1234	503	1253	593	966	597	723	595	1016	479	1046	534	375	1055	905					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	270	10	10	10	10	15	20	15	10	15	10	15	10	10	10	15	10	25	10	10	15	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	135	4	8	4	6	3	17	13	5	7	8	0	1	7	3	10	2	15	3	0	12	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	89	1	2	4	2	6	1	14	3	3	1	3	1	3	3	4	26	2	1	2	3	4					
14	Число погашенных открепительных удостоверений	129	6	2	6	4	12	3	2	5	8	2	9	9	3	7	5	8	10	7	10	3	8					
15	Число открепительных удостоверений выданных ТИК	3	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																												
18	"1. ""ЕДИНЕНИЕ"""	216	9	7	5	8	14	6	12	3	12	8	11	13	8	10	29	6	13	3	9	13	17					
		1.29%	1.34%	1.13%	0.74%	1.51%	1.19%	0.62%	0.96%	0.59%	0.95%	1.32%	1.12%	2.15%	1.08%	1.65%	2.83%	1.23%	1.23%	0.55%	2.33%	1.21%	1.83%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	148	8	8	5	2	3	10	18	10	13	5	4	1	5	1	11	6	9	5	2	10	12					
		0.88%	1.19%	1.29%	0.74%	0.37%	0.25%	1.03%	1.44%	1.97%	1.03%	0.82%	0.41%	0.16%	0.67%	0.16%	1.07%	1.23%	0.85%	0.92%	0.51%	0.93%	1.29%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	587	18	27	20	14	41	34	41	11	28	23	26	19	33	29	44	23	40	16	25	29	46					
		3.52%	2.69%	4.38%	2.99%	2.65%	3.49%	3.52%	3.28%	2.17%	2.22%	3.81%	2.66%	3.15%	4.46%	4.80%	4.29%	4.75%	3.78%	2.95%	6.49%	2.70%	4.97%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	481	18	25	27	15	38	18	49	18	29	8	31	12	21	9	27	15	24	18	13	41	25					
		2.89%	2.69%	4.05%	4.04%	2.84%	3.23%	1.86%	3.92%	3.55%	2.29%	1.32%	3.17%	1.99%	2.84%	1.49%	2.63%	3.09%	2.27%	3.32%	3.37%	3.82%	2.70%					
22	"5. ""За Русь Святую"""	153	5	3	10	4	7	5	13	4	10	1	15	6	12	8	5	8	8	6	7	9	7					
		0.91%	0.74%	0.48%	1.49%	0.75%	0.59%	0.51%	1.04%	0.79%	0.79%	0.16%	1.53%	0.99%	1.62%	1.32%	0.48%	1.65%	0.75%	1.10%	1.81%	0.83%	0.75%					
23	"6. ""Объединенная Российская партия ""Русь"""	36	2	3	1	0	3	4	0	0	3	1	0	2	6	2	0	1	1	1	2	4	0					
		0.21%	0.29%	0.48%	0.14%	0.0%	0.25%	0.41%	0.0%	0.0%	0.23%	0.16%	0.0%	0.33%	0.81%	0.33%	0.0%	0.20%	0.09%	0.18%	0.51%	0.37%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	81	3	2	7	3	4	3	8	4	8	2	0	4	5	4	4	1	7	2	2	5	3					
		0.48%	0.44%	0.32%	1.04%	0.56%	0.34%	0.31%	0.64%	0.79%	0.63%	0.33%	0.0%	0.66%	0.67%	0.66%	0.39%	0.20%	0.66%	0.36%	0.51%	0.46%	0.32%					
25	"8. ""Народно-республиканская партия России"""	22	0	0	0	1	3	0	0	0	1	1	0	3	6	0	4	0	1	2	0	0	0					
		0.13%	0.0%	0.0%	0.0%	0.18%	0.25%	0.0%	0.0%	0.0%	0.07%	0.16%	0.0%	0.49%	0.81%	0.0%	0.39%	0.0%	0.09%	0.36%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	36	0	3	0	0	1	2	2	3	2	0	3	0	4	1	5	3	1	1	2	2	1					
		0.21%	0.0%	0.48%	0.0%	0.0%	0.08%	0.20%	0.16%	0.59%	0.15%	0.0%	0.30%	0.0%	0.54%	0.16%	0.48%	0.61%	0.09%	0.18%	0.51%	0.18%	0.10%					
27	"10. ""Аграрная партия России"""	504	33	21	26	21	50	30	44	12	39	21	36	14	15	22	16	9	25	11	8	31	20					
