Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																						
Дата голосования: 07.12.2003 0:00:00																																																						
																																																						
"Наименование Избирательной комиссии:    Рязань, Октябрьская"																																																						
																																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																						
																																																						
		Сумма	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271					
1	"Число избирателей, внесенных в списки"	112349	1718	1680	2322	1840	1780	915	1617	2234	2317	2398	1873	2724	1920	819	2566	2704	2841	2968	2882	2908	2515	2848	2385	2831	2272	2717	2491	2930	2137	2701	2734	2290	2107	2360	2728	2788	2730	2865	2532	2340	2381	2495	2783	2845	2806	2384	2328					
2	"Число бюллетеней, полученных участковыми комиссиями"	107300	1700	1600	2200	1800	1700	1000	1400	2100	2300	2400	1800	2600	1800	700	2500	2600	2700	2700	2800	2800	2400	2800	2300	2700	2200	2700	2400	2800	2000	2500	2600	2200	2000	2200	2600	2700	2600	2700	2400	2200	2100	2400	2700	2700	2700	2300	2200					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	53429	887	855	1119	1014	700	269	531	931	1168	1159	855	1397	820	356	1285	1449	1064	1192	1163	1513	1201	1220	1085	1415	1005	1393	1320	1500	825	1454	1208	999	1021	1151	1435	1538	1386	1492	1030	1120	1127	1047	1463	1412	1385	1223	1247					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1584	20	47	48	19	105	160	11	83	38	19	10	24	35	34	69	28	45	34	72	6	14	12	23	5	16	22	18	17	11	156	14	42	10	70	20	10	24	29	6	24	18	14	18	21	20	23	20					
6	Число погашенных бюллетеней	52287	793	698	1033	767	895	571	858	1086	1094	1222	935	1179	945	310	1146	1123	1591	1474	1565	1281	1185	1568	1192	1280	1179	1285	1062	1283	1164	890	1378	1159	969	979	1145	1152	1190	1179	1364	1056	955	1339	1219	1267	1295	1054	933					
7	Число бюллетеней в переносных ящиках для голосования	1583	20	47	48	19	105	160	11	83	38	19	10	24	35	34	69	28	45	34	72	6	14	12	23	5	16	22	18	17	11	156	13	42	10	70	20	10	24	29	6	24	18	14	18	21	20	23	20					
8	Число бюллетеней в стационарных ящиках для голосования	53353	883	855	1119	1014	698	269	529	929	1162	1159	851	1397	818	356	1285	1447	1064	1189	1163	1513	1200	1220	1085	1414	1005	1370	1320	1499	825	1454	1208	998	1021	1151	1434	1538	1386	1492	1012	1120	1126	1047	1462	1412	1385	1222	1247					
9	Число недействительных бюллетеней	511	11	5	2	11	6	4	4	11	16	19	3	18	12	1	21	16	11	11	24	6	3	11	4	11	1	15	28	14	6	22	8	9	4	11	13	4	16	5	13	12	7	5	15	20	13	11	18					
10	Число действительных бюллетеней	54425	892	897	1165	1022	797	425	536	1001	1184	1159	858	1403	841	389	1333	1459	1098	1212	1211	1513	1211	1221	1104	1408	1020	1377	1310	1502	830	1588	1213	1031	1027	1210	1441	1544	1394	1516	1005	1132	1137	1056	1465	1413	1392	1234	1249					
