Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Вятскополянская городская																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	28636	1340	1307	1553	2666	1366	1269	1613	1652	1519	1681	2590	1359	1402	1517	2564	1728	109	1401									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	26860	1270	1220	1460	2500	1280	1180	1500	1550	1410	1570	2430	1280	1320	1420	2410	1620	120	1320									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12880	547	636	690	1363	685	531	818	664	717	683	1213	553	628	546	1154	698	59	695									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	649	31	19	50	45	22	19	39	53	39	22	50	47	19	25	37	44	50	38									
6	Число погашенных избирательных бюллетеней	13331	692	565	720	1092	573	630	643	833	654	865	1167	680	673	849	1219	878	11	587									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	649	31	19	50	45	22	19	39	53	39	22	50	47	19	25	37	44	50	38									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12866	547	636	690	1363	685	531	814	664	717	683	1211	553	628	546	1146	698	59	695									
9	Число недействительных избирательных бюллетеней	405	14	13	22	42	24	11	29	30	21	22	43	9	15	19	30	33	3	25									
10	Число действительных избирательных бюллетеней	13110	564	642	718	1366	683	539	824	687	735	683	1218	591	632	552	1153	709	106	708									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	830	40	35	45	80	40	35	45	50	45	50	75	40	40	45	75	50	0	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	252	16	10	17	29	7	7	18	14	8	14	28	11	12	9	25	18	0	9									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	102	3	8	5	13	3	8	11	12	4	3	7	1	3	4	4	9	0	4									
14	Число погашенных неиспользованных открепительных удостоверений	578	24	25	28	51	33	28	27	36	37	36	47	29	28	36	50	32	0	31									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	165	11	6	10	13	4	9	11	11	8	7	16	9	6	6	13	8	0	17									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	226	10	9	13	22	13	3	14	19	21	23	13	10	10	9	15	5	1	16									
		1.67%	1.73%	1.37%	1.76%	1.56%	1.84%	0.55%	1.64%	2.65%	2.78%	3.26%	1.03%	1.67%	1.55%	1.58%	1.27%	0.67%	0.92%	2.18%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	382	16	15	28	35	15	9	22	22	18	30	38	11	20	17	36	35	4	11									
		2.83%	2.77%	2.29%	3.78%	2.49%	2.12%	1.64%	2.58%	3.07%	2.38%	4.26%	3.01%	1.83%	3.09%	2.98%	3.04%	4.72%	3.67%	1.50%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	272	9	23	21	30	19	11	20	14	13	19	13	6	16	13	21	7	3	14									
		2.01%	1.56%	3.51%	2.84%	2.13%	2.69%	2.00%	2.34%	1.95%	1.72%	2.70%	1.03%	1.00%	2.47%	2.28%	1.78%	0.94%	2.75%	1.91%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5694	252	242	353	544	278	236	329	362	321	295	527	279	278	247	462	334	54	301									
		42.13%	43.60%	36.95%	47.70%	38.64%	39.32%	42.91%	38.57%	50.49%	42.46%	41.84%	41.79%	46.50%	42.97%	43.26%	39.05%	45.01%	49.54%	41.06%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	81	5	8	3	6	5	4	4	4	4	5	9	6	1	3	5	5	0	4									
		0.60%	0.87%	1.22%	0.41%	0.43%	0.71%	0.73%	0.47%	0.56%	0.53%	0.71%	0.71%	1.00%	0.15%	0.53%	0.42%	0.67%	0.00%	0.55%									
24	"6. Политическая партия ""Гражданская Платформа"""	28	0	2	1	2	3	1	2	1	1	2	3	1	0	3	1	4	0	1									
		0.21%	0.00%	0.31%	0.14%	0.14%	0.42%	0.18%	0.23%	0.14%	0.13%	0.28%	0.24%	0.17%	0.00%	0.53%	0.08%	0.54%	0.00%	0.14%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2324	113	109	104	225	97	92	126	115	147	105	226	121	140	115	207	139	21	122									
		17.20%	19.55%	16.64%	14.05%	15.98%	13.72%	16.73%	14.77%	16.04%	19.44%	14.89%	17.92%	20.17%	21.64%	20.14%	17.50%	18.73%	19.27%	16.64%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	82	3	7	3	8	5	3	3	3	3	6	13	2	4	1	5	11	0	2									
		0.61%	0.52%	1.07%	0.41%	0.57%	0.71%	0.55%	0.35%	0.42%	0.40%	0.85%	1.03%	0.33%	0.62%	0.18%	0.42%	1.48%	0.00%	0.27%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	123	8	8	9	13	4	4	14	8	6	7	9	6	9	3	5	2	2	6									
		0.91%	1.38%	1.22%	1.22%	0.92%	0.57%	0.73%	1.64%	1.12%	0.79%	0.99%	0.71%	1.00%	1.39%	0.53%	0.42%	0.27%	1.83%	0.82%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	18	0	0	1	0	1	2	1	0	0	2	1	0	0	6	1	2	0	1									
		0.13%	0.00%	0.00%	0.14%	0.00%	0.14%	0.36%	0.12%	0.00%	0.00%	0.28%	0.08%	0.00%	0.00%	1.05%	0.08%	0.27%	0.00%	0.14%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	111	6	7	4	8	9	3	15	3	3	9	9	6	1	4	15	4	2	3									
		0.82%	1.04%	1.07%	0.54%	0.57%	1.27%	0.55%	1.76%	0.42%	0.40%	1.28%	0.71%	1.00%	0.15%	0.70%	1.27%	0.54%	1.83%	0.41%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1948	89	89	99	201	82	78	135	107	106	115	160	106	92	87	173	111	11	107									
		14.41%	15.40%	13.59%	13.38%	14.28%	11.60%	14.18%	15.83%	14.92%	14.02%	16.31%	12.69%	17.67%	14.22%	15.24%	14.62%	14.96%	10.09%	14.60%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	45	1	1	1	14	5	0	2	2	1	2	5	2	0	1	4	0	0	4									
		0.33%	0.17%	0.15%	0.14%	0.99%	0.71%	0.00%	0.23%	0.28%	0.13%	0.28%	0.40%	0.33%	0.00%	0.18%	0.34%	0.00%	0.00%	0.55%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1776	52	122	78	258	147	93	137	27	91	63	192	35	61	43	203	50	8	116									
		13.14%	8.99%	18.63%	10.54%	18.32%	20.79%	16.91%	16.06%	3.77%	12.04%	8.94%	15.23%	5.83%	9.43%	7.53%	17.16%	6.74%	7.34%	15.83%									
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
