Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																
Дата голосования: 18.09.2016																
																
Наименование Избирательной комиссии:    Жиганская																
																
Сводная таблица итогов голосования по федеральному избирательному округу																
																
		Сумма	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	3226	2397	280	262	162	125									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3025	2100	290	310	180	145									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	372	355	0	17	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1392	926	146	130	97	93									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	98	86	2	8	2	0									
6	Число погашенных избирательных бюллетеней	1163	733	142	155	81	52									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	470	441	2	25	2	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1392	926	146	130	97	93									
9	Число недействительных избирательных бюллетеней	51	38	7	4	0	2									
10	Число действительных избирательных бюллетеней	1811	1329	141	151	99	91									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	119	29	20	30	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	84	24	7	30	9	14									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	40	28	4	2	2	4									
14	Число погашенных неиспользованных открепительных удостоверений	35	5	13	0	11	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	30	29	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0									
																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	20	14	1	3	2	0									
		1.07%	1.02%	0.68%	1.94%	2.02%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	51	42	3	2	4	0									
		2.74%	3.07%	2.03%	1.29%	4.04%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	40	26	5	4	5	0									
		2.15%	1.90%	3.38%	2.58%	5.05%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	941	659	62	106	57	57									
		50.54%	48.21%	41.89%	68.39%	57.58%	61.29%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	8	4	3	1	0	0									
		0.43%	0.29%	2.03%	0.65%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	15	12	0	2	0	1									
		0.81%	0.88%	0.00%	1.29%	0.00%	1.08%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	113	75	28	5	1	4									
		6.07%	5.49%	18.92%	3.23%	1.01%	4.30%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	8	5	1	1	0	1									
		0.43%	0.37%	0.68%	0.65%	0.00%	1.08%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	8	2	0	6	0	0									
		0.43%	0.15%	0.00%	3.87%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	4	3	0	0	1	0									
		0.21%	0.22%	0.00%	0.00%	1.01%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	16	13	2	0	1	0									
		0.86%	0.95%	1.35%	0.00%	1.01%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	168	136	14	1	8	9									
		9.02%	9.95%	9.46%	0.65%	8.08%	9.68%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	5	4	0	1	0	0									
		0.27%	0.29%	0.00%	0.65%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	414	334	22	19	20	19									
		22.23%	24.43%	14.86%	12.26%	20.20%	20.43%									
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
