Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																							
Дата голосования: 18.09.2016																																							
																																							
Наименование Избирательной комиссии:    Дубненская городская																																							
																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																							
																																							
		Сумма	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	54995	2632	2528	2529	1735	1278	1256	1226	2631	2566	1853	1063	2678	1850	1434	2763	1692	2891	1355	2821	2958	2919	1312	1141	1041	1428	2523	1818	1074									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	48100	2500	2000	2500	1500	1000	1000	1000	2500	2500	1500	1000	2500	1500	1300	2500	1500	2500	1000	2500	2500	2500	1100	1000	1000	1200	2000	1500	1000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	21977	1065	1030	1106	804	579	580	438	1096	1021	696	379	935	659	565	1094	709	1057	528	1173	1209	1156	561	462	440	553	997	658	427									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	351	19	21	10	10	10	5	8	13	21	4	1	7	7	5	5	3	16	7	13	22	18	17	11	7	33	13	40	5									
6	Число погашенных избирательных бюллетеней	25772	1416	949	1384	686	411	415	554	1391	1458	800	620	1558	834	730	1401	788	1427	465	1314	1269	1326	522	527	553	614	990	802	568									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	351	19	21	10	10	10	5	8	13	21	4	1	7	7	5	5	3	16	7	13	22	18	17	11	7	33	13	40	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	21855	1062	1030	1105	803	579	580	433	1091	1019	696	379	935	659	563	1086	709	1048	528	1108	1203	1156	561	460	440	553	986	657	426									
9	Число недействительных избирательных бюллетеней	603	34	47	34	30	16	5	12	51	14	13	16	15	12	15	37	15	27	10	31	31	33	12	16	16	11	27	14	9									
10	Число действительных избирательных бюллетеней	21603	1047	1004	1081	783	573	580	429	1053	1026	687	364	927	654	553	1054	697	1037	525	1090	1194	1141	566	455	431	575	972	683	422									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1400	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	300	9	7	13	15	1	9	9	14	15	9	8	16	5	5	23	14	15	7	17	10	15	11	7	3	14	10	12	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	213	2	12	2	4	3	5	5	18	4	6	4	14	8	2	8	5	7	10	10	9	6	1	17	9	13	9	12	8									
14	Число погашенных неиспользованных открепительных удостоверений	1100	41	43	37	35	49	41	41	36	35	41	42	34	45	45	27	36	35	43	33	40	35	39	43	47	36	40	38	43									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	95	4	3	3	4	0	2	0	5	3	0	1	5	2	0	3	5	7	2	3	5	5	5	3	1	3	7	4	10									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	780	31	29	37	26	15	19	8	41	45	31	9	23	18	14	33	28	39	16	46	66	51	16	18	14	27	37	26	17									
		3.51%	2.87%	2.76%	3.32%	3.20%	2.55%	3.25%	1.81%	3.71%	4.33%	4.43%	2.37%	2.44%	2.70%	2.46%	3.02%	3.93%	3.67%	2.99%	4.10%	5.39%	4.34%	2.77%	3.82%	3.13%	4.61%	3.70%	3.73%	3.94%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	484	24	20	32	24	10	18	9	22	22	8	7	21	16	15	22	20	38	13	29	17	15	15	6	8	9	24	14	6									
		2.18%	2.22%	1.90%	2.87%	2.95%	1.70%	3.08%	2.04%	1.99%	2.12%	1.14%	1.84%	2.23%	2.40%	2.64%	2.02%	2.81%	3.57%	2.43%	2.59%	1.39%	1.28%	2.60%	1.27%	1.79%	1.54%	2.40%	2.01%	1.39%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	642	24	33	29	25	15	27	10	35	29	14	9	20	13	29	35	19	31	12	33	35	31	21	15	9	22	38	21	8									
