Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																	
Дата голосования: 07.12.2003 0:00:00																																	
																																	
Наименование Избирательной комиссии:    Район Братеево																																	
																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																	
																																	
		Сумма	УИК  1624	УИК  1625	УИК  1626	УИК  1627	УИК  1628	УИК  1629	УИК  1630	УИК  1631	УИК  1632	УИК  1633	УИК  1634	УИК  1635	УИК  1636	УИК  1637	УИК  1638	УИК  1639	УИК  1640	УИК  1641	УИК  1642	УИК  1643	УИК  1644	УИК  1645	УИК  1646	УИК  1647	УИК  1648	УИК  1649					
1	"Число избирателей, внесенных в списки"	61210	2133	2127	2561	2099	2818	2685	2353	2439	2572	2330	2165	2370	2040	2151	2822	2425	2291	2004	2071	2584	2799	2614	2506	2295	2397	1559					
2	"Число бюллетеней, полученных участковыми комиссиями"	56800	2000	2000	2400	1900	2600	2500	2200	2300	2400	2200	2000	2100	1900	2000	2600	2200	2100	1900	2000	2400	2600	2400	2300	2200	2200	1400					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	33018	1163	1233	1450	1122	1468	1335	1282	1240	1414	1300	1120	1213	1151	1188	1585	1381	1270	1060	1067	1386	1469	1418	1360	1228	1356	759					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	674	44	32	31	32	27	16	24	17	27	12	17	20	29	32	54	23	26	14	27	38	16	31	20	32	15	18					
6	Число погашенных бюллетеней	23108	793	735	919	746	1105	1149	894	1043	959	888	863	867	720	780	961	796	804	826	906	976	1115	951	920	940	829	623					
7	Число бюллетеней в переносных ящиках для голосования	674	44	32	31	32	27	16	24	17	27	12	17	20	29	32	54	23	26	14	27	38	16	31	20	32	15	18					
8	Число бюллетеней в стационарных ящиках для голосования	32823	1152	1232	1450	1119	1466	1321	1258	1221	1414	1293	1106	1193	1147	1185	1585	1378	1263	1060	1067	1348	1453	1416	1357	1228	1352	759					
9	Число недействительных бюллетеней	449	8	8	11	12	13	18	18	5	21	17	29	61	14	12	20	18	10	26	18	18	20	27	4	15	26	0					
10	Число действительных бюллетеней	33048	1188	1256	1470	1139	1480	1319	1264	1233	1420	1288	1094	1152	1162	1205	1619	1383	1279	1048	1076	1368	1449	1420	1373	1245	1341	777					
