Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва														
Дата голосования: 04.12.2011														
														
Наименование Избирательной комиссии:    Макаровская														
														
Сводная таблица результатов выборов														
														
		Сумма	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93					
1	"Число избирателей, внесенных в список избирателей"	6945	459	310	1451	2397	1565	661	102					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7040	460	320	1470	2460	1560	670	100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	3275	224	148	709	1130	696	305	63					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	306	20	13	22	51	142	58	0					
6	Число погашенных избирательных бюллетеней	3459	216	159	739	1279	722	307	37					
7	Число избирательных бюллетеней в переносных ящиках для голосования	306	20	13	22	51	142	58	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3272	223	148	709	1128	696	305	63					
9	Число недействительных избирательных бюллетеней	63	7	0	11	20	11	14	0					
10	Число действительных избирательных бюллетеней	3515	236	161	720	1159	827	349	63					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	130	7	10	15	53	17	13	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	125	7	9	15	49	17	13	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	69	7	3	6	14	6	15	18					
14	Число погашенных неиспользованных открепительных удостоверений	5	0	1	0	4	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	0	0	4	14	2	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0					
														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	545	31	20	128	187	110	55	14					
		15.23%	12.76%	12.42%	17.51%	15.86%	13.13%	15.15%	22.22%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	605	53	30	127	202	115	62	16					
		16.91%	21.81%	18.63%	17.37%	17.13%	13.72%	17.08%	25.40%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	30	2	2	6	7	10	2	1					
		0.84%	0.82%	1.24%	0.82%	0.59%	1.19%	0.55%	1.59%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	615	28	18	137	216	139	69	8					
		17.19%	11.52%	11.18%	18.74%	18.32%	16.59%	19.01%	12.70%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	76	1	4	20	24	25	2	0					
		2.12%	0.41%	2.48%	2.74%	2.04%	2.98%	0.55%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1617	118	85	297	515	422	157	23					
		45.19%	48.56%	52.80%	40.63%	43.68%	50.36%	43.25%	36.51%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	27	3	2	5	8	6	2	1					
		0.75%	1.23%	1.24%	0.68%	0.68%	0.72%	0.55%	1.59%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
