Выборы Президента Российской Федерации																																																										
																																																										
Наименование Избирательной комиссии:    Шатурская																																																										
																																																										
Итоги голосования 																																																										
																																																										
		Сумма	УИК №3015	УИК №3016	УИК №3017	УИК №3018	УИК №3019	УИК №3020	УИК №3021	УИК №3022	УИК №3023	УИК №3024	УИК №3025	УИК №3026	УИК №3027	УИК №3028	УИК №3029	УИК №3030	УИК №3031	УИК №3032	УИК №3033	УИК №3034	УИК №3035	УИК №3036	УИК №3037	УИК №3038	УИК №3039	УИК №3040	УИК №3041	УИК №3042	УИК №3043	УИК №3044	УИК №3045	УИК №3046	УИК №3047	УИК №3048	УИК №3049	УИК №3050	УИК №3051	УИК №3052	УИК №3053	УИК №3054	УИК №3055	УИК №3056	УИК №3057	УИК №3058	УИК №3059	УИК №3060	УИК №3061	УИК №3062	УИК №3063	УИК №3064	УИК №3065					
1	"Число избирателей, внесенных в список"	57528	1804	1564	2099	2226	2489	2090	2211	2202	2286	1752	1326	1808	886	591	1883	1652	167	254	1492	1636	1653	1822	1787	568	1535	1013	835	546	1350	317	291	305	2262	284	637	2571	259	232	250	218	160	383	1342	443	803	710	1251	258	175	362	488					
2	Число полученных избирательных бюллетеней	57599	1806	1540	2112	2241	2478	2115	2212	2219	2249	1748	1322	1736	881	549	1876	1673	160	288	1498	1678	1677	1852	1770	558	1580	1003	851	592	1207	318	290	309	2179	291	632	2594	257	232	233	221	161	375	1354	449	876	775	1290	261	190	369	472					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	28626	911	723	1088	1164	1294	1195	1274	1151	1300	979	733	776	357	329	888	863	88	133	613	628	873	830	904	268	772	526	433	424	695	154	131	153	1080	58	335	1383	64	61	73	115	28	169	595	292	351	347	455	74	76	195	225					
5	"Число избирательных бюллетеней, выданных вне помещения"	3296	22	54	28	30	20	16	26	28	5	13	10	33	36	3	63	62	3	25	114	194	61	149	60	21	110	22	42	19	79	31	32	89	240	94	42	61	132	107	67	33	64	77	143	20	138	60	221	64	36	100	97					
6	Число погашенных избирательных бюллетеней	25677	873	763	996	1047	1164	904	912	1040	944	756	579	927	488	217	925	748	69	130	771	856	743	873	806	269	698	455	376	149	433	133	127	67	859	139	255	1150	61	64	93	73	69	129	616	137	387	368	614	123	78	74	150					
7	Число избирательных бюллетеней в переносных ящиках	3296	22	54	28	30	20	16	26	28	5	13	10	33	36	3	63	62	3	25	114	194	61	149	60	21	110	22	42	19	79	31	32	89	240	94	42	61	132	107	67	33	64	77	143	20	138	60	221	64	36	100	97					
8	Число бюллетеней в стационарных ящиках для голосования	28621	911	723	1088	1164	1294	1194	1274	1151	1297	979	733	776	357	329	888	863	88	133	612	628	873	830	904	268	772	526	433	424	695	154	131	153	1080	58	335	1383	64	61	73	115	28	169	595	292	351	347	455	74	76	195	225					
9	Число недействительных избирательных бюллетеней	251	2	5	6	13	10	6	8	10	4	5	5	4	0	2	4	20	0	5	10	9	9	8	6	0	9	7	5	5	3	1	0	1	20	1	4	16	0	0	0	2	0	5	2	2	7	3	2	1	1	3	0					
10	Число действительных избирательных бюллетеней	31666	931	772	1110	1181	1304	1204	1292	1169	1298	987	738	805	393	330	947	905	91	153	716	813	925	971	958	289	873	541	470	438	771	184	163	241	1300	151	373	1428	196	168	140	146	92	241	736	310	482	404	674	137	111	292	322					
