Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																													
Дата голосования: 18.09.2016																																													
																																													
Наименование Избирательной комиссии:    Нуримановская																																													
																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																													
																																													
		Сумма	УИК №2739	УИК №2740	УИК №2741	УИК №2742	УИК №2743	УИК №2744	УИК №2745	УИК №2747	УИК №2748	УИК №2749	УИК №2750	УИК №2751	УИК №2752	УИК №2753	УИК №2754	УИК №2755	УИК №2756	УИК №2757	УИК №2758	УИК №2759	УИК №2760	УИК №2761	УИК №2762	УИК №2763	УИК №2764	УИК №2765	УИК №2766	УИК №2767	УИК №2768	УИК №2769	УИК №2770	УИК №2771	УИК №2772	УИК №2773									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15163	407	137	123	263	285	164	595	1205	472	283	202	340	342	300	689	704	733	694	287	335	112	584	310	131	200	212	177	720	799	201	171	1029	1172	785									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15657	412	134	127	272	287	168	625	1239	473	290	202	339	341	308	712	733	780	709	306	338	114	589	310	138	208	210	189	816	913	203	171	1032	1180	789									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12318	259	93	108	252	144	147	509	1079	415	249	186	300	298	127	448	590	654	523	248	319	105	515	279	114	180	197	95	490	502	132	151	900	1017	693									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	812	17	3	5	11	32	6	45	0	38	26	10	22	22	60	32	36	11	56	14	12	7	32	15	12	12	9	54	61	47	62	16	12	5	10									
6	Число погашенных избирательных бюллетеней	2527	136	38	14	9	111	15	71	160	20	15	6	17	21	121	232	107	115	130	44	7	2	42	16	12	16	4	40	265	364	9	4	120	158	86									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	812	17	3	5	11	32	6	45	0	38	26	10	22	22	60	32	36	11	56	14	12	7	32	15	12	12	9	54	61	47	62	16	12	5	10									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12318	259	93	108	252	144	147	509	1079	415	249	186	300	298	127	448	590	654	523	248	319	105	515	279	114	180	197	95	490	502	132	151	900	1017	693									
9	Число недействительных избирательных бюллетеней	204	7	0	1	5	5	1	5	47	4	1	0	0	0	4	12	15	13	9	1	0	0	0	0	0	2	0	2	9	12	2	3	0	34	10									
10	Число действительных избирательных бюллетеней	12926	269	96	112	258	171	152	549	1032	449	274	196	322	320	183	468	611	652	570	261	331	112	547	294	126	190	206	147	542	537	192	164	912	988	693									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	493	10	3	2	5	5	3	30	30	5	5	3	2	2	15	30	30	50	30	20	10	5	5	5	5	6	5	25	50	60	5	2	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	362	5	0	2	0	2	1	30	30	5	1	1	0	0	6	30	30	30	18	20	0	2	5	5	5	6	0	21	22	50	5	0	10	10	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	80	6	1	1	4	1	0	0	5	5	1	1	0	1	2	4	0	3	2	5	1	0	4	4	1	0	0	6	4	6	0	0	7	0	5									
14	Число погашенных неиспользованных открепительных удостоверений	131	5	3	0	5	3	2	0	0	0	4	2	2	2	9	0	0	20	12	0	10	3	0	0	0	0	5	4	28	10	0	2	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	0	0	0	0	0	0	0	2	0	0	0	0	0	1	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	120	10	4	3	6	2	0	8	8	0	0	0	0	0	4	0	6	5	8	18	0	0	1	1	3	0	0	0	3	3	1	0	9	12	5									
		0.91%	3.62%	4.17%	2.65%	2.28%	1.14%	0.00%	1.44%	0.74%	0.00%	0.00%	0.00%	0.00%	0.00%	2.14%	0.00%	0.96%	0.75%	1.38%	6.87%	0.00%	0.00%	0.18%	0.34%	2.38%	0.00%	0.00%	0.00%	0.54%	0.55%	0.52%	0.00%	0.99%	1.17%	0.71%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	289	16	2	5	10	4	11	14	52	0	2	2	0	0	2	11	19	13	15	0	0	0	0	3	0	0	0	6	13	13	5	0	17	26	28									
		2.20%	5.80%	2.08%	4.42%	3.80%	2.27%	7.19%	2.53%	4.82%	0.00%	0.73%	1.02%	0.00%	0.00%	1.07%	2.29%	3.04%	1.95%	2.59%	0.00%	0.00%	0.00%	0.00%	1.02%	0.00%	0.00%	0.00%	4.03%	2.36%	2.37%	2.58%	0.00%	1.86%	2.54%	3.98%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	164	7	3	4	9	2	2	2	6	0	2	1	3	1	1	11	23	10	10	0	2	0	3	0	1	0	1	2	8	12	2	0	10	14	12									
		1.25%	2.54%	3.13%	3.54%	3.42%	1.14%	1.31%	0.36%	0.56%	0.00%	0.73%	0.51%	0.93%	0.31%	0.53%	2.29%	3.67%	1.50%	1.73%	0.00%	0.60%	0.00%	0.55%	0.00%	0.79%	0.00%	0.49%	1.34%	1.45%	2.19%	1.03%	0.00%	1.10%	1.37%	1.71%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7458	189	60	85	151	122	51	412	572	319	169	134	209	209	124	239	280	317	278	155	272	90	307	156	105	144	138	95	271	243	120	87	445	521	389									
		56.80%	68.48%	62.50%	75.22%	57.41%	69.32%	33.33%	74.37%	53.01%	70.42%	61.45%	68.37%	64.91%	65.31%	66.31%	49.79%	44.73%	47.67%	48.01%	59.16%	82.18%	80.36%	56.12%	53.06%	83.33%	75.00%	66.99%	63.76%	49.18%	44.26%	61.86%	52.10%	48.79%	50.98%	55.33%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	45	2	2	2	1	2	2	2	3	0	0	0	0	0	0	4	5	0	1	0	0	0	0	0	2	0	0	0	3	1	2	0	0	6	5									
		0.34%	0.72%	2.08%	1.77%	0.38%	1.14%	1.31%	0.36%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.83%	0.80%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	1.59%	0.00%	0.00%	0.00%	0.54%	0.18%	1.03%	0.00%	0.00%	0.59%	0.71%									
