Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																					
Дата голосования: 02.12.2007																																																					
																																																					
Наименование Избирательной комиссии:    Нижнеингашская																																																					
																																																					
Сводная таблица результатов выборов																																																					
																																																					
		Сумма	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747					
1	"Число избирателей, внесенных в списки избирателей"	22755	306	2198	1055	423	509	144	163	2029	2226	1086	1196	180	797	630	594	505	368	168	143	230	86	551	303	118	1084	174	847	152	263	190	204	68	122	351	420	126	98	72	306	40	64	106	495	1023	102	440					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	22273	332	2367	1148	336	492	146	178	1900	1995	1012	1168	171	785	484	567	487	387	268	152	248	90	546	308	116	1082	220	790	153	251	178	191	66	119	391	412	119	97	72	298	38	64	101	477	970	91	410					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	12899	197	1327	671	238	434	99	73	1057	1223	561	490	108	480	282	300	243	211	69	76	169	61	287	131	78	569	104	427	122	162	123	142	46	89	205	250	82	78	62	187	29	59	77	253	604	59	305					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1710	6	109	52	30	3	10	43	130	34	74	88	21	36	65	54	86	52	33	15	21	2	100	101	6	100	27	30	13	27	7	10	0	5	83	37	16	0	3	32	2	5	10	83	34	2	13					
6	Число погашенных избирательных бюллетеней	7664	129	931	425	68	55	37	62	713	738	377	590	42	269	137	213	158	124	166	61	58	27	159	76	32	413	89	333	18	62	48	39	20	25	103	125	21	19	7	79	7	0	14	141	332	30	92					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1710	6	109	52	30	3	10	43	130	34	74	88	21	36	65	54	86	52	33	15	21	2	100	101	6	100	27	30	13	27	7	10	0	5	83	37	16	0	3	32	2	5	10	83	34	2	13					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12899	197	1327	671	238	434	99	73	1057	1223	561	490	108	480	282	300	243	211	69	76	169	61	287	131	78	569	104	427	122	162	123	142	46	89	205	250	82	78	62	187	29	59	77	253	604	59	305					
9	Число недействительных избирательных бюллетеней	136	1	14	8	7	2	2	0	8	15	1	6	0	4	3	2	1	0	0	1	1	1	11	1	3	3	0	8	2	2	2	2	2	0	3	3	0	1	0	3	0	0	0	2	8	1	2					
10	Число действительных избирательных бюллетеней	14473	202	1422	715	261	435	107	116	1179	1242	634	572	129	512	344	352	328	263	102	90	189	62	376	231	81	666	131	449	133	187	128	150	44	94	285	284	98	77	65	216	31	64	87	334	630	60	316					
