Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																											
Дата голосования: 04.12.2011																																																											
																																																											
Наименование Избирательной комиссии:    Электростальская городская																																																											
																																																											
Сводная таблица результатов выборов																																																											
																																																											
		Сумма	УИК №3307	УИК №3308	УИК №3309	УИК №3310	УИК №3311	УИК №3312	УИК №3313	УИК №3314	УИК №3315	УИК №3316	УИК №3317	УИК №3318	УИК №3319	УИК №3320	УИК №3321	УИК №3322	УИК №3323	УИК №3324	УИК №3325	УИК №3326	УИК №3327	УИК №3328	УИК №3329	УИК №3330	УИК №3331	УИК №3332	УИК №3333	УИК №3334	УИК №3335	УИК №3336	УИК №3337	УИК №3338	УИК №3339	УИК №3340	УИК №3341	УИК №3342	УИК №3343	УИК №3344	УИК №3345	УИК №3346	УИК №3347	УИК №3348	УИК №3349	УИК №3350	УИК №3351	УИК №3352	УИК №3353	УИК №3354	УИК №3355	УИК №3356	УИК №3357	УИК №3358					
1	"Число избирателей, внесенных в список избирателей"	120655	2479	2334	2563	2216	1978	2102	2241	2212	2234	2324	2410	2128	2278	2183	2650	2490	2797	2493	2234	2383	2163	2239	2352	2208	2357	2013	2503	2193	2435	2490	2571	2598	2632	2574	2525	2167	2527	2218	2562	2182	2667	2628	2582	2929	2906	2982	2118	2259	2505	2097	510	234					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	108260	2300	2100	2300	2000	1800	1900	2000	2000	2000	2100	2200	1900	2000	2000	2400	2250	2500	2250	2000	2100	2000	2000	2100	2000	2100	1900	2200	2000	2200	2200	2300	2300	2300	2300	2300	2000	2300	2000	2300	2000	2400	2200	2300	2600	2600	2600	1900	2000	2200	1850	510	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	56988	1335	1138	1401	1170	967	917	1224	991	1056	1091	1078	1011	898	1063	1342	1246	1367	1215	1142	1238	989	1113	1225	1147	1137	1027	979	902	1063	1079	1108	1071	1091	1112	1103	999	1032	957	1239	1153	1163	1201	1282	1503	1492	1513	931	1176	1201	981	0	129					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1819	25	36	13	11	6	36	33	39	19	13	23	17	36	32	30	18	12	24	34	35	38	24	24	27	19	53	36	27	37	28	41	27	17	31	13	13	13	19	38	16	30	28	16	23	24	9	29	21	12	28	500	66					
6	Число погашенных избирательных бюллетеней	49453	940	926	886	819	827	947	743	970	925	996	1099	872	1066	905	1028	986	1121	1011	824	827	973	863	851	826	944	820	1185	1071	1100	1093	1151	1202	1192	1157	1184	988	1255	1024	1023	831	1207	971	1002	1074	1084	1078	940	803	987	841	10	5					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1819	25	36	13	11	6	36	33	39	19	13	23	17	36	32	30	18	12	24	34	35	38	24	24	27	19	53	36	27	37	28	41	27	17	31	13	13	13	19	38	16	30	28	16	23	24	9	29	21	12	28	500	66					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	56885	1335	1134	1399	1170	967	917	1224	991	1053	1090	1078	1011	894	1059	1340	1241	1363	1215	1142	1238	981	1110	1222	1147	1136	1026	977	902	1063	1075	1106	1071	1091	1112	1103	999	1032	954	1239	1153	1160	1173	1282	1499	1492	1507	931	1175	1201	976	0	129					
9	Число недействительных избирательных бюллетеней	1954	52	37	35	34	35	36	34	23	32	35	38	41	23	35	46	36	34	48	25	65	32	33	29	34	35	71	43	36	62	33	32	42	37	27	25	49	27	34	41	44	48	32	46	54	40	41	40	36	42	29	29	7					
10	Число действительных избирательных бюллетеней	56750	1308	1133	1377	1147	938	917	1223	1007	1040	1068	1063	987	907	1056	1324	1223	1341	1191	1151	1208	987	1101	1217	1140	1120	1008	970	893	1038	1070	1115	1056	1071	1116	1091	963	1018	939	1236	1125	1142	1169	1252	1468	1476	1475	920	1160	1171	975	471	188					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1665	41	29	30	30	30	30	30	30	30	30	30	30	30	40	30	30	50	45	30	40	30	30	30	30	30	40	30	30	30	30	30	40	30	40	30	30	35	30	30	30	40	30	40	30	30	50	30	45	40	30	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1241	41	22	18	24	24	22	26	14	30	22	14	22	17	29	20	22	46	30	26	37	19	15	21	18	18	34	24	23	15	21	26	33	21	29	20	10	33	17	26	24	31	28	30	24	29	40	16	35	32	23	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	932	37	15	17	10	8	12	19	20	14	26	13	16	27	25	28	17	15	15	20	24	18	20	17	46	9	20	18	17	24	36	12	24	9	21	7	8	8	13	14	12	9	20	28	19	16	20	16	15	24	13	10	11					
14	Число погашенных неиспользованных открепительных удостоверений	424	0	7	12	6	6	8	4	16	0	8	16	8	13	11	10	8	4	15	4	3	11	15	9	12	12	6	6	7	15	9	4	7	9	11	10	20	2	13	4	6	9	2	10	6	1	10	14	10	8	7	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	65	0	1	2	0	0	1	0	2	1	1	3	0	1	1	0	0	4	1	2	1	1	3	1	1	0	1	1	1	1	4	1	2	2	2	2	0	2	1	1	2	0	2	0	0	3	1	3	2	3	1	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																											
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	11486	224	250	355	279	195	177	258	242	228	235	185	195	173	216	255	226	268	251	216	277	212	225	279	223	214	206	166	169	185	217	248	202	194	237	220	216	181	155	231	242	222	201	284	322	282	264	176	258	253	200	54	43					
		19.57%	16.47%	21.37%	25.14%	23.62%	20.04%	18.57%	20.53%	23.50%	21.27%	21.31%	16.80%	18.97%	18.60%	19.80%	18.61%	17.95%	19.49%	20.26%	18.37%	21.76%	20.80%	19.84%	22.39%	18.99%	18.53%	19.09%	16.39%	18.19%	16.82%	19.67%	21.62%	18.40%	17.51%	20.73%	19.71%	21.34%	17.32%	15.93%	18.09%	20.70%	18.66%	16.74%	21.88%	21.16%	18.60%	17.41%	18.33%	21.57%	20.86%	19.92%	10.80%	22.05%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	9132	265	166	238	171	167	169	187	147	179	181	164	168	150	145	205	179	207	172	208	172	162	182	167	174	178	145	145	158	167	147	181	190	185	175	179	154	156	148	189	147	203	225	201	244	274	263	145	173	175	165	73	22					
		15.56%	19.49%	14.19%	16.86%	14.48%	17.16%	17.73%	14.88%	14.27%	16.70%	16.41%	14.90%	16.34%	16.13%	13.29%	14.96%	14.22%	15.05%	13.88%	17.69%	13.51%	15.90%	16.05%	13.40%	14.82%	15.41%	13.44%	14.31%	17.01%	15.18%	13.33%	15.78%	17.30%	16.70%	15.31%	16.04%	15.22%	14.93%	15.21%	14.80%	12.57%	17.06%	18.73%	15.49%	16.03%	18.07%	17.35%	15.10%	14.46%	14.43%	16.43%	14.60%	11.28%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	784	14	29	18	21	15	20	16	10	18	19	8	6	8	11	21	19	20	15	16	16	8	19	11	7	15	8	13	15	11	16	16	15	15	14	14	10	12	16	19	12	18	11	21	25	13	30	12	22	23	11	8	4					
		1.34%	1.03%	2.48%	1.27%	1.78%	1.54%	2.10%	1.27%	0.97%	1.68%	1.72%	0.73%	0.58%	0.86%	1.01%	1.53%	1.51%	1.45%	1.21%	1.36%	1.26%	0.79%	1.68%	0.88%	0.60%	1.30%	0.74%	1.28%	1.61%	1.00%	1.45%	1.39%	1.37%	1.35%	1.22%	1.25%	0.99%	1.15%	1.64%	1.49%	1.03%	1.51%	0.92%	1.62%	1.64%	0.86%	1.98%	1.25%	1.84%	1.90%	1.10%	1.60%	2.05%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	14825	297	326	327	290	243	224	313	256	269	280	293	263	249	292	355	310	381	316	251	330	246	275	324	304	318	260	256	227	252	282	260	275	245	316	311	286	263	235	341	320	315	258	332	373	379	455	249	300	326	236	85	56					
		25.25%	21.84%	27.86%	23.16%	24.56%	24.97%	23.50%	24.90%	24.85%	25.09%	25.39%	26.61%	25.58%	26.77%	26.76%	25.91%	24.62%	27.71%	25.50%	21.34%	25.92%	24.14%	24.25%	26.00%	25.89%	27.53%	24.10%	25.27%	24.43%	22.91%	25.57%	22.67%	25.05%	22.11%	27.65%	27.87%	28.26%	25.17%	24.15%	26.70%	27.37%	26.47%	21.48%	25.58%	24.51%	25.00%	30.01%	25.94%	25.08%	26.88%	23.51%	17.00%	28.72%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	4292	91	102	118	112	53	60	107	92	96	50	92	77	54	69	80	98	113	84	94	88	80	80	100	78	92	96	74	53	59	71	68	79	91	70	87	65	89	68	76	104	96	68	88	138	115	109	54	115	95	72	26	6					
