Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																											
Дата голосования: 02.12.2007																																																											
																																																											
Наименование Избирательной комиссии:    Электростальская городская																																																											
																																																											
Сводная таблица результатов выборов																																																											
																																																											
		Сумма	УИК №3264	УИК №3265	УИК №3266	УИК №3267	УИК №3268	УИК №3269	УИК №3270	УИК №3271	УИК №3272	УИК №3273	УИК №3274	УИК №3275	УИК №3276	УИК №3277	УИК №3278	УИК №3279	УИК №3280	УИК №3281	УИК №3282	УИК №3283	УИК №3284	УИК №3285	УИК №3286	УИК №3287	УИК №3288	УИК №3289	УИК №3290	УИК №3291	УИК №3292	УИК №3293	УИК №3294	УИК №3295	УИК №3296	УИК №3297	УИК №3298	УИК №3299	УИК №3300	УИК №3301	УИК №3302	УИК №3303	УИК №3304	УИК №3305	УИК №3306	УИК №3307	УИК №3308	УИК №3309	УИК №3310	УИК №3311	УИК №3312	УИК №3313	УИК №3314	УИК №3315					
1	"Число избирателей, внесенных в списки избирателей"	121314	2659	2442	2390	2274	2030	2135	2331	2311	2368	2438	2444	2401	2368	2476	2186	2409	2294	2400	2559	2320	2373	2309	2386	2196	2435	2008	2530	2331	2526	2561	2667	2635	2671	2672	2521	2204	2369	2350	2600	2132	2746	2633	2601	2697	2762	2617	2120	2371	2144	2132	481	299					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	116750	2100	2400	2300	2200	2000	2000	2200	2200	2300	2300	2400	2400	2200	2400	2100	2300	2200	2300	2500	2200	2300	2200	2300	2100	2400	2000	2400	2200	2400	2400	2600	2600	2600	2600	2500	2200	2300	2300	2500	2100	2600	2500	2400	2600	2600	2500	2100	2300	2100	2100	650	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	71188	1472	1345	1479	1384	1134	1103	1412	1186	1261	1428	1298	1371	1213	1320	1305	1365	1383	1325	2427	1429	1274	1288	1407	1256	1412	1184	1219	1277	2231	1372	1427	2529	1368	1428	1324	1201	1075	1223	1416	1234	1431	1402	1540	1608	1632	1644	1154	2241	1174	1134	240	203					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1631	27	38	11	12	20	33	23	39	21	26	35	25	34	21	13	10	27	32	23	32	37	38	21	27	19	30	37	26	53	32	37	30	9	35	15	32	24	22	25	22	22	35	23	22	19	5	39	34	11	31	241	76					
6	Число погашенных избирательных бюллетеней	43931	601	1017	810	804	846	864	765	975	1018	846	1067	1004	953	1059	782	925	790	943	50	739	989	874	872	817	969	786	1144	897	116	996	1136	41	1223	1137	1161	967	1201	1055	1059	844	1147	1063	837	970	949	851	907	25	915	935	169	21					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1631	27	38	11	12	20	33	23	39	21	26	35	25	34	21	13	10	27	32	23	32	37	38	21	27	19	30	37	26	53	32	37	30	9	35	15	32	24	22	25	22	22	35	23	22	19	5	39	34	11	31	241	76					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	71153	1472	1345	1479	1384	1134	1103	1412	1186	1260	1428	1298	1369	1210	1318	1304	1364	1383	1325	2427	1428	1274	1288	1407	1254	1412	1183	1219	1276	2230	1372	1422	2529	1368	1424	1324	1201	1075	1220	1416	1234	1427	1402	1540	1608	1632	1644	1151	2241	1174	1134	240	203					
9	Число недействительных избирательных бюллетеней	1393	11	23	12	27	21	16	18	16	24	29	20	18	13	34	20	16	33	12	146	19	28	29	19	17	17	17	13	15	116	15	25	126	22	21	13	19	16	17	24	14	15	10	20	17	18	15	24	126	15	14	1	7					
10	Число действительных избирательных бюллетеней	71391	1488	1360	1478	1369	1133	1120	1417	1209	1257	1425	1313	1376	1231	1305	1297	1358	1377	1345	2304	1441	1283	1297	1409	1264	1414	1196	1243	1287	2167	1389	1434	2433	1355	1438	1326	1214	1083	1225	1417	1242	1434	1427	1543	1613	1633	1634	1166	2149	1170	1151	480	272					
