Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																		
Дата голосования: 18.09.2016																																		
																																		
Наименование Избирательной комиссии:    Лосиноостровский район																																		
																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																		
																																		
		Сумма	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №3659									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	55518	2615	2282	2310	2252	2596	2201	2171	2065	2458	2628	2627	2644	2635	2716	2591	2583	2606	2254	2720	3013	2677	2426	448									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	45000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	1000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18652	912	779	695	705	813	655	713	678	777	920	889	976	926	997	843	862	867	759	933	920	851	788	394									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	529	10	23	21	29	35	26	20	15	30	25	7	28	21	38	41	16	26	16	15	16	17	31	23									
6	Число погашенных избирательных бюллетеней	25819	1078	1198	1284	1266	1152	1319	1267	1307	1193	1055	1104	996	1053	965	1116	1122	1107	1225	1052	1064	1132	1181	583									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	529	10	23	21	29	35	26	20	15	30	25	7	28	21	38	41	16	26	16	15	16	17	31	23									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	18594	912	756	695	702	812	655	707	677	775	917	889	972	924	997	842	862	866	759	928	920	850	784	393									
9	Число недействительных избирательных бюллетеней	340	8	6	20	16	10	14	16	18	17	15	24	19	12	18	29	16	17	7	17	16	15	6	4									
10	Число действительных избирательных бюллетеней	18783	914	773	696	715	837	667	711	674	788	927	872	981	933	1017	854	862	875	768	926	920	852	809	412									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	332	15	12	20	15	10	20	15	10	15	15	15	15	28	16	15	10	10	10	16	20	15	15	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	286	10	11	18	13	10	15	11	6	15	14	12	13	24	16	14	10	10	10	16	19	7	12	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	322	5	4	33	23	37	8	3	8	6	9	20	3	25	10	13	9	5	5	27	45	7	10	7									
14	Число погашенных неиспользованных открепительных удостоверений	46	5	1	2	2	0	5	4	4	0	1	3	2	4	0	1	0	0	0	0	1	8	3	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	66	3	2	1	4	2	1	0	4	2	4	2	1	3	3	1	3	2	1	2	23	2	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	585	33	23	20	30	19	19	26	24	19	18	27	32	28	33	20	34	36	34	21	34	22	22	11									
		3.06%	3.58%	2.95%	2.79%	4.10%	2.24%	2.79%	3.58%	3.47%	2.36%	1.91%	3.01%	3.20%	2.96%	3.19%	2.27%	3.87%	4.04%	4.39%	2.23%	3.63%	2.54%	2.70%	2.64%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	353	12	16	11	13	17	10	14	18	17	14	20	16	26	16	12	8	22	15	15	8	16	18	19									
		1.85%	1.30%	2.05%	1.54%	1.78%	2.01%	1.47%	1.93%	2.60%	2.11%	1.49%	2.23%	1.60%	2.75%	1.55%	1.36%	0.91%	2.47%	1.94%	1.59%	0.85%	1.85%	2.21%	4.57%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	581	22	22	21	23	27	19	24	24	24	29	21	27	32	27	21	28	34	25	28	30	18	32	23									
		3.04%	2.39%	2.82%	2.93%	3.15%	3.19%	2.79%	3.30%	3.47%	2.98%	3.08%	2.34%	2.70%	3.39%	2.61%	2.38%	3.19%	3.81%	3.23%	2.97%	3.21%	2.08%	3.93%	5.53%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6746	308	258	240	256	339	244	275	250	265	382	311	280	330	336	293	311	298	288	377	341	301	311	152									
		35.28%	33.41%	33.12%	33.52%	35.02%	40.02%	35.83%	37.83%	36.13%	32.92%	40.55%	34.71%	28.00%	34.92%	32.46%	33.18%	35.42%	33.41%	37.16%	39.98%	36.43%	34.72%	38.16%	36.54%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	363	16	18	19	13	13	25	12	17	12	17	20	17	21	28	16	21	15	11	11	8	23	8	2									
		1.90%	1.74%	2.31%	2.65%	1.78%	1.53%	3.67%	1.65%	2.46%	1.49%	1.80%	2.23%	1.70%	2.22%	2.71%	1.81%	2.39%	1.68%	1.42%	1.17%	0.85%	2.65%	0.98%	0.48%									
24	"6. Политическая партия ""Гражданская Платформа"""	48	2	3	2	1	1	2	2	0	1	1	4	3	3	1	1	4	1	1	3	5	2	4	1									
		0.25%	0.22%	0.39%	0.28%	0.14%	0.12%	0.29%	0.28%	0.00%	0.12%	0.11%	0.45%	0.30%	0.32%	0.10%	0.11%	0.46%	0.11%	0.13%	0.32%	0.53%	0.23%	0.49%	0.24%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2667	120	93	95	97	117	96	116	91	122	153	157	119	126	133	112	135	129	103	122	130	124	129	48									
		13.95%	13.02%	11.94%	13.27%	13.27%	13.81%	14.10%	15.96%	13.15%	15.16%	16.24%	17.52%	11.90%	13.33%	12.85%	12.68%	15.38%	14.46%	13.29%	12.94%	13.89%	14.30%	15.83%	11.54%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	543	28	27	27	23	26	19	15	26	23	28	22	25	19	40	23	23	26	24	18	35	20	22	4									
		2.84%	3.04%	3.47%	3.77%	3.15%	3.07%	2.79%	2.06%	3.76%	2.86%	2.97%	2.46%	2.50%	2.01%	3.86%	2.60%	2.62%	2.91%	3.10%	1.91%	3.74%	2.31%	2.70%	0.96%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	591	39	25	28	20	35	20	27	14	16	30	22	21	30	45	42	24	16	19	31	33	31	19	4									
		3.09%	4.23%	3.21%	3.91%	2.74%	4.13%	2.94%	3.71%	2.02%	1.99%	3.18%	2.46%	2.10%	3.17%	4.35%	4.76%	2.73%	1.79%	2.45%	3.29%	3.53%	3.58%	2.33%	0.96%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	32	3	3	2	4	0	0	2	1	1	0	0	1	0	1	1	2	3	1	2	2	1	0	2									
		0.17%	0.33%	0.39%	0.28%	0.55%	0.00%	0.00%	0.28%	0.14%	0.12%	0.00%	0.00%	0.10%	0.00%	0.10%	0.11%	0.23%	0.34%	0.13%	0.21%	0.21%	0.12%	0.00%	0.48%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1778	120	96	62	77	61	71	49	47	72	49	72	139	84	117	82	78	58	72	76	115	97	60	24									
		9.30%	13.02%	12.32%	8.66%	10.53%	7.20%	10.43%	6.74%	6.79%	8.94%	5.20%	8.04%	13.90%	8.89%	11.30%	9.29%	8.88%	6.50%	9.29%	8.06%	12.29%	11.19%	7.36%	5.77%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2879	152	140	126	95	115	88	80	105	124	117	125	198	159	154	124	124	158	115	137	118	130	124	71									
		15.06%	16.49%	17.97%	17.60%	12.99%	13.58%	12.92%	11.00%	15.17%	15.40%	12.42%	13.95%	19.80%	16.83%	14.88%	14.04%	14.12%	17.71%	14.84%	14.53%	12.61%	14.99%	15.21%	17.07%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	95	5	4	5	2	8	4	3	3	2	8	4	6	9	4	4	4	4	0	4	3	2	5	2									
