Выборы Президента Российской Федерации																				
																				
Наименование Избирательной комиссии:    Невельская																				
																				
Итоги голосования 																				
																				
		Сумма	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106					
1	"Число избирателей, внесенных в список"	18337	192	2104	2340	1632	1372	1491	1549	2427	294	1324	1247	1424	941					
2	Число полученных избирательных бюллетеней	18650	190	2400	2450	1650	1150	1650	1600	2400	310	1300	1250	1400	900					
3	"Число избирательных бюллетеней, выданных  досрочно"	50	0	0	0	0	8	0	0	0	0	0	0	0	42					
4	"Число избирательных бюллетеней, выданных в день голосования"	8913	110	1012	1145	743	918	759	724	1008	191	628	523	633	519					
5	"Число избирательных бюллетеней, выданных вне помещения"	653	54	47	25	40	22	40	15	46	21	102	100	99	42					
6	Число погашенных избирательных бюллетеней	9034	26	1341	1280	867	202	851	861	1346	98	570	627	668	297					
7	Число избирательных бюллетеней в переносных ящиках	703	54	47	25	40	30	40	15	46	21	102	100	99	84					
8	Число бюллетеней в стационарных ящиках для голосования	8913	110	1012	1145	743	918	759	724	1008	191	628	523	633	519					
9	Число недействительных избирательных бюллетеней	92	1	5	13	3	1	5	10	17	3	12	6	9	7					
10	Число действительных избирательных бюллетеней	9524	163	1054	1157	780	947	794	729	1037	209	718	617	723	596					
11	Число полученных открепительных  удостоверений	335	7	40	40	25	25	25	25	40	8	25	25	25	25					
12	Число выданных открепительных удостоверений	172	6	22	19	18	22	19	11	13	5	9	11	5	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	74	5	12	13	3	7	7	6	9	2	2	3	2	3					
14	Число неиспользованных открепительных удостоверений	163	1	18	21	7	3	6	14	27	3	16	14	20	13					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	0	1	2	0	0	0	0	0	0	1	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																				
18	. Глазьев Сергей Юрьевич	356	2	37	51	34	32	40	30	42	6	28	19	19	16					
		3.70%	1.22%	3.49%	4.36%	4.34%	3.38%	5.01%	4.06%	3.98%	2.83%	3.84%	3.05%	2.60%	2.65%					
19	. Малышкин Олег Александрович	260	4	31	23	26	18	15	18	32	6	27	23	25	12					
		2.70%	2.44%	2.93%	1.97%	3.32%	1.90%	1.88%	2.44%	3.04%	2.83%	3.70%	3.69%	3.42%	1.99%					
20	. Миронов Сергей Михайлович	74	0	10	7	9	2	6	7	11	0	4	3	9	6					
		0.77%	0.00%	0.94%	0.60%	1.15%	0.21%	0.75%	0.95%	1.04%	0.00%	0.55%	0.48%	1.23%	1.00%					
21	. Путин Владимир Владимирович	7099	143	786	884	550	740	551	525	814	166	508	455	528	449					
		73.82%	87.20%	74.22%	75.56%	70.24%	78.06%	68.96%	71.04%	77.23%	78.30%	69.59%	73.03%	72.13%	74.46%					
22	. Хакамада Ирина Муцуовна	346	1	43	52	29	30	42	29	41	4	22	17	24	12					
		3.60%	0.61%	4.06%	4.44%	3.70%	3.16%	5.26%	3.92%	3.89%	1.89%	3.01%	2.73%	3.28%	1.99%					
23	. Харитонов Николай Михайлович	1056	11	100	90	92	87	102	83	84	22	113	84	106	82					
		10.98%	6.71%	9.44%	7.69%	11.75%	9.18%	12.77%	11.23%	7.97%	10.38%	15.48%	13.48%	14.48%	13.60%					
																				
24	Против всех	333	2	47	50	40	38	38	37	13	5	16	16	12	19					
		3.46%	1.22%	4.44%	4.27%	5.11%	4.01%	4.76%	5.01%	1.23%	2.36%	2.19%	2.57%	1.64%	3.15%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
