Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																	
Дата голосования: 02.12.2007																																																																	
																																																																	
Наименование Избирательной комиссии:    Хайбуллинская																																																																	
																																																																	
Сводная таблица результатов выборов																																																																	
																																																																	
		Сумма	УИК №3273	УИК №3274	УИК №3275	УИК №3276	УИК №3277	УИК №3278	УИК №3279	УИК №3280	УИК №3281	УИК №3282	УИК №3283	УИК №3284	УИК №3285	УИК №3286	УИК №3287	УИК №3288	УИК №3289	УИК №3290	УИК №3291	УИК №3292	УИК №3293	УИК №3294	УИК №3295	УИК №3296	УИК №3297	УИК №3298	УИК №3299	УИК №3300	УИК №3301	УИК №3302	УИК №3303	УИК №3304	УИК №3305	УИК №3306	УИК №3307	УИК №3308	УИК №3309	УИК №3310	УИК №3311	УИК №3312	УИК №3313	УИК №3314	УИК №3315	УИК №3316	УИК №3317	УИК №3318	УИК №3319	УИК №3320	УИК №3321	УИК №3322	УИК №3323	УИК №3324	УИК №3325	УИК №3326	УИК №3327	УИК №3328	УИК №3329	УИК №3330					
1	"Число избирателей, внесенных в списки избирателей"	23040	354	117	235	106	97	314	131	64	116	835	779	883	843	841	424	481	357	482	1165	1150	1035	661	104	96	83	817	185	311	236	430	259	644	267	170	555	867	234	208	769	237	125	146	157	232	613	496	329	156	226	240	257	346	394	615	104	162	326	174					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	22900	354	117	235	106	98	314	131	63	119	921	776	883	806	841	424	487	331	482	1121	1107	1002	650	104	94	82	820	185	311	232	428	259	617	267	163	554	868	234	208	784	237	126	142	159	232	605	499	326	198	220	209	275	344	387	600	104	162	321	176					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	22119	337	117	235	106	95	307	131	63	110	817	720	875	797	815	420	478	318	477	1088	1084	987	641	101	77	78	810	185	311	232	412	254	591	266	163	553	822	234	197	731	212	121	142	157	232	557	464	326	143	217	201	257	344	370	592	104	162	309	174					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	321	10	0	0	0	0	0	0	0	0	18	23	5	9	21	4	0	7	0	32	19	12	9	1	9	3	7	0	0	0	4	0	0	1	0	1	29	0	11	24	0	2	0	0	0	12	15	0	13	0	8	0	0	6	6	0	0	0	0					
6	Число погашенных избирательных бюллетеней	460	7	0	0	0	3	7	0	0	9	86	33	3	0	5	0	9	6	5	1	4	3	0	2	8	1	3	0	0	0	12	5	26	0	0	0	17	0	0	29	25	3	0	2	0	36	20	0	42	3	0	18	0	11	2	0	0	12	2					
7	Число избирательных бюллетеней в переносных ящиках для голосования	321	10	0	0	0	0	0	0	0	0	18	23	5	9	21	4	0	7	0	32	19	12	9	1	9	3	7	0	0	0	4	0	0	1	0	1	29	0	11	24	0	2	0	0	0	12	15	0	13	0	8	0	0	6	6	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	22119	337	117	235	106	95	307	131	63	110	817	720	875	797	815	420	478	318	477	1088	1084	987	641	101	77	78	810	185	311	232	412	254	591	266	163	553	822	234	197	731	212	121	142	157	232	557	464	326	143	217	201	257	344	370	592	104	162	309	174					
9	Число недействительных избирательных бюллетеней	335	13	3	10	0	2	0	0	0	3	1	13	0	0	0	5	11	4	2	0	0	0	1	1	0	7	0	1	0	24	0	4	18	3	3	54	5	1	3	7	0	0	7	0	0	4	6	53	0	2	4	36	10	8	0	0	3	0	3					
10	Число действительных избирательных бюллетеней	22105	334	114	225	106	93	307	131	63	107	834	730	880	806	836	419	467	321	475	1120	1103	999	649	101	86	74	817	184	311	208	416	250	573	264	160	500	846	233	205	748	212	123	135	157	232	565	473	273	156	215	205	221	334	368	598	104	159	309	171					
