Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																	
Дата голосования: 04.12.2011																																																																	
																																																																	
Наименование Избирательной комиссии:    Хайбуллинская																																																																	
																																																																	
Сводная таблица результатов выборов																																																																	
																																																																	
		Сумма	УИК №3259	УИК №3260	УИК №3261	УИК №3262	УИК №3263	УИК №3264	УИК №3265	УИК №3266	УИК №3267	УИК №3268	УИК №3269	УИК №3270	УИК №3271	УИК №3272	УИК №3273	УИК №3274	УИК №3275	УИК №3276	УИК №3277	УИК №3278	УИК №3279	УИК №3280	УИК №3281	УИК №3282	УИК №3283	УИК №3284	УИК №3285	УИК №3286	УИК №3287	УИК №3288	УИК №3289	УИК №3290	УИК №3291	УИК №3292	УИК №3293	УИК №3294	УИК №3295	УИК №3296	УИК №3297	УИК №3298	УИК №3299	УИК №3300	УИК №3301	УИК №3302	УИК №3303	УИК №3304	УИК №3305	УИК №3306	УИК №3307	УИК №3308	УИК №3309	УИК №3310	УИК №3311	УИК №3312	УИК №3313	УИК №3314	УИК №3315	УИК №3316					
1	"Число избирателей, внесенных в список избирателей"	24167	324	237	112	100	108	343	136	69	131	833	900	916	953	967	453	570	384	419	1221	1157	1051	646	95	96	107	211	360	876	228	430	258	643	265	162	237	801	271	116	239	138	148	501	887	206	450	563	333	232	219	152	577	365	413	751	180	206	323	98					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24355	326	239	123	101	110	345	140	71	128	837	905	913	961	954	457	576	386	423	1193	1161	1059	650	95	98	109	211	360	878	231	433	258	636	267	162	237	801	268	115	240	143	151	504	887	210	501	557	333	234	220	159	639	365	423	756	182	205	327	102					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	22882	297	237	112	100	108	336	136	68	125	827	853	861	915	908	372	477	378	403	1028	1081	976	581	88	94	101	203	356	865	227	426	243	625	264	160	232	759	252	114	239	138	144	493	806	202	434	494	327	210	211	141	577	359	408	715	178	202	318	98					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	399	21	0	0	0	0	0	0	0	0	6	20	9	21	20	7	6	0	0	44	19	20	20	5	2	5	0	4	11	0	1	9	0	0	0	5	13	5	0	0	0	4	0	37	4	16	34	4	6	0	11	0	0	4	6	0	0	0	0					
6	Число погашенных избирательных бюллетеней	1074	8	2	11	1	2	9	4	3	3	4	32	43	25	26	78	93	8	20	121	61	63	49	2	2	3	8	0	2	4	6	6	11	3	2	0	29	11	1	1	5	3	11	44	4	51	29	2	18	9	7	62	6	11	35	4	3	9	4					
7	Число избирательных бюллетеней в переносных ящиках для голосования	399	21	0	0	0	0	0	0	0	0	6	20	9	21	20	7	6	0	0	44	19	20	20	5	2	5	0	4	11	0	1	9	0	0	0	5	13	5	0	0	0	4	0	37	4	16	34	4	6	0	11	0	0	4	6	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	22882	297	237	112	100	108	336	136	68	125	827	853	861	915	908	372	477	378	403	1028	1081	976	581	88	94	101	203	356	865	227	426	243	625	264	160	232	759	252	114	239	138	144	493	806	202	434	494	327	210	211	141	577	359	408	715	178	202	318	98					
9	Число недействительных избирательных бюллетеней	284	0	0	0	0	0	6	0	2	4	3	8	9	11	2	0	2	1	4	3	7	7	2	0	2	0	0	0	0	9	0	0	3	0	5	0	1	0	0	6	5	0	4	96	0	2	0	6	3	1	0	8	4	4	51	2	1	0	0					
10	Число действительных избирательных бюллетеней	22997	318	237	112	100	108	330	136	66	121	830	865	861	925	926	379	481	377	399	1069	1093	989	599	93	94	106	203	360	876	218	427	252	622	264	155	237	771	257	114	233	133	148	489	747	206	448	528	325	213	210	152	569	355	408	670	176	201	318	98					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	280	3	3	3	3	3	3	3	3	3	7	9	9	13	9	6	11	4	7	9	9	7	9	2	4	3	3	3	11	3	7	3	3	3	3	3	13	3	3	3	3	3	3	3	3	3	9	3	3	3	3	3	3	3	12	6	3	0	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	201	3	1	2	0	0	3	0	0	0	4	8	9	13	8	6	11	4	4	5	7	4	7	0	4	1	3	3	7	3	6	3	3	1	0	1	13	1	1	0	3	0	3	3	3	3	8	1	0	3	0	0	2	2	12	6	3	0	0					
